t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,seed,N,dx,backend
1.0,3101.7998046875,1.1110994815826416,16367.26050650188,15.996662464457831,15.732132722552274,19.222382786741086,20.89258241577618,2.1532490253448486,0.2778322696685791,9.719302272043423,311.01767270538954,0.999980092048645,0.6202601245436352,0.02781750408732134,0.00036742018241910345,True,773,5.693294222562651,2.8466471112813254,False,2,64,0.5,mlx
1.1,3394.7763671875,1.397987961769104,16442.44713885644,15.995589376950822,15.724185193516387,19.215878850575635,20.89258241577618,2.628269672393799,0.30883562564849854,10.112001353742146,323.5840433197487,0.999976396560669,0.6343439710800005,0.03250166368544337,0.00044107641890467407,True,292,4.115583468228474,2.057791734114237,False,2,64,0.5,mlx
1.2,3686.478759765625,1.2592052221298218,16408.39340030043,16.002073233010762,15.732132722552274,19.235384061671343,20.89258241577618,3.085330009460449,0.3400278687477112,10.112001353742146,323.5840433197487,0.9999763369560242,0.6438790141903542,0.03714565842751344,0.0005178682412931335,True,983,6.168150610136091,3.0840753050680454,False,2,64,0.5,mlx
1.3,3978.05224609375,1.4437974691390991,16450.62172156629,16.004222017163517,15.732132722552274,19.222382786741086,20.89258241577618,2.889829397201538,0.37127524614334106,9.719302272043423,311.01767270538954,0.9999812245368958,0.6525168246407609,0.04207839989462472,0.000602572459464652,True,668,5.422871135972788,2.711435567986394,False,2,64,0.5,mlx
1.4000000000000001,4264.455078125,1.5260231494903564,16500.883626135725,16.006222917762866,15.748015748023622,19.222382786741086,20.89258241577618,3.338796615600586,0.4025941491127014,9.719302272043423,311.01767270538954,0.9999778866767883,0.660052634027367,0.047235072903444475,0.0006947427839179066,True,670,5.428277790736337,2.7141388953681687,False,2,64,0.5,mlx
1.5,4546.63232421875,1.6688843965530396,16523.660282372944,16.002770716006147,15.732132722552274,19.222382786741086,20.89258241577618,4.0032572746276855,0.433713436126709,9.719302272043423,311.01767270538954,0.9999730587005615,0.6663515170698904,0.052484568093974455,0.0007927676488124394,True,575,5.158535359611894,2.579267679805947,False,2,64,0.5,mlx
1.6,4826.58154296875,1.7598873376846313,16540.637937261927,16.006169079784954,15.732132722552274,19.235384061671343,20.89258241577618,3.867342472076416,0.46465328335762024,10.50470043544087,336.15041393410786,0.9999716877937317,0.6718158999587437,0.05784122662866929,0.0008970002205823721,True,578,5.167491168146892,2.583745584073446,False,2,64,0.5,mlx
1.7,5100.2646484375,2.0797643661499023,16504.232680534595,16.004042178854544,15.732132722552274,19.241881404893856,20.89258241577618,4.06412410736084,0.49547600746154785,9.915651812892785,317.3008580125691,0.9999746084213257,0.6757678115623015,0.06317714792722419,0.0010057420681396625,True,291,4.11087994016685,2.055439970083425,False,2,64,0.5,mlx
1.8,5373.44091796875,2.4013166427612305,16562.962327669517,16.004045936719244,15.732132722552274,19.241881404893856,20.89258241577618,4.55580997467041,0.5262165665626526,9.915651812892785,317.3008580125691,0.9999802708625793,0.6823314118682499,0.06889999315871508,0.0011257479416800417,True,146,3.266540763464405,1.6332703817322025,False,2,64,0.5,mlx
1.9000000000000001,5646.708984375,2.039074659347534,16653.033395620536,15.996740688807987,15.732132722552274,19.235384061671343,20.886598574205422,4.214577674865723,0.55696702003479,9.719302272043423,311.01767270538954,0.9999861717224121,0.6865277399499551,0.07477637700075179,0.0012538369206860215,True,566,5.131479606760109,2.5657398033800547,False,2,64,0.5,mlx
2.0,5907.955078125,2.0979647636413574,16713.49611901974,15.997790956028817,15.732132722552274,19.241881404893856,20.886598574205422,4.7250566482543945,0.5874302983283997,10.50470043544087,336.15041393410786,0.999987781047821,0.6913920296059507,0.08084452386708559,0.0013910454304710007,True,618,5.284046392272797,2.6420231961363987,False,2,64,0.5,mlx
2.1,6171.005859375,2.8570213317871094,16725.47665291801,15.99610099976459,15.732132722552274,19.235384061671343,20.886598574205422,4.9633870124816895,0.6176611185073853,9.915651812892785,317.3008580125691,0.9999876618385315,0.6933581393693043,0.08660632218294832,0.0015289493176356397,True,79,2.6618249652766988,1.3309124826383494,False,2,64,0.5,mlx
2.2,6435.7138671875,2.466600179672241,16810.83667096403,15.99558585220002,15.732132722552274,19.222382786741086,20.89258241577618,5.019460678100586,0.6478239893913269,9.915651812892785,317.3008580125691,0.9999876618385315,0.6956738878527232,0.09266866519139404,0.0016783159280542989,True,329,4.282549875449952,2.141274937724976,False,2,64,0.5,mlx
2.3000000000000003,6698.97998046875,2.115680694580078,16755.303974530303,16.00055298417049,15.732132722552274,19.235384061671343,20.89258241577618,5.312358856201172,0.6782031059265137,10.50470043544087,336.15041393410786,0.9999905228614807,0.6947810502819206,0.0979500388497697,0.0018194176170442744,True,1194,6.581202275034125,3.2906011375170623,False,2,64,0.5,mlx
2.4,6954.2939453125,2.132366418838501,16891.910692821177,16.001556339774844,15.732132722552274,19.235384061671343,20.89258241577618,4.739676475524902,0.7082034945487976,10.50470043544087,336.15041393410786,0.9999917149543762,0.702421307939646,0.10455585904300065,0.0019913880334384497,True,1303,6.775665153654863,3.3878325768274316,False,2,64,0.5,mlx
2.5,7209.0205078125,2.4332900047302246,16935.876048718983,16.000329086106774,15.732132722552274,19.241881404893856,20.89258241577618,4.9119791984558105,0.7380857467651367,9.915651812892785,317.3008580125691,0.9999909996986389,0.7025019575757027,0.11056854784878302,0.0021591166067698626,True,741,5.613622439713041,2.8068112198565207,False,2,64,0.5,mlx
