t,Re_c,Im_c,abs_c,rho2,V_mem_x0
72.320000,1.620862387260e-01,-5.684727865130e-02,1.717660090775e-01,4.879942491975e-01,0.000000000000e+00
72.330000,1.630931433826e-01,-5.210122206768e-02,1.712130566264e-01,4.870047965038e-01,0.000000000000e+00
72.340000,1.641372027739e-01,-4.736613020135e-02,1.708349250730e-01,4.860054294190e-01,0.000000000000e+00
72.350000,1.652182090237e-01,-4.264310115219e-02,1.706326190061e-01,4.850004934436e-01,0.000000000000e+00
72.360000,1.663359287857e-01,-3.793324063831e-02,1.706064827324e-01,4.839943924496e-01,0.000000000000e+00
72.370000,1.674901031716e-01,-3.323766007584e-02,1.707561908329e-01,4.829915852993e-01,0.000000000000e+00
72.380000,1.686804477369e-01,-2.855747457941e-02,1.710807493644e-01,4.819965821157e-01,0.000000000000e+00
72.390000,1.699066525241e-01,-2.389380088678e-02,1.715785076656e-01,4.810139401616e-01,0.000000000000e+00
72.400000,1.711683821646e-01,-1.924775521125e-02,1.722471803354e-01,4.800482592760e-01,0.000000000000e+00
72.410000,1.724652760397e-01,-1.462045102596e-02,1.730838785897e-01,4.791041768164e-01,0.000000000000e+00
72.420000,1.737969485013e-01,-1.001299678409e-02,1.740851498922e-01,4.781863620535e-01,0.000000000000e+00
72.430000,1.751629891524e-01,-5.426493579632e-03,1.752470245150e-01,4.772995099643e-01,0.000000000000e+00
72.440000,1.765629631867e-01,-8.620327534148e-04,1.765650675240e-01,4.764483343699e-01,0.000000000000e+00
72.450000,1.779964117900e-01,3.679306550615e-03,1.780344346097e-01,4.756375603696e-01,0.000000000000e+00
72.460000,1.794628525993e-01,8.196459873602e-03,1.796499301907e-01,4.748719160227e-01,0.000000000000e+00
72.470000,1.809617802228e-01,1.268837996898e-02,1.814060662923e-01,4.741561232383e-01,0.000000000000e+00
72.480000,1.824926668187e-01,1.715403936297e-02,1.832971208423e-01,4.734948878354e-01,0.000000000000e+00
72.490000,1.840549627317e-01,2.159243294235e-02,1.853171942010e-01,4.728928887461e-01,0.000000000000e+00
72.500000,1.856480971877e-01,2.600258056349e-02,1.874602629502e-01,4.723547663376e-01,0.000000000000e+00
72.510000,1.872714790448e-01,3.038352967603e-02,1.897202301791e-01,4.718851098414e-01,0.000000000000e+00
72.520000,1.889244976001e-01,3.473435795480e-02,1.920909717191e-01,4.714884438826e-01,0.000000000000e+00
72.530000,1.906065234501e-01,3.905417593305e-02,1.945663779782e-01,4.711692141128e-01,0.000000000000e+00
72.540000,1.923169094046e-01,4.334212962984e-02,1.971403912032e-01,4.709317719595e-01,0.000000000000e+00
72.550000,1.940549914506e-01,4.759740316449e-02,1.998070381515e-01,4.707803585125e-01,0.000000000000e+00
72.560000,1.958200897668e-01,5.181922135044e-02,2.025604582777e-01,4.707190875792e-01,0.000000000000e+00
72.570000,1.976115097844e-01,5.600685226073e-02,2.053949276380e-01,4.707519279488e-01,0.000000000000e+00
72.580000,1.994285432931e-01,6.015960975731e-02,2.083048787862e-01,4.708826849150e-01,0.000000000000e+00
72.590000,2.012704695899e-01,6.427685597576e-02,2.112849169796e-01,4.711149811184e-01,0.000000000000e+00
72.600000,2.031365566681e-01,6.835800375713e-02,2.143298330439e-01,4.714522367751e-01,0.000000000000e+00
72.610000,2.050260624433e-01,7.240251901816e-02,2.174346132546e-01,4.718976493733e-01,0.000000000000e+00
72.620000,2.069382360128e-01,7.640992305115e-02,2.205944465865e-01,4.724541729234e-01,0.000000000000e+00
72.630000,2.088723189472e-01,8.037979474423e-02,2.238047296763e-01,4.731244968595e-01,0.000000000000e+00
72.640000,2.108275466073e-01,8.431177271296e-02,2.270610698170e-01,4.739110246997e-01,0.000000000000e+00
72.650000,2.128031494857e-01,8.820555733375e-02,2.303592862804e-01,4.748158525790e-01,0.000000000000e+00
72.660000,2.147983545666e-01,9.206091266958e-02,2.336954102375e-01,4.758407477792e-01,0.000000000000e+00
72.670000,2.168123867004e-01,9.587766827835e-02,2.370656835166e-01,4.769871273874e-01,0.000000000000e+00
72.680000,2.188444699879e-01,9.965572089403e-02,2.404665564090e-01,4.782560372244e-01,0.000000000000e+00
72.690000,2.208938291700e-01,1.033950359709e-01,2.438946847080e-01,4.796481311880e-01,0.000000000000e+00
72.700000,2.229596910162e-01,1.070956490809e-01,2.473469261384e-01,4.811636511689e-01,0.000000000000e+00
72.710000,2.250412857069e-01,1.107576671545e-01,2.508203363089e-01,4.828024076970e-01,0.000000000000e+00
72.720000,2.271378482045e-01,1.143812695548e-01,2.543121643020e-01,4.845637614874e-01,0.000000000000e+00
72.730000,2.292486196051e-01,1.179667089764e-01,2.578198479900e-01,4.864466060564e-01,0.000000000000e+00
72.740000,2.313728484668e-01,1.215143121578e-01,2.613410091563e-01,4.884493515843e-01,0.000000000000e+00
72.750000,2.335097921059e-01,1.250244803999e-01,2.648734484779e-01,4.905699102047e-01,0.000000000000e+00
72.760000,2.356587178551e-01,1.284976898807e-01,2.684151404183e-01,4.928056829016e-01,0.000000000000e+00
72.770000,2.378189042771e-01,1.319344917579e-01,2.719642280649e-01,4.951535481975e-01,0.000000000000e+00
72.780000,2.399896423250e-01,1.353355120510e-01,2.755190179378e-01,4.976098528161e-01,0.000000000000e+00
72.790000,2.421702364437e-01,1.387014512964e-01,2.790779747865e-01,5.001704045000e-01,0.000000000000e+00
72.800000,2.443600056039e-01,1.420330839664e-01,2.826397163878e-01,5.028304671626e-01,0.000000000000e+00
72.810000,2.465582842617e-01,1.453312576488e-01,2.862030083488e-01,5.055847585488e-01,0.000000000000e+00
72.820000,2.487644232366e-01,1.485968919782e-01,2.897667589179e-01,5.084274505712e-01,0.000000000000e+00
72.830000,2.509777904998e-01,1.518309773169e-01,2.933300138021e-01,5.113521724818e-01,0.000000000000e+00
72.840000,2.531977718672e-01,1.550345731804e-01,2.968919509851e-01,5.143520170299e-01,0.000000000000e+00
72.850000,2.554237715885e-01,1.582088064051e-01,3.004518755419e-01,5.174195497419e-01,0.000000000000e+00
72.860000,2.576552128265e-01,1.613548690559e-01,3.040092144405e-01,5.205468214480e-01,0.000000000000e+00
72.870000,2.598915380206e-01,1.644740160740e-01,3.075635113244e-01,5.237253841622e-01,0.000000000000e+00
72.880000,2.621322091280e-01,1.675675626654e-01,3.111144212664e-01,5.269463104040e-01,0.000000000000e+00
72.890000,2.643767077377e-01,1.706368814319e-01,3.146617054855e-01,5.302002160298e-01,0.000000000000e+00
72.900000,2.666245350518e-01,1.736833992482e-01,3.182052260193e-01,5.334772866187e-01,0.000000000000e+00
72.910000,2.688752117311e-01,1.767085938900e-01,3.217449403456e-01,5.367673074319e-01,0.000000000000e+00
72.920000,2.711282775999e-01,1.797139904203e-01,3.252808959454e-01,5.400596969389e-01,0.000000000000e+00
72.930000,2.733832912091e-01,1.827011573404e-01,3.288132248037e-01,5.433435438729e-01,0.000000000000e+00
72.940000,2.756398292544e-01,1.856717025166e-01,3.323421378442e-01,5.466076477480e-01,0.000000000000e+00
72.950000,2.778974858497e-01,1.886272688941e-01,3.358679192957e-01,5.498405627379e-01,0.000000000000e+00
72.960000,2.801558716548e-01,1.915695300089e-01,3.393909209900e-01,5.530306447808e-01,0.000000000000e+00
72.970000,2.824146128603e-01,1.945001853154e-01,3.429115565927e-01,5.561661017423e-01,0.000000000000e+00
72.980000,2.846733500306e-01,1.974209553435e-01,3.464302957687e-01,5.592350464296e-01,0.000000000000e+00
72.990000,2.869317368085e-01,2.003335767038e-01,3.499476582903e-01,5.622255522166e-01,0.000000000000e+00
