x,linear,memory_only,anti_collapse,cubic_only
-19.062500,1.18252515e-10,4.18587696e-07,2.49769968e-08,4.92446123e-08
-18.906250,1.99549010e-10,6.84296416e-07,2.74176017e-08,1.07337028e-07
-18.750000,2.74551631e-10,9.17514358e-07,2.32017748e-08,1.66350825e-07
-18.593750,3.06203881e-10,1.02707834e-06,1.40490539e-08,2.04849542e-07
-18.437500,2.61122817e-10,9.51478832e-07,4.62996599e-09,2.06987105e-07
-18.281250,1.40375641e-10,7.01044674e-07,9.29023499e-11,1.69830186e-07
-18.125000,1.63325888e-11,3.81986469e-07,3.18562152e-09,1.06158788e-07
-17.968750,5.55589252e-11,1.83648010e-07,1.28486677e-08,4.10199625e-08
-17.812500,4.99256996e-10,3.20919642e-07,2.55047473e-08,2.82196701e-09
-17.656250,1.57693286e-09,9.42366920e-07,3.85702526e-08,1.21827898e-08
-17.500000,3.35416416e-09,2.03528476e-06,5.38410417e-08,7.29831373e-08
-17.343750,5.56250071e-09,3.37239301e-06,7.76553553e-08,1.69460994e-07
-17.187500,7.51479325e-09,4.54197361e-06,1.16109123e-07,2.70874322e-07
-17.031250,8.24103037e-09,5.07903246e-06,1.66976698e-07,3.42209605e-07
-16.875000,6.94581703e-09,4.67308024e-06,2.13770873e-07,3.56979549e-07
-16.718750,3.75664325e-09,3.38180185e-06,2.28938096e-07,3.07421911e-07
-16.562500,5.10591147e-10,1.74987493e-06,1.90226129e-07,2.08635413e-07
-16.406250,1.09333836e-09,7.39213148e-07,1.06517855e-07,9.56307015e-08
-16.250000,1.07470671e-08,1.43181457e-06,3.98685030e-08,1.46148344e-08
-16.093750,3.39793752e-08,4.56124140e-06,1.04917892e-07,1.09619766e-08
-15.937500,7.13387482e-08,1.00333431e-05,4.31301399e-07,1.16096599e-07
-15.781250,1.16280646e-07,1.66645592e-05,1.09141792e-06,3.34890920e-07
-15.625000,1.54249170e-07,2.23499381e-05,2.02020762e-06,6.35577215e-07
-15.468750,1.66304334e-07,2.47477756e-05,2.97366888e-06,9.46245738e-07
-15.312500,1.38471833e-07,2.23510603e-05,3.57417849e-06,1.16454781e-06
-15.156250,7.52155321e-08,1.55764361e-05,3.46334522e-06,1.18722125e-06
-15.000000,1.16325226e-08,7.34633871e-06,2.52934001e-06,9.60202302e-07
-14.843750,1.58496954e-08,2.67869613e-06,1.11434247e-06,5.37529167e-07
-14.687500,1.73149876e-07,7.09049835e-06,7.16831632e-08,1.21983724e-07
-14.531250,5.48797562e-07,2.41265934e-05,5.64767235e-07,5.15235330e-08
-14.375000,1.13770366e-06,5.28820905e-05,3.59519396e-06,7.03792378e-07
-14.218750,1.82289024e-06,8.67420568e-05,9.39416784e-06,2.32236930e-06
-14.062500,2.37433978e-06,1.14456369e-04,1.69492305e-05,4.81731644e-06
-13.906250,2.51641479e-06,1.23962547e-04,2.39872610e-05,7.63886620e-06
-13.750000,2.06907351e-06,1.08169001e-04,2.76295084e-05,9.83690321e-06
-13.593750,1.12692863e-06,7.06111164e-05,2.56638270e-05,1.03741248e-05
-13.437500,1.94279267e-07,2.81041957e-05,1.80176494e-05,8.65286771e-06
-13.281250,1.68573484e-07,7.85019980e-06,7.72749606e-06,5.07511882e-06
-13.125000,2.08760582e-06,3.82082421e-05,6.83404836e-07,1.34676300e-06
-12.968750,6.64336356e-06,1.35214896e-04,3.79425211e-06,2.37620896e-07
-12.812500,1.36047415e-05,2.89939957e-04,2.19167489e-05,4.66896019e-06
-12.656250,2.14302905e-05,4.63397808e-04,5.46701314e-05,1.63038918e-05
-12.500000,2.74080682e-05,5.94597827e-04,9.47325811e-05,3.41607330e-05
-12.343750,2.85510821e-05,6.22866677e-04,1.29021081e-04,5.39857651e-05
-12.187500,2.31730118e-05,5.18775860e-04,1.43180426e-04,6.90386442e-05
-12.031250,1.26368896e-05,3.11422338e-04,1.28279771e-04,7.24801715e-05
-11.875000,2.38883697e-06,9.68899346e-05,8.70931776e-05,6.07987799e-05
-11.718750,1.30807214e-06,1.63919797e-05,3.66599210e-05,3.69514561e-05
-11.562500,1.88316532e-05,2.03586142e-04,4.69556977e-06,1.15237981e-05
-11.406250,6.02734878e-05,7.16101681e-04,1.97610371e-05,5.72450754e-07
-11.250000,1.21984200e-04,1.48010728e-03,9.79991339e-05,1.99824504e-05
-11.093750,1.88933356e-04,2.28076529e-03,2.31719988e-04,7.78454885e-05
-10.937500,2.37263350e-04,2.81980292e-03,3.86038909e-04,1.67880003e-04
-10.781250,2.42901047e-04,2.83472726e-03,5.07716168e-04,2.67464590e-04
-10.625000,1.94534144e-04,2.24126410e-03,5.45198100e-04,3.42835577e-04
-10.468750,1.06073094e-04,1.23610978e-03,4.73148481e-04,3.61365259e-04
-10.312500,2.16939135e-05,2.95726096e-04,3.11364138e-04,3.07349290e-04
-10.156250,7.34638635e-06,3.68636154e-05,1.27759958e-04,1.94867877e-04
-10.000000,1.27072679e-04,9.62223739e-04,1.90845150e-05,7.07009533e-05
-9.843750,4.09835254e-04,3.18136151e-03,7.27368296e-05,2.94150666e-06
