t,family,score
3.8000000000000003,PLANAR_cross,0.2133449116882583
3.9,SC_axes,0.20371246978074817
3.9,FCC_faces,0.16352664951469037
3.9,BCC_body,0.13371642542750634
3.9,HEX_basal,0.19593577141126808
3.9,PLANAR_cross,0.21334100212781687
4.0,SC_axes,0.2037104704705066
4.0,FCC_faces,0.16352718945458355
4.0,BCC_body,0.1337204924022247
4.0,HEX_basal,0.19593815323751884
4.0,PLANAR_cross,0.2133394539343027
4.1,SC_axes,0.20370911955947618
4.1,FCC_faces,0.16352756010474018
4.1,BCC_body,0.1337233632472609
4.1,HEX_basal,0.19593669297542368
4.1,PLANAR_cross,0.2133384107870922
4.2,SC_axes,0.2037101169097274
4.2,FCC_faces,0.16352728204514774
4.2,BCC_body,0.13372115329499684
4.2,HEX_basal,0.19594008130720744
4.2,PLANAR_cross,0.21333917867376118
4.3,SC_axes,0.20371060780259156
4.3,FCC_faces,0.1635271506870938
4.3,BCC_body,0.13372021528861716
4.3,HEX_basal,0.19593744877762992
4.3,PLANAR_cross,0.21333955942496619
4.4,SC_axes,0.20371652206580373
4.4,FCC_faces,0.16352553106586842
4.4,BCC_body,0.13370793725909108
4.4,HEX_basal,0.1959346584673927
4.4,PLANAR_cross,0.21334412773380737
4.5,SC_axes,0.20372133899685568
4.5,FCC_faces,0.16352420103487075
4.5,BCC_body,0.13369777125056923
4.5,HEX_basal,0.19593707554708112
4.5,PLANAR_cross,0.21334784272017523
4.6000000000000005,SC_axes,0.20372871642650534
4.6000000000000005,FCC_faces,0.16352216911791212
4.6000000000000005,BCC_body,0.13368244679206215
4.6000000000000005,HEX_basal,0.19593506685242051
4.6000000000000005,PLANAR_cross,0.21335353477573016
4.7,SC_axes,0.20373789745465812
4.7,FCC_faces,0.1635196236009893
4.7,BCC_body,0.13366337975495696
4.7,HEX_basal,0.19593194543247708
4.7,PLANAR_cross,0.21336060934309145
4.8,SC_axes,0.20374878843003413
4.8,FCC_faces,0.16351659913751793
4.8,BCC_body,0.13364087091495805
4.8,HEX_basal,0.19592827092415793
4.8,PLANAR_cross,0.21336899838126785
4.9,SC_axes,0.20376215954164983
4.9,FCC_faces,0.16351286621162853
4.9,BCC_body,0.1336133669775042
4.9,HEX_basal,0.1959220198682378
4.9,PLANAR_cross,0.2133792867409601
5.0,SC_axes,0.2037778588100383
5.0,FCC_faces,0.1635084401953932
5.0,BCC_body,0.13358101784697377
5.0,HEX_basal,0.19591683548597083
5.0,PLANAR_cross,0.21339134307907
5.1000000000000005,SC_axes,0.2037950950217783
5.1000000000000005,FCC_faces,0.16350351888375908
5.1000000000000005,BCC_body,0.1335452202246154
5.1000000000000005,HEX_basal,0.19591837096126072
5.1000000000000005,PLANAR_cross,0.2134045463118923
5.2,SC_axes,0.20381402837249865
5.2,FCC_faces,0.16349808306671487
5.2,BCC_body,0.13350638114578203
5.2,HEX_basal,0.19591215961823708
5.2,PLANAR_cross,0.21341903212470578
5.3,SC_axes,0.20383744237693568
5.3,FCC_faces,0.16349125923479918
5.3,BCC_body,0.13345812789489594
5.3,HEX_basal,0.1959097406837411
5.3,PLANAR_cross,0.21343689102756744
5.4,SC_axes,0.20385905237249113
5.4,FCC_faces,0.1634849583969141
5.4,BCC_body,0.13341464631375172
5.4,HEX_basal,0.19589393288998316
5.4,PLANAR_cross,0.21345336936049425
5.5,SC_axes,0.20388345653005668
5.5,FCC_faces,0.16347769779524424
5.5,BCC_body,0.13336482768760585
5.5,HEX_basal,0.19588930677834582
5.5,PLANAR_cross,0.21347190058970092
5.6000000000000005,SC_axes,0.20391049008049159
5.6000000000000005,FCC_faces,0.16346968399387746
5.6000000000000005,BCC_body,0.1333114140028615
5.6000000000000005,HEX_basal,0.19586441664072088
5.6000000000000005,PLANAR_cross,0.21349243871337553
5.7,SC_axes,0.20394049436330794
5.7,FCC_faces,0.16346045474562412
5.7,BCC_body,0.13325002389854737
5.7,HEX_basal,0.195863305851864
5.7,PLANAR_cross,0.2135150569668377
5.8,SC_axes,0.20397153865281595
5.8,FCC_faces,0.1634507989090977
5.8,BCC_body,0.13318716697486968
5.8,HEX_basal,0.1958566863516428
5.8,PLANAR_cross,0.21353839820557613
5.9,SC_axes,0.2040056964670562
5.9,FCC_faces,0.1634401681441478
5.9,BCC_body,0.13311986186171373
5.9,HEX_basal,0.19583440379590414
5.9,PLANAR_cross,0.21356406944305653
6.0,SC_axes,0.20403953816519724
6.0,FCC_faces,0.16342948523130868
6.0,BCC_body,0.1330535355990239
6.0,HEX_basal,0.19581324201423989
6.0,PLANAR_cross,0.21358941811573792
6.1000000000000005,SC_axes,0.2040739752454287
6.1000000000000005,FCC_faces,0.16341841456854947
6.1000000000000005,BCC_body,0.13298590801614898
6.1000000000000005,HEX_basal,0.19579713035953056
6.1000000000000005,PLANAR_cross,0.2136151021949626
6.2,SC_axes,0.20411532323890338
6.2,FCC_faces,0.16340496813331093
6.2,BCC_body,0.13290579334785924
6.2,HEX_basal,0.1957713859561165
6.2,PLANAR_cross,0.21364585054718274
6.3,SC_axes,0.2041547467191044
6.3,FCC_faces,0.16339202738733852
6.3,BCC_body,0.1328307186908856
6.3,HEX_basal,0.19574004936695957
6.3,PLANAR_cross,0.2136750947334995
6.4,SC_axes,0.20419707363223116
6.4,FCC_faces,0.1633779496742702
6.4,BCC_body,0.13275084037085272
6.4,HEX_basal,0.1957065246137253
6.4,PLANAR_cross,0.21370638579609544
6.5,SC_axes,0.20424573113821748
6.5,FCC_faces,0.16336148009301327
6.5,BCC_body,0.13265952549640775
6.5,HEX_basal,0.19566994129233375
6.5,PLANAR_cross,0.21374219361337743
6.6000000000000005,SC_axes,0.20429165574999894
6.6000000000000005,FCC_faces,0.16334578217873288
6.6000000000000005,BCC_body,0.1325748070422784
6.6000000000000005,HEX_basal,0.1956310492491417
6.6000000000000005,PLANAR_cross,0.2137758953387461
6.7,SC_axes,0.204342942036079
6.7,FCC_faces,0.16332781668706112
6.7,BCC_body,0.132479768049254
6.7,HEX_basal,0.19559587131727
6.7,PLANAR_cross,0.2138132892508903
6.8,SC_axes,0.20439209054818208
6.8,FCC_faces,0.16331072636070215
6.8,BCC_body,0.13239251615323194
6.8,HEX_basal,0.19554411634979563
6.8,PLANAR_cross,0.21384917081540813
6.9,SC_axes,0.2044479038812949
6.9,FCC_faces,0.16329088702172717
6.9,BCC_body,0.132293392009944
6.9,HEX_basal,0.1954917019033185
6.9,PLANAR_cross,0.2138896733887521
7.0,SC_axes,0.20450677524249142
7.0,FCC_faces,0.16326960004443059
7.0,BCC_body,0.13218973824312807
7.0,HEX_basal,0.19543800229249722
7.0,PLANAR_cross,0.21393218284167212
7.1000000000000005,SC_axes,0.20456838077462852
7.1000000000000005,FCC_faces,0.16324720985442767
7.1000000000000005,BCC_body,0.1320840802141708
7.1000000000000005,HEX_basal,0.19537404662076752
7.1000000000000005,PLANAR_cross,0.21397657829252656
7.2,SC_axes,0.20463275840730538
7.2,FCC_faces,0.16322307125499966
7.2,BCC_body,0.1319725195328256
7.2,HEX_basal,0.1953195818008235
7.2,PLANAR_cross,0.21402255600007475
7.3,SC_axes,0.20469897809724313
7.3,FCC_faces,0.1631983999734006
7.3,BCC_body,0.1318625232987313
7.3,HEX_basal,0.1952482202146256
7.3,PLANAR_cross,0.21406989621277214
7.4,SC_axes,0.2047688476598731
7.4,FCC_faces,0.16317206284509445
7.4,BCC_body,0.13174846489952816
7.4,HEX_basal,0.19517066327364488
7.4,PLANAR_cross,0.21411964863634314
7.5,SC_axes,0.20484055791724837
7.5,FCC_faces,0.1631446076711743
7.5,BCC_body,0.13163268543665765
7.5,HEX_basal,0.19509351046815776
7.5,PLANAR_cross,0.21417045004069
7.6000000000000005,SC_axes,0.20491488817292378
7.6000000000000005,FCC_faces,0.16311579960177536
7.6000000000000005,BCC_body,0.1315146051706079
7.6000000000000005,HEX_basal,0.19501275167911813
7.6000000000000005,PLANAR_cross,0.21422288069726483
7.7,SC_axes,0.20499367847777972
7.7,FCC_faces,0.16308492048838263
7.7,BCC_body,0.13139167517441547
7.7,HEX_basal,0.19492566453798157
7.7,PLANAR_cross,0.21427822851383924
7.8,SC_axes,0.20507577543944255
7.8,FCC_faces,0.16305335332859885
7.8,BCC_body,0.1312707201768085
7.8,HEX_basal,0.19481704628369031
7.8,PLANAR_cross,0.2143361606490908
7.9,SC_axes,0.2051641802875515
7.9,FCC_faces,0.16301858177129744
7.9,BCC_body,0.1311408643084203
7.9,HEX_basal,0.19470675428558512
7.9,PLANAR_cross,0.2143980741670731
8.0,SC_axes,0.20525718204017318
8.0,FCC_faces,0.1629810707337511
8.0,BCC_body,0.13100427037319184
8.0,HEX_basal,0.1946000830588421
8.0,PLANAR_cross,0.21446264776904778
8.1,SC_axes,0.20535899813406236
8.1,FCC_faces,0.16294045325202297
8.1,BCC_body,0.13086185541474318
8.1,HEX_basal,0.19446920606805765
8.1,PLANAR_cross,0.2145334906275562
8.2,SC_axes,0.20545528195949755
8.2,FCC_faces,0.16290190826082335
8.2,BCC_body,0.1307309126517529
8.2,HEX_basal,0.19434284670134766
8.2,PLANAR_cross,0.2146003313418425
8.3,SC_axes,0.20555749113632196
8.3,FCC_faces,0.16286215579886662
8.3,BCC_body,0.13060099760367103
8.3,HEX_basal,0.19419059056296947
8.3,PLANAR_cross,0.21467181092992899
8.4,SC_axes,0.20566850567658604
8.4,FCC_faces,0.16281794655519502
8.4,BCC_body,0.13045989661947316
8.4,HEX_basal,0.19403616337870094
8.4,PLANAR_cross,0.2147488040685208
8.5,SC_axes,0.2057782526225467
8.5,FCC_faces,0.16277179796512298
8.5,BCC_body,0.13031517716668503
8.5,HEX_basal,0.1939073564992256
8.5,PLANAR_cross,0.21482352133132793
8.6,SC_axes,0.20590249740974575
8.6,FCC_faces,0.16272263162162673
8.6,BCC_body,0.13016818026599156
8.6,HEX_basal,0.19372559288972235
8.6,PLANAR_cross,0.21490960834796918
8.700000000000001,SC_axes,0.20602250529459334
8.700000000000001,FCC_faces,0.16267464631577988
8.700000000000001,BCC_body,0.13002859188671986
8.700000000000001,HEX_basal,0.1935545686519756
8.700000000000001,PLANAR_cross,0.2149923703695819
8.8,SC_axes,0.20615181887086487
8.8,FCC_faces,0.1626223479590755
8.8,BCC_body,0.12988054213896358
8.8,HEX_basal,0.19337450534567532
8.8,PLANAR_cross,0.21508109450771323
8.9,SC_axes,0.2062784833093277
8.9,FCC_faces,0.16257057410086212
8.9,BCC_body,0.1297379141635215
8.9,HEX_basal,0.1932017941103538
8.9,PLANAR_cross,0.21516756655371505
9.0,SC_axes,0.20640558287961555
9.0,FCC_faces,0.16251884354790033
9.0,BCC_body,0.12959955717695437
9.0,HEX_basal,0.1930253865044781
9.0,PLANAR_cross,0.21525431045086416
9.1,SC_axes,0.20655333927110134
9.1,FCC_faces,0.16246038700640017
9.1,BCC_body,0.12944850330442337
9.1,HEX_basal,0.1928088341148934
9.1,PLANAR_cross,0.21535587386338653
9.200000000000001,SC_axes,0.20670065761933445
9.200000000000001,FCC_faces,0.16240048849269373
9.200000000000001,BCC_body,0.1292973169864711
9.200000000000001,HEX_basal,0.1926046854241752
9.200000000000001,PLANAR_cross,0.21545607922029972
9.3,SC_axes,0.20685491577822496
9.3,FCC_faces,0.16234001778306423
9.3,BCC_body,0.12914999469300328
9.3,HEX_basal,0.19237836874426684
9.3,PLANAR_cross,0.21556201102832825
9.4,SC_axes,0.20702282594985488
9.4,FCC_faces,0.16227593339365684
9.4,BCC_body,0.12899884963043778
9.4,HEX_basal,0.19212501762102407
9.4,PLANAR_cross,0.2156780246151476
9.5,SC_axes,0.20719295711258717
9.5,FCC_faces,0.1622080670783697
9.5,BCC_body,0.1288419309334826
9.5,HEX_basal,0.1918868637672906
9.5,PLANAR_cross,0.21579373811078312
9.6,SC_axes,0.20736120787741263
9.6,FCC_faces,0.16214381432318725
9.6,BCC_body,0.12869839110167366
9.6,HEX_basal,0.19163962698221876
9.6,PLANAR_cross,0.21590948056197323
9.700000000000001,SC_axes,0.2075520269390227
9.700000000000001,FCC_faces,0.16207280384687192
9.700000000000001,BCC_body,0.1285444772749786
9.700000000000001,HEX_basal,0.19135485957727413
9.700000000000001,PLANAR_cross,0.21604147375546637
9.8,SC_axes,0.20774923290906122
9.8,FCC_faces,0.16199411097967187
9.8,BCC_body,0.12837674367671142
9.8,HEX_basal,0.19108728290559207
9.8,PLANAR_cross,0.2161746598799164
9.9,SC_axes,0.20795326012659454
9.9,FCC_faces,0.1619178073188463
9.9,BCC_body,0.1282201091442814
9.9,HEX_basal,0.19079318032147152
9.9,PLANAR_cross,0.21631490162989864
10.0,SC_axes,0.20816819112719606
10.0,FCC_faces,0.1618354952114237
10.0,BCC_body,0.1280550726199014
10.0,HEX_basal,0.19049516538424877
10.0,PLANAR_cross,0.21646119528343155
10.1,SC_axes,0.20838518468673994
10.1,FCC_faces,0.16175740152336077
10.1,BCC_body,0.1279037727031614
10.1,HEX_basal,0.19018190433800974
10.1,PLANAR_cross,0.21661126675983583
10.200000000000001,SC_axes,0.20862380557954247
10.200000000000001,FCC_faces,0.1616703761497668
10.200000000000001,BCC_body,0.12773911196788443
10.200000000000001,HEX_basal,0.18984752745853678
10.200000000000001,PLANAR_cross,0.21677521402548075
10.3,SC_axes,0.2088745813313875
10.3,FCC_faces,0.16158144832871882
10.3,BCC_body,0.12757567627236716
10.3,HEX_basal,0.1894957601385317
10.3,PLANAR_cross,0.21694842033244532
10.4,SC_axes,0.20912439014298306
10.4,FCC_faces,0.16149188613916082
10.4,BCC_body,0.12741497360232984
10.4,HEX_basal,0.18915429884426696
10.4,PLANAR_cross,0.21711990501861786
10.5,SC_axes,0.2093807336273546
10.5,FCC_faces,0.16140076440428053
10.5,BCC_body,0.12725558304233967
10.5,HEX_basal,0.18880840936037085
10.5,PLANAR_cross,0.2172957867816404
10.6,SC_axes,0.20963583697577487
10.6,FCC_faces,0.1613091905587204
10.6,BCC_body,0.1270991083997682
10.6,HEX_basal,0.18847213318548767
10.6,PLANAR_cross,0.21746978099170328
10.700000000000001,SC_axes,0.209917943000383
10.700000000000001,FCC_faces,0.16121169290476045
10.700000000000001,BCC_body,0.12693697835391088
10.700000000000001,HEX_basal,0.18809854360160097
10.700000000000001,PLANAR_cross,0.2176637143690241
10.8,SC_axes,0.21020756028446733
10.8,FCC_faces,0.1611117521384382
10.8,BCC_body,0.1267747363110255
10.8,HEX_basal,0.18772168432232159
10.8,PLANAR_cross,0.21786223731903154
10.9,SC_axes,0.21050147024492377
10.9,FCC_faces,0.16100841448198516
10.9,BCC_body,0.12661085105189937
10.9,HEX_basal,0.18734867913239753
10.9,PLANAR_cross,0.21806191526264315
11.0,SC_axes,0.21083320552651458
11.0,FCC_faces,0.16090627098534893
11.0,BCC_body,0.12645382178213818
11.0,HEX_basal,0.1869137899454241
11.0,PLANAR_cross,0.2182948241276614
11.1,SC_axes,0.21116040560488591
11.1,FCC_faces,0.16079981152730036
11.1,BCC_body,0.12629313063498165
11.1,HEX_basal,0.18650307826551113
11.1,PLANAR_cross,0.21852043855257933
11.200000000000001,SC_axes,0.21150751664527423
11.200000000000001,FCC_faces,0.16068663113128018
11.200000000000001,BCC_body,0.12612611468666282
11.200000000000001,HEX_basal,0.1860757879883047
11.200000000000001,PLANAR_cross,0.2187587403972477
11.3,SC_axes,0.21186858519601048
11.3,FCC_faces,0.16057163089209306
11.3,BCC_body,0.12596041941771138
11.3,HEX_basal,0.1856367242708211
11.3,PLANAR_cross,0.2190072428345265
11.4,SC_axes,0.21224585724931921
11.4,FCC_faces,0.16045642355696746
11.4,BCC_body,0.12579821907091326
