t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,n_det_rho,n_raw_rho,n_pos,n_neg,n_raw_pos,n_raw_neg,n_inner,pair_sep,pair_sep_com,ax,ay,az,bx,by,bz,re_plus,re_minus,re_max,re_min,mass_plus,mass_minus,two_inner,nest3,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx
0.23,746.0035625912745,0.2937306187371623,16465.332683249082,16.00368011395835,15.732132722552274,19.235384061671343,20.89258241577618,0.44951263305468486,0.04295972715425166,0.2945243112740431,9.42477796076938,0.9989087326069037,0.29982700600602435,0.0022767891928137988,2.4266113856657302e-05,True,0,8660,0,0,9741,9665,0,nan,3.9854707634084767,-2.067152841521443,-0.4810014342396194,0.6717137299859814,1.8265705401461716,-0.1181703740381046,-0.09721348034780952,0.30523314699011916,-0.34185233730903497,0.4865576280089198,-0.47714829178345786,3.511388615212567,2.361084183996913,False,False,376,4.477474060769193,2.2387370303845966,False,64,0.5
0.24,777.8432745014093,0.3185342946643182,16474.456917209995,15.999369291832686,15.732132722552274,19.235384061671343,20.89258241577618,0.4818087084079915,0.04574378060389389,0.2945243112740431,9.42477796076938,0.9989423206831498,0.31166260527470196,0.0024606149149094788,2.6298959122604016e-05,True,0,8291,0,0,9667,9557,0,nan,4.069020222891688,-2.099088974013421,-0.50174406269314,0.6601512041121538,1.8695988052744887,-0.10803259217128591,-0.14696351066626256,0.30473699576182506,-0.3498038402701816,0.5043216826546666,-0.4944433247767286,3.636421364073048,2.4736877396567314,False,False,302,4.1620386723174185,2.0810193361587093,False,64,0.5
0.25,809.9824123497121,0.3290636251039443,16490.940733759864,16.000258608957967,15.732132722552274,19.222382786741086,20.89258241577618,0.504649270214414,0.048556955165152405,0.2945243112740431,9.42477796076938,0.9989709743184796,0.3229593480949704,0.002649073997433647,2.8392655575215518e-05,True,0,8356,0,0,9639,9530,0,nan,4.129579585006688,-2.128556042522188,-0.5163319759916831,0.6779210524050185,1.8878241573681542,-0.0570419800486377,-0.1653881070729657,0.35521825694926884,-0.33343049945386005,0.48079378198183226,-0.5342562558121111,3.6543967908162385,2.530109005565487,False,False,297,4.138941422805501,2.0694707114027504,False,64,0.5
0.26,842.1101404880638,0.30988421135471433,16488.21805219751,16.000687017112437,15.732132722552274,19.222382786741086,20.89258241577618,0.5223376278393195,0.051398088079933124,0.2945243112740431,9.42477796076938,0.9990214493496018,0.3334404115607125,0.0028395975528349264,3.052009730780676e-05,True,0,9051,0,0,9677,9598,0,nan,4.219409429573966,-2.1612004811836023,-0.4987498728718798,0.6882061941215909,1.94196989910035,0.00988509228350054,-0.15363656848882634,0.3533481303979881,-0.3523603808007959,0.4879669532562916,-0.49433166038541887,3.85994115858565,2.626745861120587,False,False,567,5.134499901516753,2.5672499507583764,False,64,0.5
0.27,873.523641424599,0.3608151852066046,16498.38113108364,15.997063437368379,15.732132722552274,19.222382786741086,20.89258241577618,0.5317031231487045,0.054261768010893704,0.2945243112740431,9.42477796076938,0.9990446597723901,0.34431159032950376,0.0030422025369961476,3.278947641958816e-05,True,0,8320,0,0,9651,9673,0,nan,4.242142591543856,-2.1947773012853915,-0.49510203264656205,0.64558531195744,1.935111714766812,0.07609264917898528,-0.1376944066207919,0.3618776203480538,-0.3281975425261182,0.5601173492341915,-0.4685754624877513,3.9588734997159922,2.68172478173705,False,False,262,3.969516035371225,1.9847580176856126,False,64,0.5
0.28,905.4676340082747,0.3551671548016535,16474.757055513674,15.997335878734123,15.732132722552274,19.222382786741086,20.89258241577618,0.5451672664724853,0.05714818895062358,0.2945243112740431,9.42477796076938,0.9990909993323615,0.35366592833115346,0.0032397931647338445,3.501707942890202e-05,True,0,8740,0,0,9614,9597,0,nan,4.337173367621137,-2.238590131974515,-0.47382683569659534,0.6087406676103342,1.9866438599911547,0.20072002528908683,-0.10080641770133525,0.32161079668792436,-0.3035405310535842,0.5490270223786837,-0.4784333553221402,4.074395351118468,2.8407486947873153,False,False,402,4.57838680503904,2.28919340251952,False,64,0.5
0.29,937.5387079702822,0.4197420546426138,16465.910190284092,15.994833057931768,15.724185193516387,19.222382786741086,20.89258241577618,0.5485711920513501,0.06005500110181913,0.2945243112740431,9.42477796076938,0.9991191579824295,0.36288222713557045,0.00344391068353951,3.732751349645785e-05,True,0,7550,0,0,9649,9656,0,nan,4.413815731765573,-2.273591452431754,-0.5029184745125814,0.5838311268088745,2.0070822842632907,0.3403592045381778,-0.08436377736603085,0.37348462844708535,-0.3179283853965707,0.5295792348938799,-0.5189050409932165,4.298880332337757,2.92645301831629,False,False,169,3.429778169737927,1.7148890848689635,False,64,0.5
0.3,969.7516153620907,0.4153770652297237,16472.092037972514,15.994453428111369,15.724185193516387,19.222382786741086,20.89258241577618,0.5550730528728415,0.06298385609519362,0.2945243112740431,9.42477796076938,0.9991528675446704,0.372030663897053,0.003655079444586476,3.9727010209384845e-05,True,0,7948,0,0,9637,9724,0,nan,4.473157899058362,-2.3220874624845003,-0.520052978080269,0.5627429335354641,1.9929367101158242,0.4720715493620986,-0.07396492869835214,0.41882420385750296,-0.3721108559152627,0.5238219316822444,-0.5267696251442532,4.189558116652515,3.012829730627377,False,False,221,3.7506040777364467,1.8753020388682233,False,64,0.5
0.31,1002.2267445530724,0.33755017484105765,16462.13646084225,15.996187031751434,15.732132722552274,19.222382786741086,20.89258241577618,0.6139984365014336,0.06593020602382915,0.2945243112740431,9.42477796076938,0.999160377014311,0.3802753420746545,0.0038652191643396587,4.2128327719419426e-05,True,0,9295,0,0,9607,9713,0,nan,4.568987627965457,-2.4120277813645075,-0.5467525251820522,0.5458839785730305,1.9863613300840122,0.5130242947837402,-0.09184187213062955,0.4006990876367079,-0.3974511353892379,0.546421783657502,-0.5348018493579585,4.166785785440144,2.9979979683726037,False,False,987,6.176505717687739,3.0882528588438696,False,64,0.5
0.32,1034.328644354925,0.3423343041885587,16467.1481118826,15.996413605215418,15.724185193516387,19.222382786741086,20.89258241577618,0.6465720008134335,0.06889631161118176,0.2945243112740431,9.42477796076938,0.9992071006949825,0.3888796489256335,0.004086475885072866,4.466402550335452e-05,True,0,9342,0,0,9645,9713,0,nan,4.617979567377253,-2.4502923036289026,-0.5732889549207467,0.5430587956926161,1.9662626153963956,0.5974746557360362,-0.1270833533393141,0.37067985262027087,-0.4752816514713941,0.5156564921915534,-0.5756878463418661,4.184378063752628,2.94667781027266,False,False,1105,6.413442758436861,3.2067213792184304,False,64,0.5
0.33,1066.3090135984194,0.38265298641397133,16452.092582203524,15.997503234852692,15.732132722552274,19.222382786741086,20.89258241577618,0.6608780775763127,0.0718756736904557,0.2945243112740431,9.42477796076938,0.9992331910125237,0.3967665121214044,0.004308097050416554,4.721748681893869e-05,True,0,9086,0,0,9687,9716,0,nan,4.700870545841743,-2.5153026055469674,-0.5922323215889076,0.5785957906668671,1.9417215736425106,0.7111346736142998,-0.15239930555318715,0.3640406367345269,-0.5002751955967344,0.5221520101030861,-0.590240853566865,4.2127734834780695,3.0615701348609616,False,False,707,5.526416359429567,2.7632081797147836,False,64,0.5
0.34,1098.146356013949,0.41937273945580167,16447.040370513176,15.996870205550563,15.724185193516387,19.235384061671343,20.89258241577618,0.6842777947286761,0.07486878915605845,0.2945243112740431,9.42477796076938,0.9992687097942413,0.4047187671407654,0.004537849380278904,4.987404510204212e-05,True,0,8723,0,0,9648,9728,0,nan,4.817811402065722,-2.5847239741601467,-0.5795207371407098,0.6212242562094197,1.9384528566072738,0.828704008997196,-0.2557484502347993,0.38090847122656724,-0.4840427575020563,0.5504820796995133,-0.5921083607603486,4.385422816160317,3.0123328386959223,False,False,483,4.867278242658203,2.4336391213291013,False,64,0.5
0.35000000000000003,1130.2875933886244,0.42455574287202097,16442.540950748655,15.99932932432159,15.732132722552274,19.241881404893856,20.904544960366874,0.7090585566503442,0.07787935952559227,0.2945243112740431,9.42477796076938,0.9992977723777878,0.4121688901737825,0.004769591188936737,5.25668877437418e-05,True,0,8878,0,0,9664,9655,0,nan,4.967336336424033,-2.6896372062276086,-0.5858801335250252,0.6206536279370134,1.9528437893004167,0.9004994945649756,-0.33458251381992454,0.3300293191201821,-0.49308518356189224,0.5778163102225125,-0.5650059606526734,4.351255312856554,2.980923843183506,False,False,555,5.098019096435963,2.5490095482179815,False,64,0.5
0.36,1161.6536540694958,0.450035985462422,16414.349654958707,15.998964203238666,15.732132722552274,19.241881404893856,20.904544960366874,0.7277648407930506,0.08089701076248743,0.2945243112740431,9.42477796076938,0.9993076880200179,0.4192494670231076,0.005004796477136213,5.531267973262707e-05,True,0,8722,0,0,9646,9733,0,nan,5.002512032562929,-2.7550955381584004,-0.5856329140772836,0.6201987043686081,1.8993865910555883,0.9441491109204101,-0.3900931845221489,0.35496445883346195,-0.43848810815259515,0.6562573018170087,-0.574981626373455,4.359203220778304,2.863891168755708,False,False,455,4.771346197986417,2.3856730989932085,False,64,0.5
0.37,1193.8567095241278,0.4830362483380363,16383.876375954624,15.997217466428102,15.732132722552274,19.235384061671343,20.89258241577618,0.7389602453743274,0.08392301129084248,0.2945243112740431,9.42477796076938,0.9993206137614542,0.4254159477341712,0.005235690762673209,5.802537489161278e-05,True,0,8418,0,0,9654,9692,0,nan,4.96910876906644,-2.780608470607902,-0.5980636748131971,0.5834512118510347,1.8332817217392972,0.982546752826849,-0.36824723188567354,0.4223381607482455,-0.4066657012060432,0.694925247783258,-0.6019369594410691,4.503707099298986,2.9530800834806716,False,False,355,4.392514946146356,2.196257473073178,False,64,0.5
0.38,1225.6743050812001,0.47930445694431584,16390.02281243224,16.000345549406724,15.732132722552274,19.241881404893856,20.89258241577618,0.7558193261753554,0.08696357124182799,0.2945243112740431,9.42477796076938,0.9993398006405034,0.43264824284094305,0.005486043100376788,6.096854638889283e-05,True,0,8573,0,0,9682,9766,0,nan,4.934084121710296,-2.765047869857421,-0.6277020254512387,0.5622714924025516,1.8033853742361288,1.010702035129281,-0.32668067090423847,0.4114906350669561,-0.3388695937237959,0.6840608436097408,-0.5972925124431063,4.470302692338019,2.981999509498561,False,False,451,4.757323057017385,2.3786615285086925,False,64,0.5
0.39,1256.911761842664,0.46825948514789245,16386.874191467014,16.004165592077367,15.732132722552274,19.241881404893856,20.89258241577618,0.7937966023330444,0.09001080746957046,0.2945243112740431,9.42477796076938,0.9993673723317407,0.43978092905918853,0.005742921170954798,6.400027892632679e-05,True,0,8846,0,0,9605,9733,0,nan,4.894219567440551,-2.7809600560662293,-0.6551761573767276,0.5169502825855936,1.7392232070497577,1.0542426271053458,-0.2571400618987667,0.40565763689368944,-0.3895606882596151,0.6365536322405445,-0.6466537824545047,4.524730314871124,3.111297548743046,False,False,621,5.292582831010538,2.646291415505269,False,64,0.5
0.4,1287.8877408505698,0.48546939308798925,16393.06396777542,16.00452863361219,15.732132722552274,19.241881404893856,20.898564544006366,0.827470190896757,0.09305602286486639,0.2945243112740431,9.42477796076938,0.9993732765623345,0.44700031288808345,0.006009467199187999,6.715668510946056e-05,True,0,8798,0,0,9670,9734,0,nan,4.890082235532736,-2.7809695806874117,-0.6865863776685561,0.4910538609821451,1.7112360386302647,1.1141086530091258,-0.20929630181946024,0.40124398845909115,-0.4475467046556514,0.635294936955071,-0.6897838691657224,4.532720398415445,3.2500928618595006,False,False,563,5.122397322985187,2.5611986614925937,False,64,0.5
0.5,1601.4013278360103,0.6010685646331915,16401.52359462374,16.005946991580327,15.748015748023622,19.241881404893856,20.89258241577618,1.062932639641335,0.12377109667226727,0.2945243112740431,9.42477796076938,0.999492666378026,0.5009310522592718,0.008827966888264682,0.00010144031110381206,True,0,8778,0,0,9577,9699,0,nan,4.996421032951931,-2.8890113998116362,-0.7417215152106618,0.43296998247514296,1.6897648731371255,1.1119292463979527,-0.31736983040545574,0.5357130835413875,-0.4409330182983185,0.7681764897478289,-0.684445732619467,4.576621195490244,3.960621748826169,False,False,547,5.073405464511547,2.5367027322557734,False,64,0.5
