t,norm,peak,PR,R_rms
0.465,1.000000000000069,4.586497188268594,1.1537626568190429,0.8137399987188239
0.4675,1.000000000000069,4.46642370056842,1.195324742668393,0.8163458082021885
0.47000000000000003,1.00000000000007,4.357238738807864,1.2347510932789652,0.8189186231399287
0.47250000000000003,1.0000000000000697,4.258436443494803,1.271854476834168,0.8214591040075818
0.47500000000000003,1.0000000000000706,4.169551365914862,1.3064729213324564,0.8239678693107937
0.47750000000000004,1.0000000000000706,4.090159375226663,1.3384675495392682,0.8264454898399127
0.48,1.000000000000071,4.019877749732877,1.3677201139095365,0.8288924861605433
0.4825,1.000000000000071,3.9583646242818724,1.3941304313164846,0.8313093284423637
0.485,1.0000000000000715,3.9053179856185687,1.4176138705023964,0.8336964378920252
0.4875,1.000000000000072,3.860474412189379,1.438099002120487,0.8360541892133194
0.49,1.0000000000000724,3.82360774475917,1.4555254860266218,0.8383829136590853
0.4925,1.0000000000000728,3.794527851635812,1.4698422442746708,0.8406829023587625
0.495,1.000000000000073,3.773079620967768,1.4810059502939703,0.842954409700975
0.4975,1.0000000000000737,3.759142276627544,1.4889798531887601,0.8451976566226966
0.5,1.000000000000074,3.7526290776584785,1.4937329489663633,0.8474128337081207
0.5025000000000001,1.0000000000000742,3.753487427608699,1.4952395060098362,0.8496001040350848
0.505,1.0000000000000753,3.761699391867906,1.4934789489774423,0.8517596057291056
0.5075000000000001,1.0000000000000753,3.777282599839514,1.4884361027133222,0.8538914541990174
0.51,1.000000000000075,3.8002914947666815,1.4801017951862858,0.8559957440379824
0.5125,1.0000000000000757,3.830818886556299,1.4684738155781607,0.8580725505830016
0.515,1.0000000000000762,3.8689977603557777,1.4535582200740862,0.8601219311384004
0.5175,1.0000000000000766,3.9150032935575205,1.4353709732631064,0.8621439258872582
0.52,1.0000000000000775,3.9690550334604353,1.4139399068671417,0.8641385585423146
0.5225,1.0000000000000775,4.031419183841328,1.389306969261768,0.866105836827186
0.525,1.0000000000000775,4.102410937888524,1.361530728400713,0.8680457529323165
0.5275,1.0000000000000786,4.182396773999591,1.3306890768041972,0.8699582841603278
0.53,1.0000000000000784,4.271796596497986,1.296882069797335,0.8718433940646032
0.5325,1.0000000000000788,4.371085551944505,1.260234806933761,0.8737010344952558
0.535,1.0000000000000795,4.480795279749378,1.2209002415610613,0.875531149100452
0.5375,1.0000000000000797,4.60151425918735,1.1790617753394055,0.8773336789906965
0.54,1.0000000000000795,4.733886789134041,1.1349354645585468,0.8791085714617242
0.5425,1.00000000000008,4.8786099768505276,1.0887716357547674,0.8808557928903197
0.545,1.00000000000008,5.036427912767505,1.0408556832295393,0.8825753471682534
0.5475,1.0000000000000806,5.208121965004832,0.9915078059507755,0.8842673013217895
0.55,1.0000000000000815,5.3944958383209585,0.9410814426664963,0.8859318202726123
0.5525,1.0000000000000815,5.596353710897635,0.889960189319213,0.8875692130161011
0.555,1.000000000000082,5.814469402997542,0.8385530390350302,0.8891799927950615
0.5575,1.0000000000000824,6.049544176490033,0.7872878769376059,0.8907649540763124
0.56,1.0000000000000833,6.30215047499208,0.7366032904060635,0.892325269200657
0.5625,1.0000000000000833,6.572658795552915,0.6869389144387309,0.8938626073255821
0.5650000000000001,1.0000000000000835,6.861145098345438,0.6387247080828622,0.8953792774939716
0.5675,1.0000000000000837,7.16727694813419,0.5923697303493513,0.8968783960360059
0.5700000000000001,1.0000000000000842,7.4901782549251985,0.5482511258845674,0.8983640756599179
0.5725,1.0000000000000844,7.828275410305623,0.5067041136145908,0.8998416290877003
0.5750000000000001,1.000000000000085,8.179132151781793,0.468013771509448,0.9013177735943761
0.5775,1.0000000000000848,8.539286812080952,0.43240931375688313,0.9028008142492282
0.58,1.0000000000000853,8.904113486113037,0.40006136432984873,0.9043007735868478
0.5825,1.0000000000000864,9.267737081538149,0.3710824615016461,0.9058294254436615
0.585,1.000000000000086,9.623039133886193,0.34553071458734186,0.9074001837692033
0.5875,1.0000000000000864,9.961793404892129,0.32341621962534656,0.909027797755719
0.59,1.000000000000087,10.274963654011957,0.30470956875711436,0.9107278176570788
0.5925,1.0000000000000866,10.55317717275015,0.2893515959088253,0.9125158249623457
0.595,1.0000000000000875,10.787356031763188,0.2772634134227211,0.914406465789979
0.5975,1.0000000000000875,10.969447856284928,0.26835581921514146,0.9164123802178364
0.6,1.0000000000000877,11.093159570299452,0.26253728507467716,0.9185431680102473
0.6025,1.0000000000000884,11.154574985672083,0.25971995392736763,0.9208045541746741
0.605,1.0000000000000882,11.152542716329174,0.2598233471968491,0.9231979011878063
0.6075,1.0000000000000888,11.088758558121958,0.2627757754171023,0.9257201564014726
0.61,1.0000000000000888,10.967527636896145,0.26851371459262685,0.9283642375949558
0.6125,1.0000000000000893,10.795257501738657,0.27697961677392574,0.931119773545975
0.615,1.0000000000000895,10.579782951183256,0.28811873333402244,0.9339740569409193
0.6175,1.0000000000000897,10.329642941826211,0.3018755278631438,0.9369130493307369
0.62,1.0000000000000897,10.05341804247047,0.31819015085137087,0.9399223004866963
0.6225,1.0000000000000906,9.759203104479127,0.3369952737826752,0.9429876923311281
0.625,1.0000000000000902,9.454248475827002,0.3582133865119459,0.9460959711523325
0.6275000000000001,1.0000000000000908,9.144766779976951,0.3817545017831854,0.9492350757002371
0.63,1.0000000000000908,8.835878052806835,0.4075141233869401,0.9523942957525888
0.6325000000000001,1.0000000000000913,8.531655093223957,0.43537133348613455,0.9555643060600129
0.635,1.0000000000000913,8.23523055391437,0.4651869269010671,0.9587371187765018
0.6375000000000001,1.0000000000000921,7.9489334255389,0.49680163293092794,0.9619059891928602
0.64,1.0000000000000926,7.674431310746229,0.5300345787064463,0.9650652994405844
0.6425,1.0000000000000924,7.412863551120083,0.5646822272396333,0.9682104356875378
0.645,1.0000000000000928,7.164957413506116,0.6005180467148973,0.9713376674499957
0.6475,1.000000000000093,6.931124679777066,0.637293130015851,0.9744440331393295
0.65,1.0000000000000935,6.711539224126593,0.6747378947811892,0.9775272334160012
0.6525,1.0000000000000941,6.506197887330266,0.7125648746208227,0.9805855327299609
0.655,1.000000000000094,6.314967616287842,0.7504724862832853,0.9836176690227537
0.6575,1.0000000000000944,6.137621830683365,0.7881495491755849,0.9866227715320693
0.66,1.0000000000000953,5.973868616609614,0.8252802605461339,0.9896002867086385
