t,norm,peak,PR,R_rms,finite,mass_w,mass_out,peak_w,n_cells_w,com_x,com_y,com_z,d_com,median_out,contrast,y_corr_w,y_corr_out,planted,alive,backend
0.61,1944.1856689453125,2.0047802925109863,16338.130122334416,16.002199375742002,True,16.765268325805664,1927.4202880859375,2.0047802925109863,1,7.984115133506243,0.0013440962746355766,0.043160781561189826,0.046010744867832014,0.041107017546892166,48.76978219653288,0.8131983869499197,0.728394868949167,True,True,numpy
0.615,1959.7720947265625,2.026510000228882,16332.703540706023,16.001901881295133,True,16.98470687866211,1942.787353515625,2.026510000228882,1,7.984938726456836,-0.004860122926067317,0.03828887467690858,0.041430673173658644,0.041429851204156876,48.914247609596806,0.8121662055795132,0.7283412022293229,True,True,numpy
0.62,1974.9593505859375,2.0937111377716064,16333.954687085217,16.001169305738372,True,17.160465240478516,1957.7989501953125,2.0937111377716064,1,7.995258225044173,-0.004555346406007173,0.05265839615162562,0.05306733737311462,0.041760437190532684,50.13623607959406,0.8123226078680843,0.7281068993665365,True,True,numpy
0.625,1990.5701904296875,2.1837096214294434,16326.909288764844,16.00064134072097,True,17.242393493652344,1973.327880859375,2.1837096214294434,1,8.0002495708315,-0.010891690995155504,0.0588749302492959,0.059874440541798336,0.04207026585936546,51.906247246671896,0.8126811063939942,0.7280924169992509,True,True,numpy
0.63,2004.9229736328125,2.217817783355713,16316.918845905917,16.001132362441886,True,17.400564193725586,1987.5224609375,2.217817783355713,1,8.00314544144144,-0.010998442589047374,0.06568257354230632,0.06667128323638728,0.04237779602408409,52.33442961722893,0.8129385873939461,0.7281744062269779,True,True,numpy
0.635,2020.056640625,2.290372848510742,16316.823757475344,16.00203361125944,True,17.52322769165039,2002.533447265625,2.290372848510742,1,8.00563646331129,-0.010538578916187523,0.06899964980959805,0.07002701648706305,0.04270835220813751,53.628218605782266,0.8124042678997432,0.728404946528633,True,True,numpy
0.64,2035.1400146484375,2.390615224838257,16321.423743295345,16.000626864394683,True,17.633228302001953,2017.5067138671875,2.390615224838257,1,8.002783833586449,-0.011276346144746294,0.07029097265398501,0.0712441334318584,0.04302429407835007,55.56431025886885,0.811908976883225,0.7283402117041871,True,True,numpy
0.645,2051.41259765625,2.4805920124053955,16320.445243779952,15.999100983394088,True,17.793371200561523,2033.619140625,2.4805920124053955,1,8.006579085826061,-0.002840789601148137,0.07515596018158562,0.07549683971320094,0.04344695806503296,57.09472245887403,0.8127603602142935,0.7286822464444268,True,True,numpy
0.65,2067.001953125,2.5125041007995605,16330.978557737744,15.998750029974016,True,17.937026977539062,2049.06494140625,2.5125041007995605,1,8.008501445341532,-0.004090902610867063,0.077878617094406,0.0784480022537461,0.0437937006354332,57.37135853659076,0.8143952375203443,0.7282216480284245,True,True,numpy
0.655,2082.672119140625,2.4979588985443115,16333.728744869357,15.998988472396961,True,18.03799057006836,2064.6337890625,2.4979588985443115,1,7.999885149112243,-0.008151955581143731,0.07751946563450976,0.07794700201279904,0.04417402297258377,56.54814142906224,0.8138880045418538,0.7279195301798768,True,True,numpy
0.66,2098.47412109375,2.5400729179382324,16334.850475678537,15.9990885906785,True,18.221702575683594,2080.252197265625,2.5400729179382324,1,8.006638963247067,-0.00487230813154207,0.07873739191878078,0.07916686242169939,0.04444149136543274,57.15543830542868,0.8180528273156916,0.7281167769534792,True,True,numpy
0.665,2113.00439453125,2.5239644050598145,16341.1981927586,16.000464394414486,True,18.379154205322266,2094.62548828125,2.5239644050598145,1,8.007720994626327,-0.005828424964904793,0.07443514228758973,0.07506113976596028,0.04477178677916527,56.373993236167905,0.8210730484245088,0.7279840221521784,True,True,numpy
0.67,2128.20654296875,2.5652377605438232,16346.766580239735,15.998521344358208,True,18.482101440429688,2109.72412109375,2.5652377605438232,1,8.002677802146845,-0.004863044166132356,0.06985116937744706,0.07007143274042713,0.04514705762267113,56.81960011621353,0.8279178362148337,0.727511545859641,True,True,numpy
0.675,2143.718994140625,2.613945722579956,16347.540219459215,15.99844763524151,True,18.5811767578125,2125.137939453125,2.613945722579956,1,8.007959830640562,-0.0026374829532806866,0.07605267234614016,0.07651355560385774,0.045373279601335526,57.60980351314558,0.830516972973907,0.72715932832256,True,True,numpy
0.68,2159.327392578125,2.6683528423309326,16345.53408263078,15.998413176396651,True,18.732511520385742,2140.594970703125,2.6683528423309326,1,8.010468067471116,0.00047085013797745263,0.07976973012531084,0.0804550307979383,0.04568982869386673,58.40146305230347,0.8331093965787515,0.7269264485377658,True,True,numpy
0.685,2174.492919921875,2.7308809757232666,16340.177647114058,16.000860446895803,True,18.84990119934082,2155.64306640625,2.7308809757232666,1,8.01829244937956,0.004643718820853351,0.07348463865134357,0.07586942695519355,0.04602095112204552,59.33995080808069,0.8381618431781034,0.7267666579273707,True,True,numpy
0.6900000000000001,2189.776611328125,2.7807185649871826,16340.847310773297,16.001062778585883,True,18.891963958740234,2170.885009765625,2.7807185649871826,1,8.024511489764341,0.008133242210406514,0.06782119356931858,0.07257187510659716,0.046330858021974564,60.018715035847116,0.8416223763713492,0.7263518013789853,True,True,numpy
