t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx
2.9,8273.805821346417,2.79447136343407,17102.190669280048,16.00176513472314,15.732132722552274,19.241881404893856,20.89258241577618,6.000942965904223,0.8632221512232161,10.701049976290232,342.4335992412874,0.999987433493078,0.7086128689188571,0.13425339669902453,0.002889414520877796,True,611,5.264020036228262,2.632010018114131,False,64,0.5
3.0,8507.531109182035,2.5516669427376693,17153.444313416076,16.00191494328551,15.732132722552274,19.241881404893856,20.898564544006366,5.916622281558942,0.892477752192794,10.701049976290232,342.4335992412874,0.9999801065025042,0.7116039657647694,0.14072468960147436,0.0031020996873387277,True,1285,6.744320070932521,3.3721600354662606,False,64,0.5
3.1,8751.492838077504,2.724484145492155,17295.53378036753,16.003793997553274,15.732132722552274,19.241881404893856,20.904544960366874,5.677508892822192,0.9215544678707333,10.701049976290232,342.4335992412874,0.9999787454732544,0.7140517649873664,0.14750894764027586,0.0033302528225098026,True,908,6.007112237230231,3.0035561186151156,False,64,0.5
3.2,8987.925943489292,3.0335087779753964,17349.927026627745,16.000246030842295,15.732132722552274,19.235384061671343,20.904544960366874,6.086833556437005,0.9504907185060693,10.701049976290232,342.4335992412874,0.9999706592271699,0.7151155361135785,0.15371678784584444,0.0035538822683659965,True,522,4.994905750700238,2.497452875350119,False,64,0.5
3.3000000000000003,9219.89579475238,2.650429586793395,17399.063809957188,16.00206210768732,15.732132722552274,19.222382786741086,20.89258241577618,5.827017598533298,0.9789935354756173,10.701049976290232,342.4335992412874,0.999971595224557,0.714868441145693,0.1599274073916093,0.0037857629616666437,True,1436,6.998773577111646,3.499386788555823,False,64,0.5
3.4,9455.19628599862,2.821472320786997,17477.51041059699,16.006293057680086,15.732132722552274,19.241881404893856,20.89258241577618,6.254229763065103,1.007693391981893,10.701049976290232,342.4335992412874,0.9999726088948221,0.7162964607107981,0.16620372769768021,0.004027461907143102,True,1085,6.374513466964086,3.187256733482043,False,64,0.5
3.5,9682.93288829884,2.667282391587525,17542.629625826183,16.00916481417968,15.732132722552274,19.241881404893856,20.89258241577618,5.920055526329699,1.0358406924044805,10.701049976290232,342.4335992412874,0.9999777496304372,0.7173764087086139,0.17250567376722414,0.00427852378969631,True,1761,7.491295276812965,3.7456476384064823,False,64,0.5
3.6,9908.455925201537,2.7477226738336458,17549.306950818238,16.00972712556818,15.75595125658873,19.241881404893856,20.89258241577618,6.7155644167160355,1.0638355767906142,10.701049976290232,342.4335992412874,0.9999807484391812,0.7157776837223738,0.17819250518402768,0.004522806661200265,True,1640,7.315630236588791,3.6578151182943954,False,64,0.5
3.7,10137.277080941589,2.951306451347462,17648.653876158052,16.011221925264618,15.763882770434446,19.235384061671343,20.89258241577618,5.824917407396252,1.0917361282197056,10.701049976290232,342.4335992412874,0.9999803809378152,0.7182096687331713,0.184571947632879,0.004793372979211093,True,1139,6.478558304356277,3.2392791521781383,False,64,0.5
3.8000000000000003,10361.606832890318,2.794745162289618,17706.124882122098,16.01327847736453,15.763882770434446,19.235384061671343,20.904544960366874,5.8717768793496745,1.119581780027067,10.701049976290232,342.4335992412874,0.999975425222481,0.7180489745130129,0.19057367078057577,0.005063173839307783,True,1828,7.58512124798147,3.792560623990735,False,64,0.5
3.9,10588.139377185656,3.055651891709275,17765.502637870795,16.00903462687772,15.75595125658873,19.235384061671343,20.898564544006366,6.0359577801935425,1.1474716672664835,10.701049976290232,342.4335992412874,0.999975697982741,0.7184018891643428,0.19642511059688067,0.005337555872389996,True,1125,6.451905103710747,3.2259525518553733,False,64,0.5
4.0,10792.84520367493,3.1178275831495683,17832.267046627137,16.0141937308131,15.763882770434446,19.241881404893856,20.910523666326483,5.4731372773942235,1.174467284388594,10.701049976290232,342.4335992412874,0.999976280229115,0.7204952407569319,0.20304274599580624,0.00564236119977957,True,1011,6.226168196958447,3.1130840984792236,False,64,0.5
4.1,11015.68424279807,2.926441851885079,17935.762418750874,16.01746438676206,15.763882770434446,19.241881404893856,20.904544960366874,6.364311455572197,1.2015059780642674,10.701049976290232,342.4335992412874,0.9999780165450405,0.7213433608051635,0.20927414743617717,0.00594653141959778,True,1740,7.4613981132645755,3.7306990566322877,False,64,0.5
4.2,11235.733816644595,3.0292214733345655,17992.1213867025,16.016439100171624,15.763882770434446,19.248376554920156,20.904544960366874,6.053451850053623,1.2286341102955776,10.701049976290232,342.4335992412874,0.9999767466046603,0.7197157918838392,0.21496666555473226,0.006244523247556102,True,1492,7.088593485493209,3.5442967427466043,False,64,0.5
4.3,11450.691045510455,3.353957932813455,17998.039959620928,16.017772121199727,15.763882770434446,19.248376554920156,20.910523666326483,6.2164139449302205,1.2557924822387805,10.701049976290232,342.4335992412874,0.9999802011970306,0.7175268871206492,0.22012321028780696,0.006535802888396334,True,867,5.915300738446302,2.957650369223151,False,64,0.5
4.4,11658.977153449316,2.80902322896637,18095.356733408033,16.016976972155135,15.75595125658873,19.254869513969705,20.910523666326483,6.339395550796443,1.2823029370694419,10.701049976290232,342.4335992412874,0.9999838448644561,0.7200248341585455,0.22651353170806587,0.006873356211955901,True,2862,8.807655917955683,4.403827958977842,False,64,0.5
4.5,11868.67867854737,3.135940139594724,18116.8381461526,16.015707475849833,15.763882770434446,19.248376554920156,20.910523666326483,7.5520642296255165,1.3087945221444612,10.701049976290232,342.4335992412874,0.9999861602144909,0.718588371679086,0.23178074429211634,0.00718655789342905,True,1636,7.309677727665421,3.6548388638327105,False,64,0.5
4.6000000000000005,12069.821478218819,2.9262902593362554,18170.91379591955,16.014503511408012,15.75595125658873,19.241881404893856,20.910523666326483,6.259783838754972,1.3350122351838052,10.701049976290232,342.4335992412874,0.999988157108629,0.719213871706049,0.23765259693181673,0.007528255318939079,True,2667,8.602898562519496,4.301449281259748,False,64,0.5
4.7,12275.767159686697,3.1203105242710736,18192.05181654588,16.017536348652442,15.763882770434446,19.248376554920156,20.910523666326483,5.994951919986004,1.3607409503940127,10.701049976290232,342.4335992412874,0.9999936690960824,0.718420932971176,0.24277101292660333,0.007855506301467358,True,1940,7.736972268202585,3.8684861341012926,False,64,0.5
4.8,12478.063057047884,3.0858719880444645,18313.491018680965,16.01887989387798,15.763882770434446,19.248376554920156,20.910523666326483,6.132663943414356,1.3865532018259823,10.701049976290232,342.4335992412874,0.9999914531466961,0.7203867069199941,0.24927028323799783,0.008237407631162964,True,2202,8.070669601423765,4.035334800711882,False,64,0.5
4.9,12675.610533606476,3.1620383187497865,18381.132238003906,16.018310478715208,15.763882770434446,19.248376554920156,20.910523666326483,6.281201028484883,1.4120352395049225,10.701049976290232,342.4335992412874,0.9999867594295465,0.7215314023735531,0.2551135293329173,0.008608505897702458,True,1995,7.809407710674971,3.9047038553374853,False,64,0.5
5.0,12876.14304089072,3.20321666883368,18391.35925463758,16.01884338249296,15.75595125658873,19.248376554920156,20.898564544006366,6.344098534729624,1.4374192646924144,10.701049976290232,342.4335992412874,0.9999864549814494,0.7180175351589089,0.2598827430371726,0.008953647001769456,True,2016,7.8367135542065425,3.9183567771032712,False,64,0.5
5.1000000000000005,13079.38099911579,3.3930311274930043,18405.485660608345,16.015790408805792,15.748015748023622,19.248376554920156,20.904544960366874,6.819778926706885,1.4628545885088409,10.701049976290232,342.4335992412874,0.9999924500146867,0.7166423146259714,0.2644695023354514,0.009301257943694085,True,1538,7.160707082159036,3.580353541079518,False,64,0.5
5.2,13283.190613014227,3.1435759979211944,18507.55811685979,16.017189963877517,15.75595125658873,19.241881404893856,20.904544960366874,6.235614853971614,1.4884287777704146,10.701049976290232,342.4335992412874,0.9999922772504902,0.7172101220636623,0.2701960301589573,0.009698294748075292,True,2629,8.56184429648107,4.280922148240535,False,64,0.5
5.3,13470.904095088274,3.4451717322927973,18531.325959056587,16.01402867719846,15.75595125658873,19.241881404893856,20.904544960366874,6.498391774745025,1.513573538016106,10.701049976290232,342.4335992412874,0.9999915858837092,0.7171117034462949,0.27531260637100136,0.010083777583839182,True,1542,7.166909516686719,3.5834547583433594,False,64,0.5
5.4,13652.854356208543,3.3020165920558324,18576.741086285936,16.01406974332916,15.75595125658873,19.241881404893856,20.904544960366874,5.783197337534307,1.5378444959040052,10.701049976290232,342.4335992412874,0.999989714745056,0.7173718735310336,0.28083667048094296,0.010494813504685549,True,2188,8.053529171426842,4.026764585713421,False,64,0.5
5.5,13839.77310307802,3.1690028651468767,18663.49486485744,16.014169325079457,15.75595125658873,19.241881404893856,20.904544960366874,6.321827693537691,1.5618733964643439,10.701049976290232,342.4335992412874,0.9999921768294584,0.7169831829535898,0.28662142018297687,0.010927635726151397,True,2962,8.909065425890262,4.454532712945131,False,64,0.5
5.6000000000000005,14030.680946962035,3.7753598654568012,18636.285654189698,16.014689572078286,15.763882770434446,19.241881404893856,20.89258241577618,6.657422485287898,1.5861013329214735,10.701049976290232,342.4335992412874,0.9999931449851065,0.7128013167591718,0.2903633611887671,0.011292343961548122,True,1024,6.252741134374175,3.1263705671870876,False,64,0.5
5.7,14222.538214034832,3.1622233159841886,18699.22480797643,16.017844302279315,15.771810295587505,19.241881404893856,20.89258241577618,7.546699253559664,1.6101554781276566,10.701049976290232,342.4335992412874,0.9999940708778527,0.7125772200915269,0.29532464248486223,0.011714006710263212,True,3452,9.375491820189923,4.687745910094962,False,64,0.5
5.8,14406.748569981268,3.317251431775318,18681.155696374903,16.015922364182984,15.771810295587505,19.235384061671343,20.89258241577618,6.29181870777535,1.634301668161814,10.701049976290232,342.4335992412874,0.9999942895587808,0.709668171261291,0.29920091657080033,0.012101865883624054,True,2790,8.733169003290072,4.366584501645036,False,64,0.5
5.9,14587.885818656443,3.8561808981264973,18781.302428857944,16.018037228712963,15.771810295587505,19.241881404893856,20.89258241577618,6.33854374932551,1.6579093871695698,10.701049976290232,342.4335992412874,0.9999917233726159,0.7121586065539879,0.3049686038291398,0.012576544163883674,True,1011,6.226168196958447,3.1130840984792236,False,64,0.5
6.0,14758.292383016003,3.4144181804326066,18807.523179674918,16.01850851533799,15.7797338380595,19.241881404893856,20.89258241577618,5.894490602482163,1.6813228245989429,10.701049976290232,342.4335992412874,0.999991705953755,0.7120844279048196,0.3098797539859463,0.01302688089706097,True,2634,8.56726867977228,4.28363433988614,False,64,0.5
6.1000000000000005,14931.92372328334,3.8347847617559494,18816.101545756057,16.02015818146415,15.7797338380595,19.248376554920156,20.89258241577618,6.055263403014916,1.7039248148486486,10.701049976290232,342.4335992412874,0.9999944652459125,0.7092300537750207,0.31419183007867235,0.013463177460690777,True,1279,6.733806694462845,3.3669033472314225,False,64,0.5
6.2,15110.639143386943,3.5284046197769015,18824.263483485505,16.019908727916643,15.7797338380595,19.248376554920156,20.910523666326483,7.347545111702942,1.726819571340075,10.701049976290232,342.4335992412874,0.9999957028381449,0.707434059812694,0.31816454826606344,0.013894095408594405,True,2444,8.356110943090421,4.1780554715452105,False,64,0.5
6.3,15284.836995113226,3.3312335228840224,18899.262987221784,16.01819561505748,15.75595125658873,19.254869513969705,20.910523666326483,6.387284626571645,1.7496105548136796,10.701049976290232,342.4335992412874,0.9999963947667919,0.7079871480478569,0.3233438122399635,0.014387749788656696,True,3514,9.431288919214234,4.715644459607117,False,64,0.5
6.4,15462.94530207973,3.996008113648774,18871.735145838215,16.01559132158874,15.748015748023622,19.248376554920156,20.91650066335189,6.260988642545049,1.7724581847799417,10.701049976290232,342.4335992412874,0.9999962196922518,0.7055337016978389,0.3264702317386028,0.014799961205523187,True,1172,6.540530885180194,3.270265442590097,False,64,0.5
6.5,15632.353207019125,3.8636973543681528,18929.50931339997,16.012409915340466,15.732132722552274,19.254869513969705,20.92844953645635,6.4400227319112995,1.795163916399616,10.701049976290232,342.4335992412874,0.9999936292440742,0.7051444340432607,0.3313312422722024,0.015300280162526289,True,1555,7.186993653530205,3.5934968267651026,False,64,0.5
6.6000000000000005,15801.314422112646,3.483474109875858,19001.10951002433,16.011743299059397,15.75595125658873,19.254869513969705,20.92844953645635,6.257960039021038,1.8172996017901624,10.701049976290232,342.4335992412874,0.9999924967569849,0.7050441635933099,0.3363027795987058,0.015818195107324823,True,3174,9.116737236581384,4.558368618290692,False,64,0.5
