t,R_rms,norm,peak_density,participation,Vmem_mean,Vmem_peak,memory_density_overlap
2.8000000000000003,6.561306921274548,1.1308870585467101,0.06591034517057703,63.969734252234346,0.00012921722593913255,0.200833404433216,0.9968670918536916
2.9,6.649383759958035,1.1356113102690326,0.07326098570353694,58.72750675676767,0.00013017005090514223,0.22350462032206173,0.9969001983616846
3.0,6.7320911916394985,1.1400008241160728,0.08102416573687736,54.009364356916066,0.00013109771146288984,0.24808668137968973,0.9969558649365848
3.1,6.8087827301964685,1.1446137252228832,0.08886917719800365,49.75944725368535,0.00013199335840333022,0.2739502181675147,0.9970169977038799
3.2,6.883459429103496,1.1479812492537251,0.09665755610860519,46.02903827892316,0.00013282850616713616,0.3003932686589794,0.9971555824328187
3.3000000000000003,6.964146618217823,1.1526817316848534,0.10417484543205173,42.93740593207755,0.00013367056884913927,0.32675154670100265,0.9973276710418854
3.4,7.040269322916344,1.1572170637801775,0.1120204312451582,40.24790170700533,0.00013452583301474337,0.3533119180962844,0.9974701632118362
3.5,7.117762600403598,1.1621913932093293,0.12013172548204894,37.99843740788855,0.00013538941101442692,0.3809989266504633,0.9976254760065435
3.6,7.194807364222184,1.166782563694927,0.12830956709689706,36.12517272699072,0.00013625269291869812,0.40942483782010225,0.9977725440826728
3.7,7.266945508140557,1.1707442850749374,0.13468831488025376,34.6964793195019,0.00013706331038224013,0.43661195341506726,0.9980271880209833
3.8000000000000003,7.341507547891087,1.1750074975486007,0.1409856331636833,33.61327107261782,0.0001378382744649868,0.46101771785926304,0.9981985921010533
3.9,7.415374830176824,1.1789625738635514,0.14610172822755318,32.96625839928047,0.0001386113038564232,0.4839332651266802,0.9984740812110593
4.0,7.488569389819741,1.1830239089925596,0.14957333735624692,32.68487274689653,0.00013935212317914581,0.5032803769467632,0.9987035266354649
4.1,7.564632229287381,1.187204161228207,0.14957477911501202,32.93187899275244,0.00014009447211201507,0.5158850944938609,0.9990417329005133
4.2,7.642624595471778,1.1918505387383955,0.14702433685502433,33.62447253662055,0.0001408457901018067,0.5200742340022432,0.9993079486339528
4.3,7.712557262379422,1.1974449401953533,0.14256294067908623,34.78321945462569,0.00014164019783767358,0.5168662237271924,0.9995377400249623
4.4,7.787220622914162,1.2021954897321818,0.13617838051425715,36.465773185568004,0.00014244809575746667,0.5068522642505808,0.9996916260466334
4.5,7.859302068820117,1.2058629607514906,0.1282931899104033,38.69202002252044,0.0001431835494795037,0.49099794098660327,0.9997862792809223
4.6000000000000005,7.9310287682373195,1.2095588259916077,0.11948076004448312,41.54603690095172,0.00014387505327360627,0.470264056947117,0.9997835675170418
4.7,8.002127735302885,1.2136625714293434,0.11040411410672236,44.998437480093045,0.0001445364604178603,0.44641310475813784,0.9997035321275556
4.8,8.070097620024487,1.2184046298703644,0.1013621793840251,49.168007137311776,0.0001452506973012206,0.42103905704556,0.9995494385895889
4.9,8.139477770951476,1.2226173499306536,0.09293860210418198,54.02404690294245,0.00014597110248281472,0.39537268518768454,0.9992811735552634
5.0,8.206198100694753,1.2266852758278055,0.08458185248282563,59.725938435539746,0.0001466421858633369,0.37023871107532363,0.9988814895346607
5.1000000000000005,8.2778254722116,1.2303365436554645,0.07487650185532688,66.41643150663042,0.00014730037546727275,0.3434328259843212,0.9983094619555465
5.2,8.341642916403103,1.2347074811121297,0.06591680774477138,73.93228024782697,0.00014794484830418724,0.3148887663431164,0.9976636273018172
5.3,8.406555639050458,1.2399548630214894,0.05871805159085243,82.54357366322402,0.00014863769697051079,0.2884324771565702,0.9969708977578198
5.4,8.464985365981411,1.2441045453838933,0.05304911663966777,92.20283005302716,0.00014933723692729954,0.26621617231987266,0.9962007290955083
5.5,8.53163659162482,1.247980281968094,0.04830712675169984,103.22101478552062,0.00014998857786651786,0.24701594658911694,0.9953871860043185
5.6000000000000005,8.593854831445066,1.2520532951491112,0.04403890610334972,115.71645743025888,0.0001506313837424436,0.23065477795158443,0.9942921953090531
5.7,8.655986997097928,1.255446106206538,0.03988805331205028,129.4677194220716,0.00015124421412106824,0.21540416826093448,0.9931947430221661
5.8,8.725838357443557,1.2602299047777716,0.03571289933766733,145.10829822168,0.0001518656769569111,0.20072653248488237,0.9918201096778713
5.9,8.790461317790559,1.2643996252936611,0.0315064603036089,162.38829787121733,0.0001525117933468384,0.18593480514961133,0.9902270494724735
6.0,8.856828191302641,1.2676761356967345,0.02695870147104365,181.37634291868218,0.00015311345762589548,0.17077664640461976,0.9886685453692616
6.1000000000000005,8.924204654804448,1.2715776282579954,0.023137660043789147,202.24390870804797,0.00015370736479424383,0.15566607973304974,0.9870301745707303
6.2,8.991615736954957,1.2749404468045287,0.021169165384352085,225.72778771008615,0.00015427950125839412,0.143356443773663,0.9854512113947557
6.3,9.055710312338325,1.2785521056789255,0.020330714455146802,251.0024296182558,0.00015483498443969002,0.13532084604025432,0.9837349433203939
6.4,9.116279287686545,1.2821242408793077,0.01912084780068907,277.76763053480204,0.00015539560826220478,0.12917234861667892,0.9819921580234616
6.5,9.173439943429834,1.2863513683813483,0.017194775531914893,307.6450103114881,0.00015596079265850902,0.12223056790586131,0.9805636521614595
6.6000000000000005,9.238348504135079,1.2906600571936253,0.015310310670125143,340.1436799277744,0.000156565871156807,0.11464150825201735,0.978808679870837
6.7,9.30266725081749,1.2946775134262243,0.013801290220385341,375.61085203558156,0.00015717069734734235,0.10734134600001789,0.9770611873301497
6.8,9.36331001905611,1.2990030702029862,0.012383873435864218,413.7398249595509,0.00015777822179333583,0.10064213468573578,0.9750160524043274
6.9,9.422179316026824,1.3033240214722521,0.011206382010039942,455.11148581078817,0.00015839186754384513,0.09434324466016873,0.9731590632817945
7.0,9.484892179196638,1.3074493176579614,0.010388265970531115,500.2635788979611,0.00015899237991642755,0.0886287227913939,0.9715037710334473
7.1000000000000005,9.548958806283846,1.3110509113302564,0.009626724685206051,548.9456556552844,0.00015956735032552694,0.08355880992995691,0.9696423492447215
7.2,9.607206609402521,1.314545645510321,0.009053181958477331,599.8114941815859,0.00016011572258561762,0.07972152049560519,0.9679794874024616
7.3,9.666225444733248,1.3180648371993442,0.008733890644842623,655.1154949690015,0.00016065072869540754,0.07661969485638472,0.9666229708119285
7.4,9.727809888552171,1.3214235394096034,0.008262668221383721,715.0661839259913,0.00016117832876764721,0.07363668147396626,0.9648885718326579
7.5,9.789053907385988,1.3248950662000805,0.00754603591161821,778.4203289137105,0.00016166300629817247,0.07030228059117402,0.9627323200279886
7.6000000000000005,9.84650739348644,1.328888083244313,0.006910699288760096,844.8049025131218,0.00016219565187361568,0.06648816752950071,0.961420646985316
7.7,9.909276911451165,1.3326369684175203,0.0063779843786722105,915.377943205409,0.00016273336310851833,0.06269864591179874,0.9596973319476011
7.8,9.965170645633904,1.3372047408575558,0.005921420446399558,990.2371902007269,0.000163303558288387,0.059738625345132024,0.9580107404816189
7.9,10.021367929775762,1.3403349337962451,0.00562672878817713,1070.59317575405,0.00016385609012344688,0.05730573712124326,0.9561110841157832
8.0,10.078613814543859,1.3448518585583664,0.005235779871177097,1153.514698363562,0.00016440921596802685,0.05460333816920359,0.9539429195689612
8.1,10.134449725129366,1.348505715003859,0.004884193875497292,1243.9358075055038,0.00016496602745081897,0.0516475857439372,0.95240208312578
8.2,10.198345195652278,1.3527837790180173,0.0043846899091550704,1339.847616054855,0.00016551578139881667,0.04901225728343233,0.9510942972211044
8.3,10.259340842539391,1.3571676316910628,0.004062317511226015,1441.9754557943895,0.00016609441232301795,0.04636223776057183,0.9494457596923229
8.4,10.319642374887103,1.3612370987658164,0.003844456277791667,1545.5811447116378,0.00016666797167742836,0.04360218365221855,0.9476305881907187
8.5,10.38291250878731,1.3644266528260223,0.0035877006383775987,1657.6978328594253,0.00016720934405976964,0.04111742808228672,0.9468966188639613
8.6,10.437732361080295,1.3681040328414142,0.0033231290668579824,1774.2947950756495,0.0001677303004501519,0.039321802145345676,0.9459703865556776
8.700000000000001,10.50041478955794,1.3723144499920066,0.0031876523250583045,1897.3038443595333,0.00016825383584457199,0.03824845865626728,0.9450337537337853
8.8,10.552902810059983,1.3759935113812207,0.003066218606194378,2021.535600269628,0.00016878965371164677,0.037270141433522905,0.9440160330796971
8.9,10.612882652017307,1.3796460570995153,0.0028878846504753622,2151.751209506297,0.0001693083079194175,0.03610117691747161,0.9427735696934897
9.0,10.671055734018964,1.3838125815874498,0.0027640033137737116,2293.694136077303,0.00016983641245997625,0.03453314986612182,0.9423487622993408
9.1,10.720478715028614,1.3882975779965097,0.0027151974561018064,2428.949206497936,0.00017039663119252935,0.03253659470291047,0.9409110859433605
9.200000000000001,10.77672831716828,1.391993113658885,0.00272442013820832,2575.2942583797058,0.0001709598567583995,0.03051525784968355,0.9401828903639325
9.3,10.828210897649981,1.3960421835080108,0.002575674234892818,2724.205681965565,0.00017151525595424284,0.028927298275387914,0.939665064315886
9.4,10.88371456672675,1.4004779403132892,0.0025974146243365366,2881.0745534327093,0.00017206853940838527,0.028082789732258334,0.9388866069211717
9.5,10.936199543586717,1.4043477869845191,0.0023112913967365425,3037.4366109584353,0.00017261280614716751,0.027796411429970354,0.938455659245456
9.6,10.989558746297401,1.40781520049485,0.0022447412737912216,3204.7240438903036,0.00017313172306796887,0.027470023500806635,0.938338376015648
9.700000000000001,11.043778525372156,1.4108868560901866,0.002300610799912118,3375.0561182487318,0.00017362332741336945,0.026960080789392445,0.9373045700444478
9.8,11.098135569624432,1.413872670675787,0.002199125050718734,3549.3134313092332,0.00017408231325954368,0.026354529000022518,0.9362093574426944
9.9,11.155439309909386,1.4175196277881077,0.001920211336540698,3737.4107483159255,0.00017455941070147505,0.025104158044841066,0.9356912690600059
