snap,t,x,Re_psi
t001,0.01,-7.0,0.018356832309351354
t001,0.01,-6.5,0.015391362939420429
t001,0.01,-6.0,7.56375111383191e-05
t001,0.01,-5.5,-0.03771461919058315
t001,0.01,-5.0,0.011048008593556528
t001,0.01,-4.5,0.029315360562805995
t001,0.01,-4.0,0.02157422884697288
t001,0.01,-3.5,0.0438324764822957
t001,0.01,-3.0,0.06759086936973263
t001,0.01,-2.5,0.08791554379428057
t001,0.01,-2.0,0.12031477664092961
t001,0.01,-1.5,0.13257838386222975
t001,0.01,-1.0,0.12368219008626244
t001,0.01,-0.5,0.08500228531663291
t001,0.01,0.0,-0.03478362308888638
t001,0.01,0.5,0.07585247438650869
t001,0.01,1.0,0.11480380021655782
t001,0.01,1.5,0.11299340741122216
t001,0.01,2.0,0.12129469987763933
t001,0.01,2.5,0.08282584124853826
t001,0.01,3.0,0.05286518906991366
t001,0.01,3.5,0.042199327837982775
t001,0.01,4.0,0.007486681543193428
t001,0.01,4.5,0.04496584853831305
t001,0.01,5.0,-0.03524710030004608
t001,0.01,5.5,-0.016951502800853238
t001,0.01,6.0,0.010232993959087711
t001,0.01,6.5,-0.03484559806556177
t001,0.01,7.0,0.004050321122911771
t001,0.01,7.5,0.02703586437855675
t001,0.01,8.0,-0.01700729529105479
t001,0.01,8.5,0.004299036175807708
t001,0.01,9.0,-0.0013641210288727838
t001,0.01,9.5,0.0023189635707997333
t001,0.01,10.0,-0.04209274284764905
t001,0.01,10.5,-0.013586803590690725
t001,0.01,11.0,-0.01406050362976657
t001,0.01,11.5,0.005251149579652921
t001,0.01,12.0,-0.002156988664599702
t001,0.01,12.5,-0.011531371550783306
t001,0.01,13.0,-0.019396712330915035
t001,0.01,13.5,0.036030264084890996
t001,0.01,14.0,0.023378406688224093
t001,0.01,14.5,-0.002109943541314954
t001,0.01,15.0,0.0026825177653249377
t001,0.01,15.5,0.016377885563124417
t002,0.02,-16.0,0.03925922348245539
t002,0.02,-15.5,-0.008212322465354773
t002,0.02,-15.0,0.009666985476803863
t002,0.02,-14.5,-0.02435837778895822
t002,0.02,-14.0,0.04831263362589135
t002,0.02,-13.5,-0.006795503761524865
t002,0.02,-13.0,-0.027890340309916495
t002,0.02,-12.5,0.1165703794532146
t002,0.02,-12.0,0.03140166734925814
