t,planted,norm,peak,PR,R_rms,mass_p,peak_p,d_p,mass_m,peak_m,d_m,peak_in_p,peak_in_m
0.6900000000000001,True,2190.83837890625,5.323411464691162,16155.671860998802,15.998163468926837,18.89179801940918,2.779484272003174,0.07255601376612925,18.33509063720703,5.323411464691162,0.012268421330073515,False,True
0.6950000000000001,True,2206.884033203125,5.359065055847168,16163.208714745864,15.998283531818027,19.071001052856445,2.842874050140381,0.07608090185039428,18.471349716186523,5.359065055847168,0.01341098718448595,False,True
0.7000000000000001,True,2222.135009765625,5.369197845458984,16170.26617775648,15.998740533436946,19.273456573486328,2.9295339584350586,0.07704192549222841,18.50320053100586,5.369197845458984,0.029273934385135272,False,True
0.705,True,2237.9296875,5.304161548614502,16184.618117493632,15.998844541702125,19.362133026123047,2.897881031036377,0.07787898916686206,18.606277465820312,5.304161548614502,0.03484995696740182,False,True
0.71,True,2253.55078125,5.2498459815979,16187.528052841077,15.99831323440764,19.44228744506836,2.9859795570373535,0.07996151740860827,18.736894607543945,5.2498459815979,0.03383443484658569,False,True
0.715,True,2269.128662109375,5.133314609527588,16200.036486283449,15.99958326583422,19.53473663330078,3.075742244720459,0.08464066597030682,18.865230560302734,5.133314609527588,0.03735992873232512,False,True
0.72,True,2285.24609375,5.048213958740234,16210.119800713024,16.000716275723434,19.59862518310547,3.0603504180908203,0.08447628632222817,18.978857040405273,5.048213958740234,0.039672729345744256,False,True
0.725,True,2300.59130859375,5.097303867340088,16213.15058690782,16.000214899627775,19.678508758544922,3.1689727306365967,0.08754867452465136,19.126140594482422,5.097303867340088,0.04777637819281833,False,True
0.73,True,2315.04443359375,5.006925582885742,16219.743218826303,16.001138625987338,19.681640625,3.2584002017974854,0.0869102889010927,19.176130294799805,5.006925582885742,0.05308765005911573,False,True
0.735,True,2330.89501953125,4.8973588943481445,16227.477223640719,16.00254814945169,19.811105728149414,3.393366813659668,0.0862937087568898,19.39267349243164,4.8973588943481445,0.05457389389679189,False,True
0.74,True,2346.310546875,4.81552791595459,16229.421998596068,16.002481016976443,20.05668830871582,3.457751512527466,0.09179565036603969,19.443641662597656,4.81552791595459,0.054756302109978436,False,True
0.745,True,2361.060791015625,4.649642467498779,16230.881968608326,16.003316123045327,20.084285736083984,3.4109766483306885,0.09312303958721213,19.51268768310547,4.649642467498779,0.05439312020876783,False,True
0.75,True,2375.86279296875,4.491663455963135,16238.492287188754,16.004189016083405,20.32120132446289,3.546703338623047,0.09933983921405239,19.556625366210938,4.491663455963135,0.05710944310648419,False,True
0.755,True,2390.3837890625,4.41458797454834,16244.683779916706,16.005069123740636,20.455181121826172,3.6027262210845947,0.09696347112785922,19.62613296508789,4.41458797454834,0.05933317475704818,False,True
0.76,True,2404.88623046875,4.263680934906006,16254.64747624521,16.00671484424346,20.572433471679688,3.6992201805114746,0.09206057402827325,19.70360565185547,4.263680934906006,0.05641299205723593,False,True
0.765,True,2420.4287109375,4.132165908813477,16260.518744695992,16.00654193223925,20.636524200439453,3.744746208190918,0.09252613765260513,19.892314910888672,4.132165908813477,0.05727517741567783,False,True
0.77,True,2435.144287109375,4.085954666137695,16249.48305400281,16.006133023942528,20.74822235107422,3.9947426319122314,0.0899664449287387,20.010334014892578,4.085954666137695,0.06005017945933187,False,True
0.775,True,2450.54052734375,4.071601867675781,16256.586916841215,16.006251035865578,20.895652770996094,4.071601867675781,0.09765242829933245,20.127613067626953,3.929892063140869,0.061031318576613564,True,False
0.78,True,2466.4072265625,4.199363708496094,16249.327908935355,16.00596773302188,21.043651580810547,4.199363708496094,0.105337382473259,20.33325958251953,3.843773365020752,0.05261058258237975,True,False
0.785,True,2481.75732421875,4.259037494659424,16245.302821396335,16.005925727449075,21.04029083251953,4.259037494659424,0.09922494811169519,20.596172332763672,3.867954730987549,0.058843778337442566,True,False
0.79,True,2496.73681640625,4.370973110198975,16259.100131455387,16.005900039999883,21.041433334350586,4.370973110198975,0.09412503405287982,20.778989791870117,3.7081353664398193,0.0622580067753633,True,False
0.795,True,2512.22265625,4.401642322540283,16261.710314876067,16.006384858054304,21.157487869262695,4.401642322540283,0.09800836106614838,20.92132568359375,3.588043212890625,0.06573065921999287,True,False
0.8,True,2526.601318359375,4.509880542755127,16260.179258978553,16.00568553708087,21.212055206298828,4.509880542755127,0.09850859454811152,21.065372467041016,3.4087390899658203,0.06168747797154197,True,False
0.805,True,2540.825927734375,4.612025737762451,16259.482075124422,16.005541945179658,21.26019859313965,4.612025737762451,0.09162374698038603,21.246917724609375,3.281541109085083,0.06034654278693214,True,False
0.81,True,2555.41259765625,4.64396333694458,16259.521452841394,16.00496469608197,21.320663452148438,4.64396333694458,0.09196757711171465,21.4022216796875,3.0647635459899902,0.057423936119710556,True,False
