t,density_front_r,phase_front_r,response_norm
0.32,2.2222222222222223,2.2222222222222223,1.7573955413500148e-05
0.33,2.2222222222222223,2.2222222222222223,1.791319311981707e-05
0.34,2.2222222222222223,2.2222222222222223,1.8005168636138532e-05
0.35000000000000003,2.2222222222222223,2.2222222222222223,1.8381066094623612e-05
0.36,2.2222222222222223,2.2222222222222223,1.846120997799725e-05
0.37,2.2222222222222223,2.2222222222222223,1.8594874072617296e-05
0.38,2.2222222222222223,2.2222222222222223,1.889939070755418e-05
0.39,2.2222222222222223,2.2222222222222223,1.8942207598235432e-05
0.4,2.2222222222222223,2.2222222222222223,1.898228714530657e-05
0.41000000000000003,2.2222222222222223,2.2222222222222223,1.933490093500197e-05
0.42,2.2222222222222223,2.2222222222222223,1.9416128428160893e-05
0.43,2.2222222222222223,2.2222222222222223,1.947388899247269e-05
0.44,2.2222222222222223,2.2222222222222223,1.976072695182517e-05
0.45,2.2222222222222223,2.2222222222222223,1.9749831485507285e-05
0.46,2.2222222222222223,2.2222222222222223,1.9830589974477565e-05
0.47000000000000003,2.2222222222222223,2.2222222222222223,1.9758982347095134e-05
0.48,2.2222222222222223,2.2222222222222223,1.9991393847785496e-05
0.49,2.2222222222222223,2.2222222222222223,2.0117619947802184e-05
0.5,2.2222222222222223,2.2222222222222223,2.0367859416814464e-05
0.51,2.2222222222222223,2.2222222222222223,2.07045043250935e-05
0.52,2.2222222222222223,2.2222222222222223,2.0905994339203806e-05
0.53,2.2222222222222223,2.2222222222222223,2.1073984712485475e-05
0.54,2.2222222222222223,2.2222222222222223,2.1224154300567913e-05
0.55,2.2222222222222223,2.2222222222222223,2.1456531619957666e-05
0.56,2.2222222222222223,2.2222222222222223,2.1770968232970294e-05
0.5700000000000001,2.2222222222222223,2.2222222222222223,2.2088170086751072e-05
0.58,2.2222222222222223,2.2222222222222223,2.2341618291281744e-05
0.59,2.2222222222222223,2.2222222222222223,2.2497934044234114e-05
0.6,2.2222222222222223,2.2222222222222223,2.2826114349202902e-05
0.61,2.2222222222222223,2.2222222222222223,2.3042590433422088e-05
0.62,2.2222222222222223,2.2222222222222223,2.324860770770518e-05
0.63,2.2222222222222223,2.2222222222222223,2.3525602896778202e-05
0.64,2.2222222222222223,2.2222222222222223,2.379988054090808e-05
0.65,2.2222222222222223,2.2222222222222223,2.4048713554688885e-05
0.66,2.2222222222222223,2.2222222222222223,2.422919109596979e-05
0.67,2.2222222222222223,2.2222222222222223,2.4388174795350328e-05
