t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,seed,N,dx,backend
1.9000000000000001,5650.11376953125,2.174306869506836,16632.157376976644,15.98815169221323,15.724185193516387,19.222382786741086,20.886598574205422,4.045761713571847,0.5581131917636353,10.701049976290232,342.4335992412874,0.9999853372573853,0.6860166057227112,0.07496139117319192,0.0012577123846393757,True,419,4.642035647701579,2.3210178238507897,False,25,64,0.5,mlx
2.0,5920.857421875,1.8724751472473145,16657.356041933697,15.983495809522424,15.724185193516387,19.215878850575635,20.8806130178211,4.290564923733473,0.5884694637708703,10.50470043544087,336.15041393410786,0.9999830722808838,0.6894455352786453,0.08059709309892887,0.0013876165566228213,True,1289,6.751310819726735,3.3756554098633673,False,25,64,0.5,mlx
2.1,6183.50390625,2.1398773193359375,16734.79270448024,15.983673145756713,15.724185193516387,19.215878850575635,20.8806130178211,4.6356985291466115,0.6188744360536743,10.30835089459151,329.8672286269283,0.9999864101409912,0.6938701126680107,0.0867076649744186,0.0015315406789943684,True,732,5.590802584393159,2.7954012921965794,False,25,64,0.5,mlx
2.2,6454.9326171875,2.3978431224823,16753.276402769316,15.987475287175245,15.724185193516387,19.215878850575635,20.8806130178211,5.170765887014568,0.6494178168467437,10.30835089459151,329.8672286269283,0.9999850392341614,0.6944618878078858,0.09226249754955783,0.0016715643862085336,True,488,4.884015919923077,2.4420079599615385,False,25,64,0.5,mlx
2.3000000000000003,6729.396484375,2.3077399730682373,16889.201272882387,15.983043721467777,15.724185193516387,19.209372712298546,20.8806130178211,4.663384455442428,0.6804586240832426,10.30835089459151,329.8672286269283,0.9999818801879883,0.6992225938117997,0.09838251773472947,0.0018277840840904209,True,647,5.36543853147534,2.68271926573767,False,25,64,0.5,mlx
2.4,6979.7001953125,2.1847829818725586,16863.277893156963,15.986815012198493,15.724185193516387,19.209372712298546,20.868636754709208,5.020929662883281,0.7110058007557456,10.701049976290232,342.4335992412874,0.9999806880950928,0.699663683686208,0.10421535855767661,0.0019851980608338203,True,1149,6.497462871110569,3.2487314355552845,False,25,64,0.5,mlx
2.5,7237.41748046875,2.5836493968963623,16931.164602346584,15.990096201765365,15.724185193516387,19.215878850575635,20.886598574205422,5.590388402715325,0.7409452626594111,10.701049976290232,342.4335992412874,0.9999848008155823,0.7031225092448938,0.11033877426044796,0.0021547106270310753,True,466,4.809490845915606,2.404745422957803,False,25,64,0.5,mlx
2.6,7485.7880859375,2.4714910984039307,16911.506249389207,15.991821417912218,15.732132722552274,19.215878850575635,20.89258241577618,5.322056298144162,0.7707379322057142,10.701049976290232,342.4335992412874,0.9999863505363464,0.7045276190575833,0.11612088008519131,0.002324127567172406,True,846,5.867150806277213,2.9335754031386063,False,25,64,0.5,mlx
2.7,7738.61474609375,2.4057540893554688,16995.692970221553,15.99553420008923,15.732132722552274,19.222382786741086,20.89258241577618,5.591191973164678,0.8003040968325108,10.701049976290232,342.4335992412874,0.9999867677688599,0.7069179996699162,0.12240034746102219,0.002510436988721721,True,1160,6.518131631368211,3.2590658156841057,False,25,64,0.5,mlx
2.8000000000000003,7985.43994140625,2.480470895767212,17141.63178109002,15.998590624343436,15.732132722552274,19.222382786741086,20.89258241577618,5.3144939206540585,0.8299824359367751,10.701049976290232,342.4335992412874,0.9999860525131226,0.7097911816014099,0.12923281202839548,0.002716193846104776,True,1031,6.26695657399373,3.133478286996865,False,25,64,0.5,mlx
2.9,8230.427734375,2.8268985748291016,17151.75428603409,16.002019377986297,15.732132722552274,19.222382786741086,20.89258241577618,6.113916184008121,0.8594041273356952,9.326603190344699,298.45130209103036,0.9999858736991882,0.7093452319209561,0.13503204624559884,0.0029078722229595546,True,514,4.9692575156455945,2.4846287578227972,False,25,64,0.5,mlx
3.0,8473.72265625,2.493760108947754,17216.58629481838,16.00267072819258,15.732132722552274,19.222382786741086,20.89258241577618,5.429820865765214,0.88860659531464,9.326603190344699,298.45130209103036,0.9999870657920837,0.7112297496231903,0.14123346328010503,0.0031154762173758403,True,1401,6.941444282093464,3.470722141046732,False,25,64,0.5,mlx
3.1,8710.6044921875,2.953125476837158,17228.457284141135,16.002684083803665,15.732132722552274,19.215878850575635,20.89258241577618,5.748385875299573,0.91743095525965,9.326603190344699,298.45130209103036,0.9999847412109375,0.7110943658217816,0.14710138431913602,0.0033234560096472602,True,547,5.073405464511547,2.5367027322557734,False,25,64,0.5,mlx
3.2,8943.5234375,2.454430103302002,17309.40567205369,16.001190990887682,15.732132722552274,19.222382786741086,20.89258241577618,5.679116263240576,0.9461254472406275,10.112001353742146,323.5840433197487,0.9999814629554749,0.7146977056760558,0.15362431436031443,0.003553901238298821,True,2037,7.8638304261786605,3.9319152130893302,False,25,64,0.5,mlx
3.3000000000000003,9187.0625,2.5708682537078857,17381.359693832404,16.00084412564573,15.732132722552274,19.222382786741086,20.89258241577618,5.297304582595825,0.9746795218758104,10.112001353742146,323.5840433197487,0.9999868273735046,0.7138294278060671,0.15960210178503914,0.0037800842619518786,True,1704,7.409581176811981,3.7047905884059906,False,25,64,0.5,mlx
3.4,9420.509765625,2.882786512374878,17488.926679665467,16.00211081946401,15.732132722552274,19.235384061671343,20.89258241577618,5.873451906442642,1.003495996820042,10.701049976290232,342.4335992412874,0.999984860420227,0.716775220416008,0.16619026857526764,0.004029029472780767,True,886,5.958199456187754,2.979099728093877,False,25,64,0.5,mlx
3.5,9657.3984375,2.6691155433654785,17531.618853662567,16.003399357412572,15.732132722552274,19.241881404893856,20.89258241577618,5.9112798474729065,1.0323046902440276,10.701049976290232,342.4335992412874,0.9999884963035583,0.7154646272037007,0.17194288218705325,0.004266308619071549,True,1680,7.374629802528655,3.6873149012643274,False,25,64,0.5,mlx
