t,norm,peak,PR,R_rms,finite,seed,member,backend
1.36,4166.97314453125,1.508073091506958,16474.893740664244,16.001182555701945,True,0,B,mlx
1.3800000000000001,4221.83251953125,1.4373829364776611,16492.70405735773,15.999648716123938,True,0,B,mlx
1.4000000000000001,4281.06591796875,1.6286531686782837,16515.10909867653,15.999423094983168,True,0,B,mlx
1.42,4338.06982421875,1.6186717748641968,16527.454957259208,16.00003963813139,True,0,B,mlx
1.44,4393.962890625,1.856139063835144,16513.206703007316,15.995209313630543,True,0,B,mlx
1.46,4453.556640625,2.0821876525878906,16502.79411697063,15.993954417826986,True,0,B,mlx
1.48,4511.23046875,1.90179443359375,16487.108705117393,15.993414592831769,True,0,B,mlx
1.5,4571.12451171875,1.6414594650268555,16501.78461456463,15.99445456011173,True,0,B,mlx
1.52,4628.212890625,1.637819528579712,16521.521698585228,15.995712075041775,True,0,B,mlx
1.54,4686.86474609375,1.5430543422698975,16537.290009620083,15.99407148805041,True,0,B,mlx
1.56,4746.470703125,1.6703710556030273,16550.354456464614,15.992444609547817,True,0,B,mlx
1.58,4800.61865234375,1.6932201385498047,16549.02641538095,15.988861232590095,True,0,B,mlx
1.6,4856.34375,1.8683158159255981,16534.978386674982,15.987868069083804,True,0,B,mlx
1.62,4909.41015625,1.7553954124450684,16533.08954899112,15.987813990837468,True,0,B,mlx
1.6400000000000001,4965.453125,1.6723518371582031,16554.566265041478,15.985833297182149,True,0,B,mlx
1.6600000000000001,5019.947265625,1.665841817855835,16588.462106863186,15.984067962653077,True,0,B,mlx
1.68,5074.45556640625,1.7689952850341797,16600.47143729336,15.983366864309218,True,0,B,mlx
1.7,5130.603515625,1.9484506845474243,16605.647001223733,15.982159210004138,True,0,B,mlx
1.72,5187.869140625,1.8701525926589966,16615.58498632656,15.980341078922732,True,0,B,mlx
1.74,5242.5390625,2.022305488586426,16630.519816996155,15.982733802896167,True,0,B,mlx
1.76,5302.0224609375,1.7839802503585815,16636.22211948956,15.98355467210115,True,0,B,mlx
1.78,5355.7509765625,1.913330078125,16631.431391633294,15.983135202579277,True,0,B,mlx
1.8,5411.568359375,1.8763065338134766,16631.207861737385,15.984251580280473,True,0,B,mlx
1.82,5464.8798828125,1.9671480655670166,16630.652335308183,15.985983705676784,True,0,B,mlx
1.84,5519.08203125,1.9899957180023193,16629.87013380011,15.986149538559419,True,0,B,mlx
1.86,5569.9892578125,2.104185104370117,16608.752315537036,15.987007201556366,True,0,B,mlx
1.8800000000000001,5624.2822265625,1.9984744787216187,16598.162822814527,15.987819957075994,True,0,B,mlx
1.9000000000000001,5678.35498046875,1.7468750476837158,16609.517913568623,15.98788449729083,True,0,B,mlx
1.92,5731.4951171875,2.1905441284179688,16625.089482758223,15.987931089388166,True,0,B,mlx
1.94,5784.265625,2.713076114654541,16617.79074800993,15.986976599938018,True,0,B,mlx
1.96,5836.52734375,2.956998586654663,16621.918474484075,15.987891939151758,True,0,B,mlx
1.98,5890.8173828125,2.9016153812408447,16624.187628526164,15.98791339957821,True,0,B,mlx
2.0,5946.01953125,2.330653429031372,16667.26944702878,15.987625920264552,True,0,B,mlx
2.02,5998.060546875,1.824750304222107,16686.887730700935,15.989979497584653,True,0,B,mlx
2.04,6053.716796875,1.868884801864624,16715.634965450907,15.990399492099789,True,0,B,mlx
2.06,6107.73681640625,1.930161714553833,16732.259057730378,15.991257198203702,True,0,B,mlx
2.08,6159.431640625,2.0781915187835693,16737.376455467303,15.991658165264978,True,0,B,mlx
2.1,6214.0390625,1.9789810180664062,16743.1568144291,15.992860945364956,True,0,B,mlx
2.12,6265.21826171875,1.9097404479980469,16761.446951815306,15.994465892432725,True,0,B,mlx
2.14,6318.7451171875,1.9723912477493286,16765.931822965973,15.993860388567189,True,0,B,mlx
2.16,6370.19091796875,2.19020414352417,16774.225133471646,15.992566346959407,True,0,B,mlx
2.18,6422.39501953125,2.2965712547302246,16772.990120085808,15.994219596105761,True,0,B,mlx
2.2,6472.0673828125,2.295846700668335,16787.824972739538,15.995139073150268,True,0,B,mlx
2.22,6526.41015625,2.115415096282959,16808.719402868006,15.994141616530818,True,0,B,mlx
2.24,6580.79150390625,2.2324113845825195,16844.209706448284,15.993118004486986,True,0,B,mlx
2.2600000000000002,6633.82763671875,2.701934576034546,16837.00685301071,15.992965115904653,True,0,B,mlx
2.2800000000000002,6686.880859375,2.6183488368988037,16838.763926809068,15.992835416249177,True,0,B,mlx
2.3000000000000003,6741.0849609375,2.3608362674713135,16833.254912706685,15.99243508872045,True,0,B,mlx
2.32,6795.375,2.521150827407837,16832.854049251153,15.991254555756798,True,0,B,mlx
2.34,6849.89453125,2.506159782409668,16835.07776001768,15.992700720159457,True,0,B,mlx
2.36,6903.5986328125,2.300633192062378,16840.776894444614,15.993917950614527,True,0,B,mlx
2.38,6953.5322265625,2.494807720184326,16864.08997580625,15.992751357183748,True,0,B,mlx
2.4,7003.373046875,2.297273874282837,16890.52035581482,15.992501768607225,True,0,B,mlx
2.42,7057.14453125,2.184387683868408,16922.10399734237,15.992779343805848,True,0,B,mlx
2.44,7105.791015625,2.3541038036346436,16952.836991818003,15.992491406025817,True,0,B,mlx
2.46,7157.3408203125,2.3040771484375,16953.955629521643,15.994776332126449,True,0,B,mlx
2.48,7211.666015625,2.433058738708496,16930.248111459547,15.995630958019943,True,0,B,mlx
2.5,7259.80615234375,2.674889326095581,16922.426366609536,15.995313045850713,True,0,B,mlx
2.52,7310.33837890625,2.4288065433502197,16938.58293868259,15.995600703851823,True,0,B,mlx
2.54,7357.8623046875,2.144852876663208,16971.549841535732,15.99375141073739,True,0,B,mlx
2.56,7412.0810546875,2.3186354637145996,17009.31631480785,15.99536606406209,True,0,B,mlx
2.58,7462.18896484375,2.4399867057800293,17012.65632604733,15.998872095204012,True,0,B,mlx
2.6,7511.5732421875,2.2796921730041504,16996.89251354812,15.999017562135998,True,0,B,mlx
2.62,7560.33203125,2.596811294555664,16977.88520065713,15.999756642450711,True,0,B,mlx
2.64,7610.18505859375,2.596416711807251,16989.526982284533,15.99907665985909,True,0,B,mlx
2.66,7661.9970703125,2.293921947479248,17023.53452450362,15.997761742757035,True,0,B,mlx
2.68,7712.9814453125,2.3486037254333496,17052.28191855387,15.99774610796847,True,0,B,mlx
2.7,7764.109375,2.2620344161987305,17075.61034994779,15.998872385206466,True,0,B,mlx
2.72,7814.52734375,2.5072948932647705,17084.682732990503,16.000950622824327,True,0,B,mlx
2.74,7864.49609375,2.570507287979126,17085.169426810102,16.002363491198068,True,0,B,mlx
2.7600000000000002,7919.6552734375,2.181056022644043,17071.83313697365,16.001408549355393,True,0,B,mlx
2.7800000000000002,7967.787109375,2.5532000064849854,17075.31893272968,16.00159774861937,True,0,B,mlx
2.8000000000000003,8020.40185546875,2.6335997581481934,17074.028949173746,16.002949621804312,True,0,B,mlx
2.82,8068.5888671875,2.821516275405884,17065.239491563716,16.00338140691678,True,0,B,mlx
2.84,8118.6259765625,2.6653501987457275,17063.2096266454,16.002105312171608,True,0,B,mlx
2.86,8164.888671875,2.511901378631592,17077.48832664901,15.99997685852154,True,0,B,mlx
2.88,8218.4599609375,2.8794009685516357,17087.447551105586,16.000600901377233,True,0,B,mlx
2.9,8268.931640625,2.8098859786987305,17102.215721605113,16.001763705328674,True,0,B,mlx
2.92,8316.5751953125,2.9127042293548584,17132.70878555109,16.00083781597044,True,0,B,mlx
2.94,8361.0009765625,2.589414596557617,17137.47077208322,16.000937452189977,True,0,B,mlx
2.96,8407.20703125,2.3654112815856934,17120.30120004547,16.00027824353881,True,0,B,mlx
2.98,8453.9619140625,2.6664912700653076,17126.49049930628,16.001214864694614,True,0,B,mlx
3.0,8502.5029296875,2.533369541168213,17153.05516847034,16.00190853875943,True,0,B,mlx
3.02,8551.6591796875,2.540724992752075,17184.21678436947,16.00301706113746,True,0,B,mlx
3.04,8600.21875,2.6594414710998535,17216.75178725294,16.001856921696277,True,0,B,mlx
3.06,8650.130859375,2.586864948272705,17255.335719351093,16.003486187637744,True,0,B,mlx
3.08,8697.755859375,2.630880355834961,17280.75426495333,16.00341924820946,True,0,B,mlx
3.1,8746.0390625,2.732593536376953,17294.650231776668,16.003832760685135,True,0,B,mlx
3.12,8795.6611328125,2.634206771850586,17267.807199081668,16.004791131428902,True,0,B,mlx
3.14,8843.048828125,3.0654618740081787,17267.74125191331,16.004027527707187,True,0,B,mlx
3.16,8886.8330078125,3.305953025817871,17287.33397089557,16.004490406758144,True,0,B,mlx
3.18,8935.423828125,2.8056204319000244,17320.619829785457,16.003419615509294,True,0,B,mlx
3.2,8982.138671875,3.0489444732666016,17348.70520294408,16.000293692054566,True,0,B,mlx
3.22,9028.646484375,3.0609281063079834,17363.539003073754,16.001312819562628,True,0,B,mlx
3.24,9073.5634765625,2.920687437057495,17376.833639684297,16.001130184416823,True,0,B,mlx
3.2600000000000002,9118.560546875,2.839913845062256,17386.27523350768,16.001228961998937,True,0,B,mlx
3.2800000000000002,9165.345703125,2.8370373249053955,17400.07353743386,16.002628493621785,True,0,B,mlx
3.3000000000000003,9213.599609375,2.624689817428589,17395.767133362602,16.002118379284372,True,0,B,mlx
3.3200000000000003,9262.994140625,2.77616548538208,17385.489319473952,16.001940295770748,True,0,B,mlx
3.34,9312.59375,2.71693754196167,17405.1219090528,16.0022168195871,True,0,B,mlx
3.36,9359.591796875,2.807382345199585,17446.548862014573,16.003019272415138,True,0,B,mlx
3.38,9403.8330078125,2.9092352390289307,17474.008576134198,16.004100979287898,True,0,B,mlx
3.4,9448.841796875,2.7972519397735596,17476.8841155292,16.006318183651462,True,0,B,mlx
3.42,9495.74609375,2.615222215652466,17469.845953670992,16.008068115981978,True,0,B,mlx
3.44,9540.9345703125,2.8682544231414795,17473.466685971503,16.008064298313013,True,0,B,mlx
3.46,9584.955078125,3.144735097885132,17488.492575985405,16.008164365668193,True,0,B,mlx
3.48,9626.861328125,2.766666889190674,17519.383153803996,16.008773262942537,True,0,B,mlx
3.5,9676.107421875,2.684030294418335,17537.091483619133,16.009233119132023,True,0,B,mlx
3.52,9724.3173828125,2.7529985904693604,17543.876053264645,16.00925214470332,True,0,B,mlx
3.54,9764.583984375,3.460846185684204,17548.53609570163,16.009387069387042,True,0,B,mlx
3.56,9811.28515625,3.5576436519622803,17550.945889627503,16.009218316613417,True,0,B,mlx
3.58,9856.51171875,3.262334108352661,17556.037116684183,16.009579042041086,True,0,B,mlx
3.6,9901.119140625,2.770345449447632,17549.689041980586,16.00988205392755,True,0,B,mlx
3.62,9947.185546875,2.77374267578125,17564.62229212863,16.01042358420571,True,0,B,mlx
3.64,9994.060546875,2.930994987487793,17579.762008392783,16.0105463516021,True,0,B,mlx
3.66,10038.943359375,2.725651502609253,17602.00367501018,16.011119648309823,True,0,B,mlx
3.68,10083.115234375,2.7585983276367188,17620.097974520435,16.01176685345924,True,0,B,mlx
3.7,10129.8095703125,3.002354145050049,17648.84253098352,16.011397259061585,True,0,B,mlx
3.72,10174.05859375,2.9544339179992676,17672.537325983645,16.011948303016183,True,0,B,mlx
3.74,10217.21484375,2.856264591217041,17690.437528136004,16.011903845660274,True,0,B,mlx
3.7600000000000002,10265.611328125,2.817599296569824,17691.95757887913,16.012338308284544,True,0,B,mlx
3.7800000000000002,10307.384765625,2.7556331157684326,17689.46014210294,16.012685048850138,True,0,B,mlx
3.8000000000000003,10353.958984375,2.815246343612671,17703.498153283686,16.013447911003706,True,0,B,mlx
3.8200000000000003,10400.607421875,2.766404867172241,17729.106125614817,16.012985191003803,True,0,B,mlx
3.84,10447.59765625,2.9999520778656006,17749.158277068404,16.012284716690733,True,0,B,mlx
3.86,10493.62890625,3.268582344055176,17760.17597230794,16.010296828759515,True,0,B,mlx
