seed,finite,blew_up,blow_t,wall_s,n_records,box_filled,t_settle,t_fill,peak_max,peak_max_t,backend,norm_late_mean,norm_late_std,norm_late_n,peak_late_mean,peak_late_std,peak_late_n,PR_late_mean,PR_late_std,PR_late_n,R_rms_late_mean,R_rms_late_std,R_rms_late_n,k_star_late_mean,k_star_late_std,k_star_late_n,k_star_L_late_mean,k_star_L_late_std,k_star_L_late_n,Vmem_peak_late_mean,Vmem_peak_late_std,Vmem_peak_late_n,crystallinity_late_mean,crystallinity_late_std,crystallinity_late_n
13,True,False,,14.060878083997522,81,True,0.1,0.1,5.238064289093018,0.2,mlx,16771.79084329044,763.8492000840575,17,3.801543684566722,0.20800732601947514,17,19220.003619706655,196.08813380085832,17,15.989966642411657,0.020453728300329113,17,10.735699895263648,0.07485238002918616,17,343.54239664843675,2.3952761609339572,17,6.628092284938869,0.4331350675289078,17,0.9999909996986389,3.4729316083634768e-06,17
14,True,False,,14.18086566599959,81,True,0.1,0.1,5.656131267547607,0.7000000000000001,mlx,16724.312097886028,777.3830327958316,17,3.866529015933766,0.2337886707237252,17,19212.33685843154,184.13072877155267,17,16.026306208636665,0.015012448550451049,17,10.701049976290232,0.0,17,342.4335992412874,0.0,17,6.74938596031245,0.4146027440388619,17,0.9999933207736296,2.315661146871126e-06,17
15,True,False,,14.090529167006025,81,True,0.1,0.1,5.224953651428223,0.2,mlx,16740.477998621325,771.5382596816391,17,3.93583625905654,0.245884484738852,17,19183.201515903347,181.17793657293956,17,16.010510582113056,0.004587367814226767,17,10.874299571157318,0.06326180745822252,17,347.97758627703416,2.0243778386631206,17,6.727523265340749,0.5517832485138684,17,0.9999925564317143,2.734095531250461e-06,17
16,True,False,,14.073698292006156,81,True,0.1,0.1,5.378213405609131,0.2,mlx,16773.942842371325,785.7280917186259,17,3.9379590960109936,0.22499506521857132,17,19187.243387772545,170.74776803249165,17,15.990290479224557,0.022209907328627657,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,7.035174524170511,0.6170799327919453,17,0.9999941692632788,2.0249315782678342e-06,17
17,True,False,,14.295223292006995,81,True,0.1,0.1,4.748476028442383,0.2,mlx,16846.157513786766,800.197763690468,17,3.9744774594026455,0.19382682543491783,17,19201.316692345823,184.1663090270444,17,15.99865661049802,0.01648748064065409,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,6.734064018156598,0.34861554489876045,17,0.9999925739624921,1.3615084259590126e-06,17
18,True,False,,14.223697125009494,81,True,0.1,0.1,4.9409003257751465,0.2,mlx,16720.07456341912,785.6274295045754,17,3.901310780469109,0.265811958182009,17,19176.09098716451,159.91324976108038,17,16.03748677765552,0.013016043310589875,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,6.843144264247488,0.561632147957403,17,0.999991750015932,2.4240901408548862e-06,17
19,True,False,,14.061121999999159,81,True,0.1,0.1,5.190671920776367,0.2,mlx,16827.788143382353,783.000683547145,17,3.940197692197912,0.25986351638847366,17,19236.880676838864,196.04173271021511,17,15.977983059882721,0.020562942665605037,17,10.793449760219344,0.0980047706946704,17,345.390392327019,3.1361526622294527,17,6.7548504994196055,0.472359178105886,17,0.9999947653097265,2.398189909394294e-06,17
20,True,False,,14.32543299999088,81,True,0.1,0.1,4.487344264984131,7.6000000000000005,mlx,16780.86781939338,783.050686087045,17,3.771922097486608,0.2970335650586615,17,19204.243407933005,194.23924621692973,17,16.01231935522425,0.00667752608909862,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,6.927500970793122,0.5379438530263582,17,0.9999904246891246,2.0388890073414755e-06,17
21,True,False,,14.192083125002682,81,True,0.1,0.1,5.074291229248047,0.2,mlx,16795.9384765625,787.0634366691768,17,3.8560746838064754,0.3063575732378841,17,19233.82964313429,210.31432731988582,17,16.03150772882963,0.032968643205446097,17,10.701049976290232,0.0,17,342.4335992412874,0.0,17,6.700809881441733,0.38702807470232675,17,0.9999947057050818,1.268404782409475e-06,17
22,True,False,,14.152057667000918,81,True,0.1,0.1,5.3998870849609375,0.2,mlx,16752.34880514706,780.5021936363185,17,3.9226323997273163,0.22407221123262502,17,19192.60538835506,185.91201981127426,17,16.016004233076995,0.021256717859445846,17,10.781899787228205,0.0966340070923422,17,345.0207931913026,3.0922882269549503,17,6.86229896462139,0.39590924534718824,17,0.9999934680321637,3.156833134400172e-06,17
23,True,False,,14.128662167000584,81,True,0.1,0.1,4.793304920196533,0.2,mlx,16813.102998621325,786.1294500840157,17,3.9106227930854347,0.1883079403309601,17,19193.716284471757,167.93383983776198,17,16.01372722129082,0.010376827487949372,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,6.7342195500784054,0.42852529420565527,17,0.9999905333799475,2.3050566464276464e-06,17
24,True,False,,14.186036332990625,81,True,0.1,0.1,5.4686994552612305,0.2,mlx,16761.98988970588,772.5609844015332,17,3.8317229747772217,0.20905116634767934,17,19255.243750888887,222.50750017516725,17,15.984417437798614,0.011718171259959808,17,10.781899787228205,0.0966340070923422,17,345.0207931913026,3.0922882269549503,17,6.495519156754018,0.2856162627276525,17,0.9999915852266199,2.334604697718749e-06,17
25,True,False,,14.18156425000052,81,True,0.1,0.1,5.013073444366455,0.2,mlx,16729.973058363972,789.1790486255042,17,3.9285219697391285,0.2723310194230396,17,19201.034826720785,191.86775311363343,17,16.016430411084684,0.014634235723807058,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,6.533760362512925,0.18503237375160017,17,0.999991865719066,3.4488453965250086e-06,17
26,True,False,,14.157200792004005,81,True,0.1,0.1,5.010178089141846,0.2,mlx,16782.779354319853,774.6443718860223,17,3.9495232525993798,0.29666223740616987,17,19204.830682104715,162.52432400802388,17,16.03691488955204,0.02202939883258409,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,6.838360654738019,0.6095334006190838,17,0.9999915957450867,4.515628931948933e-06,17
27,True,False,,14.182444207996014,81,True,0.1,0.1,4.977959632873535,0.2,mlx,16785.291245404413,776.7750728646287,17,3.8666156740749584,0.22800330533708196,17,19226.056675342625,199.24221023809864,17,16.014640269151897,0.02368593781589921,17,10.701049976290232,0.0,17,342.4335992412874,0.0,17,6.835938287964638,0.4978895371209708,17,0.9999919638914221,2.1500711129187125e-06,17
28,True,False,,14.064494749996811,81,True,0.1,0.1,4.778895854949951,0.2,mlx,16776.772690716913,798.5816515680092,17,3.8773433881647446,0.24776461898164104,17,19254.389300393632,207.45175368046952,17,16.001765539177743,0.004347322853739434,17,10.747249868254789,0.08328803969955177,17,343.91199578415325,2.6652172703856567,17,6.459142819441418,0.17798128693971588,17,0.9999925213701585,2.138852611064458e-06,17
29,True,False,,14.069834333000472,81,True,0.1,0.1,5.185655117034912,0.2,mlx,16770.518095128675,783.0345875434796,17,3.9469042525571933,0.32025116991499236,17,19222.753134348073,186.6948937827541,17,15.992641990603174,0.005675859578343853,17,10.770349814237065,0.0938324241525214,17,344.6511940555861,3.0026375728806847,17,6.7964064656811605,0.4837299930908724,17,0.9999911399448619,3.5518826937730256e-06,17
30,True,False,,14.048432291005156,81,True,0.1,0.1,5.400789260864258,0.2,mlx,16818.520737591913,766.276611645688,17,3.892385356566485,0.24258608424394568,17,19219.852052111346,200.72670476069274,17,15.999820160387154,0.008753753484072004,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,6.581004473917624,0.31911835754517187,17,0.9999924337162691,2.2014804369400374e-06,17
31,True,False,,14.040021333988989,81,True,0.1,0.1,5.479879379272461,0.2,mlx,16796.598173253675,786.5396265357177,17,3.9121922184439266,0.3552556208486973,17,19190.928325272784,163.4161789094946,17,15.97488862956906,0.018033781377926217,17,10.758799841245928,0.0894657060876537,17,344.2815949198697,2.8629025948049183,17,6.687600752097719,0.37195667426488127,17,0.999992079594556,1.8350764094936365e-06,17
