t,peak_t,participation_t,rrms_t,mem_amp_t,focus_amp_t,mass_t
5.1000000000000005,1.5875727893763074,17373.929466184214,16.013626387354968,0.6198516594387091,1.1126600449239183,6076.607392011168
5.2,1.7553004735006426,17415.940362019348,16.023568009777133,0.6313061828086612,1.1299294024709634,6170.921110028097
5.3,1.8537893659212592,17517.972829205337,16.027763900937433,0.6422954173816772,1.1473639646921967,6266.137065838992
5.4,1.572729677247642,17509.8171345152,16.028319358847806,0.6533363471053223,1.1664389500810128,6370.311919375779
5.5,1.5913910483989906,17473.24277836624,16.03601243616321,0.6639986087478242,1.182626065267156,6458.71515111237
5.6000000000000005,1.617492237210441,17514.610028936084,16.038025746767815,0.6744709725754365,1.1994303018769485,6550.488688650649
5.7,1.6293623672817532,17622.74264477435,16.035407710017033,0.6852732209477108,1.2191899264409198,6658.402584936019
5.8,1.7385519677914958,17677.520824773692,16.03472258881859,0.6966399436307942,1.2384763427276848,6763.732133083472
5.9,1.767494819048588,17667.469047579176,16.034205276011363,0.7075332986280582,1.2549660215451217,6853.787765665102
6.0,2.1115144434692046,17691.73481749508,16.03588258165658,0.7179241429249763,1.2714943549349025,6944.0545037511565
6.1000000000000005,2.0651854787631296,17784.29409427727,16.03710560834737,0.7280377297831264,1.2877172371506513,7032.653071158766
6.2,1.8299852566923989,17873.203407588804,16.035644423965064,0.7381932185114018,1.3037205955115518,7120.052745620431
6.3,1.6670061729563461,17968.59705664198,16.03316102622162,0.7483311928100995,1.3206598267644571,7212.563533902965
6.4,1.7219260215130254,17954.782412649543,16.031630135575934,0.7588518153935684,1.337952283027794,7307.003401709135
6.5,1.8939149400456514,17920.269938552898,16.0296061564677,0.7692772847446508,1.3553039581280797,7401.766683323495
6.6000000000000005,1.7776195039889386,18014.741090922766,16.023947514502424,0.7796346945294648,1.3734853779675091,7501.0614775399
6.7,1.8955890908842923,18025.84681898408,16.025204463328024,0.7906569582875159,1.3922083612556257,7603.313930270736
6.8,1.7843546188894934,18017.494993902277,16.024475325518388,0.8010643081897432,1.4077607172118491,7688.250530266325
6.9,2.253535647253026,18079.261068995827,16.025610424970374,0.8115070588109069,1.4244748538723058,7779.532001947962
7.0,2.083276193428084,18224.36212512808,16.02205447507837,0.8216173643266839,1.4413772541067114,7871.841643761464
7.1000000000000005,2.0305110410005542,18240.66981592375,16.017431335706103,0.8316974424494817,1.4575917789813673,7960.394568943587
7.2,1.834162504858215,18270.966544181163,16.007900789799475,0.8416430296626417,1.473972653787633,8049.855986552204
7.3,2.180685056365833,18332.978841103708,16.008859231943557,0.8514806941988733,1.4889167001989512,8131.470405353216
7.4,1.869922606634381,18400.12916412351,16.01361182778423,0.8612839016570492,1.5061504140384727,8225.589461202124
7.5,1.804839812851614,18569.095942599175,16.014041052473146,0.8713981542520121,1.5234000079103043,8319.79524320082
7.6000000000000005,1.869804731654509,18543.012021801133,16.013911028243008,0.8814397766350625,1.5387781403088079,8403.78035027318
7.7,2.092358882817798,18557.356190729035,16.009608190110615,0.8916750899566858,1.5569981830081414,8503.286076801807
7.8,2.002502495887029,18656.170280854945,16.009969190614797,0.9020745002383118,1.5731476166073892,8591.483516831831
7.9,1.800805868607258,18616.744079404332,16.012450272640674,0.9122207435091269,1.5903558635469988,8685.463489451355
8.0,2.0051898031036726,18704.369090846143,16.01404743186332,0.9223194085457308,1.6065211957303092,8773.747756948473
