t,planted,peak,glue_in,glue_out,res_in,res_out
0.785,True,4.266712665557861,0.8824657870597405,0.7238802854604277,0.0393059104681015,0.0372648723423481
0.79,True,4.37877082824707,0.8841769628149783,0.7239075666027178,0.03957509249448776,0.03747302666306496
0.795,True,4.4093756675720215,0.8839861559880178,0.7238290560263037,0.04020784795284271,0.03771549090743065
0.8,True,4.517124652862549,0.8884538025713543,0.7234972040118706,0.03993583470582962,0.037947818636894226
0.805,True,4.6194305419921875,0.8905492734030848,0.7233804486992302,0.040062278509140015,0.03816117346286774
0.81,True,4.651260852813721,0.8935927815897512,0.723408438971757,0.04013798013329506,0.038390837609767914
0.8150000000000001,True,4.658359527587891,0.8954640509044107,0.7231939934704195,0.04026960954070091,0.03861573338508606
0.8200000000000001,True,4.697915554046631,0.8959426460396875,0.7232788773864492,0.04083489254117012,0.038813360035419464
0.8250000000000001,True,4.686567306518555,0.896544729554421,0.7234934481321045,0.040669217705726624,0.03906198590993881
0.8300000000000001,True,4.720505714416504,0.8957650738339901,0.7234345938284427,0.041295964270830154,0.0392884835600853
0.835,True,4.796796798706055,0.8964150038884556,0.7238454323410982,0.041621915996074677,0.039530154317617416
0.84,True,4.604753017425537,0.8917713240834717,0.7241177180338044,0.04154641181230545,0.03976472467184067
0.845,True,4.601016521453857,0.8890598537079105,0.724042028251857,0.041872911155223846,0.040004339069128036
0.85,True,4.433991432189941,0.8840350654699,0.7238469880236075,0.04190533608198166,0.04023544490337372
0.855,True,4.4020771980285645,0.8808855358384703,0.7245208915334125,0.041995126754045486,0.040442898869514465
0.86,True,4.365938186645508,0.878187105663066,0.7244202840262337,0.042269546538591385,0.040668606758117676
0.865,True,4.294440746307373,0.8758215125634911,0.7242890730145957,0.04244975000619888,0.04087190702557564
0.87,True,4.232329845428467,0.8707088501750202,0.7241281279363023,0.04300255328416824,0.0410807766020298
0.875,True,4.185770511627197,0.8669766939755079,0.7242154207156667,0.04360082373023033,0.04128481075167656
0.88,True,4.166867733001709,0.8655617160841632,0.7238197423681717,0.04398414492607117,0.041504327207803726
0.885,True,4.194103240966797,0.8651868632079234,0.7236386840383887,0.044490743428468704,0.04175453633069992
0.89,True,4.01917839050293,0.8568994617172823,0.7233224411560265,0.044745948165655136,0.04196330904960632
0.895,True,3.9521565437316895,0.854856070337321,0.7230062446961406,0.044843606650829315,0.04218452796339989
0.9,True,3.887970209121704,0.8517649541694063,0.7226966820416107,0.04481211304664612,0.042419422417879105
0.905,True,3.8254079818725586,0.8488374268581956,0.7221669000273777,0.045082949101924896,0.04266224801540375
0.91,True,3.7163217067718506,0.8435924626135661,0.7218289402214781,0.0453890860080719,0.04288768023252487
0.915,True,3.6890838146209717,0.8444641806488273,0.7217242316607667,0.04548782855272293,0.043084241449832916
0.92,True,3.582291841506958,0.8389635624465334,0.7214653012890576,0.04579976946115494,0.043350737541913986
0.925,True,3.502490997314453,0.8331253420961963,0.7210865218377936,0.04602600634098053,0.04359274357557297
0.93,True,3.483557939529419,0.8331450399094174,0.7209669372004416,0.04610467329621315,0.043823178857564926
0.935,True,3.517873525619507,0.8356429533944563,0.7208266593367801,0.04611802101135254,0.04404210299253464
0.9400000000000001,True,3.4929635524749756,0.8328896473015364,0.7208624912808883,0.04639082029461861,0.044237665832042694
0.9450000000000001,True,3.344332695007324,0.8240575582997334,0.7208331361722214,0.04672401770949364,0.04445571452379227
