t,norm,peak,R_rms,r50,r80,r90,PR,Vmem_peak,Vmem_mean,n_atoms_detected,n_raw_maxima,nn_mean,nn_median
1.9000000000000001,6.542297049139162,0.003651960050953973,15.901960416638795,15.717506163510802,19.23330444827409,20.90741495259517,14735.14668778482,0.010698681314332902,0.0006570137813131639,594,930,2.7392756385851245,2.6532998322843224
2.0,6.802570478358819,0.003038545449757162,15.905444703901212,15.7175061635108,19.23330444827409,20.90741495259517,15043.241321193873,0.010224255235838444,0.0006878286846725728,809,1547,2.6520642598268855,2.5298221281347057
2.1,7.059596628499779,0.003308597140744115,15.906730564188036,15.7175061635108,19.23330444827409,20.90741495259517,15315.620768712739,0.00908337481346877,0.0007180675177914533,791,1437,2.644376103952127,2.5298221281347057
2.2,7.298746417601448,0.0030373145668851687,15.909025354793393,15.69713349627887,19.2166594391429,20.90741495259517,15483.51137039819,0.009210299706636282,0.0007478215990985949,890,1770,2.5931701030484096,2.5298221281347057
2.3000000000000003,7.563974263566852,0.004331176324631083,15.917273888559343,15.7175061635108,19.2166594391429,20.876781361119825,15580.015585615136,0.008802200883498132,0.0007773799415470407,622,995,2.7211710034489927,2.6532998322843135
2.4,7.811529152647176,0.005296972152755422,15.931187906657824,15.717506163510802,19.23330444827409,20.876781361119825,15780.559741267862,0.013052784811819202,0.0008075034015377224,399,559,2.9146927196810553,2.8844410203711703
2.5,8.06076265019823,0.004028218898726592,15.928214106607523,15.717506163510802,19.166637681137505,20.87678136111982,15898.17769850082,0.01338111139741297,0.000837032237828166,757,1348,2.6568892751358044,2.5298221281347057
2.6,8.308319328178499,0.00400087939977919,15.937082270944387,15.717506163510802,19.200000000000003,20.87678136111982,15991.295005202854,0.011647734519824978,0.0008667220311350477,795,1467,2.64558452019017,2.5298221281347057
2.7,8.539960517268627,0.0030319489063594086,15.949405531925585,15.717506163510803,19.233304448274094,20.87678136111982,16037.651477079842,0.01107383077171016,0.0008957706290824381,968,2129,2.5773212966341985,2.5298221281347057
2.8000000000000003,8.774291854393356,0.003779372444266704,15.951991368638694,15.7378524583248,19.233304448274094,20.87678136111982,16152.572839436198,0.009752525915090805,0.0009237713765358979,910,1793,2.5780664850185637,2.5298221281347057
