seed,corda,size,elong,atoms,rho_mean,rho_max,vort,b1,b2,b3,b4,b5,b6,b7,b8
2,185,35,1.4739,1,0.010212,0.013382,0.2,0.032511,0.185782,0.297927,0.25379,0.122441,0.04232,0.030395,0.034834
2,186,32,4.4049,2,0.009988,0.011697,0.4375,0.027658,0.132991,0.193181,0.210418,0.182849,0.131743,0.079445,0.041715
2,190,42,1.9799,1,0.010309,0.014373,0.30952,0.037674,0.200205,0.289248,0.230429,0.118331,0.049656,0.033902,0.040554
2,191,34,4.7614,2,0.009788,0.01256,0.23529,0.029212,0.128333,0.183173,0.211003,0.184342,0.138961,0.079523,0.045454
2,192,30,1.4422,1,0.010559,0.013876,0.06667,0.027451,0.162499,0.279923,0.267387,0.150152,0.053076,0.026013,0.033499
2,193,90,2.0172,1,0.012794,0.020735,0.07778,0.071048,0.321408,0.336721,0.170176,0.051756,0.016164,0.01695,0.015778
2,195,60,1.8967,1,0.011949,0.019548,0.08333,0.050343,0.252804,0.322771,0.212707,0.088963,0.029977,0.01955,0.022885
2,196,19,1.2591,1,0.009659,0.012608,0.26316,0.018788,0.118009,0.229573,0.267943,0.2032,0.101898,0.034845,0.025744
2,197,50,7.4785,2,0.009525,0.01259,0.18,0.032927,0.118416,0.22341,0.218884,0.175366,0.110146,0.066201,0.05465
2,199,22,1.8833,1,0.009816,0.011866,0.09091,0.02056,0.124447,0.226482,0.244156,0.178651,0.10484,0.060468,0.040397
2,200,8,1.8677,0,0.009209,0.010345,0.0,0.008351,0.056076,0.125309,0.184784,0.203064,0.182492,0.140593,0.099332
2,202,21,1.4053,1,0.009722,0.012035,0.2381,0.020673,0.127872,0.24132,0.268784,0.191373,0.089646,0.031882,0.028449
2,203,152,2.9249,2,0.013237,0.0285,0.05921,0.091747,0.242921,0.277303,0.220348,0.082244,0.034284,0.026581,0.024572
2,204,19,1.8292,1,0.011974,0.018537,0.15789,0.017555,0.108237,0.204889,0.235736,0.187988,0.118923,0.07186,0.054813
2,205,11,2.0034,0,0.008959,0.009891,0.0,0.011426,0.074592,0.157622,0.213154,0.207963,0.16107,0.105854,0.068319
2,207,20,1.3631,1,0.010301,0.013515,0.0,0.019805,0.123444,0.23664,0.270354,0.199601,0.096917,0.031362,0.021877
2,208,39,1.4078,1,0.011397,0.018054,0.25641,0.034583,0.196097,0.311206,0.262425,0.121319,0.030223,0.016448,0.027698
2,210,14,1.8922,1,0.009346,0.011186,0.07143,0.014059,0.089903,0.182254,0.230775,0.20512,0.141022,0.082762,0.054106
2,211,15,1.8307,1,0.009489,0.011539,0.2,0.014987,0.095181,0.190353,0.236109,0.204071,0.135611,0.07654,0.047147
2,212,8,3.3093,0,0.008681,0.009198,0.0,0.008554,0.053842,0.108117,0.144272,0.158559,0.169859,0.179918,0.176879
2,214,27,3.3347,1,0.013364,0.021777,0.18519,0.022826,0.128558,0.210122,0.209937,0.159905,0.11318,0.085472,0.070001
2,216,27,2.0547,1,0.010473,0.014232,0.07407,0.025129,0.145749,0.248295,0.250722,0.171967,0.087675,0.039519,0.030944
2,218,10,1.7293,0,0.009134,0.00997,0.4,0.009867,0.065562,0.143368,0.203975,0.212208,0.175677,0.119336,0.070008
2,219,26,4.3218,1,0.009321,0.011864,0.19231,0.023805,0.111109,0.160037,0.197123,0.191394,0.144643,0.102516,0.069374
2,220,49,2.1451,1,0.010603,0.014599,0.20408,0.04327,0.222437,0.303686,0.230304,0.114008,0.038203,0.019095,0.028996
2,223,19,1.924,1,0.009732,0.011775,0.10526,0.018519,0.114059,0.214822,0.24373,0.18921,0.114805,0.063676,0.04118
2,226,29,1.8006,1,0.009947,0.012964,0.24138,0.027555,0.159091,0.264995,0.252422,0.15858,0.075361,0.033241,0.028756
2,227,14,3.3097,0,0.00886,0.009591,0.07143,0.013894,0.083799,0.156134,0.188404,0.179814,0.155572,0.125757,0.096626
2,228,35,3.1084,1,0.009354,0.011713,0.31429,0.031584,0.156292,0.228277,0.227756,0.155996,0.086469,0.061213,0.052413
2,229,33,1.6797,1,0.009778,0.012666,0.18182,0.031062,0.177274,0.286313,0.253292,0.135289,0.051012,0.028393,0.037365
2,230,11,1.6916,1,0.009437,0.010942,0.18182,0.010624,0.070249,0.152065,0.212669,0.215395,0.171154,0.109193,0.05865
2,231,10,1.5317,1,0.009238,0.011533,0.1,0.010625,0.070321,0.152379,0.213028,0.214817,0.168873,0.107058,0.062899
2,234,20,1.6857,1,0.009621,0.012179,0.1,0.019498,0.120491,0.227605,0.256253,0.190097,0.101279,0.047665,0.037112
2,235,36,1.7379,1,0.010285,0.013614,0.19444,0.033162,0.187545,0.296383,0.251187,0.124849,0.04524,0.02862,0.033013
2,236,32,1.9599,1,0.010024,0.012509,0.25,0.030363,0.170615,0.27205,0.24802,0.150767,0.068956,0.029984,0.029245
2,237,40,1.2622,1,0.012021,0.017752,0.35,0.034543,0.19777,0.316758,0.263998,0.113499,0.024192,0.01889,0.030349
2,240,56,1.8477,1,0.01195,0.018065,0.17857,0.047948,0.2455,0.324996,0.223066,0.092709,0.027241,0.015971,0.022569
2,241,23,2.2667,1,0.010083,0.013091,0.30435,0.022297,0.13111,0.227947,0.236522,0.173727,0.106059,0.060358,0.041979
2,243,12,1.4631,0,0.008939,0.010272,0.0,0.012405,0.081206,0.172022,0.231483,0.219699,0.15679,0.084895,0.041501
2,244,29,1.615,1,0.010011,0.012583,0.06897,0.027268,0.159753,0.270671,0.255605,0.148163,0.063175,0.036852,0.038513
2,245,31,1.3651,1,0.010826,0.01572,0.22581,0.028641,0.169036,0.289522,0.27357,0.148461,0.044288,0.016174,0.030307
2,246,18,2.6065,1,0.010168,0.012068,0.22222,0.016523,0.09914,0.182172,0.213701,0.193727,0.15078,0.096486,0.047471
2,247,58,1.9322,1,0.01072,0.015643,0.01724,0.049977,0.244324,0.304399,0.205723,0.094996,0.039832,0.02906,0.031689
2,248,16,1.3323,1,0.009417,0.011369,0.1875,0.015908,0.101789,0.205654,0.255538,0.213877,0.125734,0.052781,0.028718
2,249,15,2.2592,1,0.009998,0.012535,0.2,0.014795,0.09274,0.181866,0.22257,0.195598,0.14032,0.090968,0.061143
2,250,10,2.037,0,0.009208,0.010326,0.3,0.01046,0.068923,0.148234,0.205617,0.207152,0.166713,0.114829,0.078073
2,252,9,2.2356,1,0.009622,0.012387,0.0,0.009271,0.061224,0.132583,0.187193,0.196358,0.171381,0.135362,0.106628
2,254,34,3.0215,2,0.009443,0.011481,0.20588,0.031258,0.154698,0.215984,0.212612,0.174221,0.112138,0.061372,0.037718
2,255,23,2.2613,1,0.010299,0.01276,0.08696,0.02119,0.126423,0.224837,0.237702,0.175206,0.107856,0.064432,0.042354
2,257,25,2.4339,1,0.009156,0.011172,0.12,0.023939,0.135327,0.222216,0.224125,0.172824,0.114372,0.065345,0.041852
2,258,8,2.5649,0,0.008772,0.00948,0.0,0.008657,0.057296,0.124883,0.179061,0.193585,0.176953,0.145909,0.113656
