t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,r90_over_r50,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,rho_core,rho_mid,rho_far,mass_core,mass_mid,mass_far,mass_core_frac,mass_mid_frac,mass_far_frac,contrast_im,contrast_mf,two_scale,N,dx
0.21,682.3230356729453,0.3115068506296076,16446.560542517174,15.998343355395415,15.732132722552274,19.235384061671343,20.89258241577618,0.37014357562708905,0.03748780944861756,0.2945243112740431,9.42477796076938,0.9999193809099349,0.2751399861692878,0.001930882021463947,2.046607994965051e-05,True,1.3280197150781925,127,3.118207682606165,1.5591038413030824,False,0.07737373302524472,0.02645471165954058,0.0207854892642015,0.1837626159349562,2.652084843868943,636.7296871887587,0.0002693190854295564,0.003886846413229048,0.9331792331483872,2.92476191088406,1.272749047341555,False,64,0.5
0.22,714.7376379207028,0.2713003844768904,16461.74738740654,15.997613124655981,15.732132722552274,19.235384061671343,20.89258241577618,0.412879024837561,0.040209655906541845,0.2945243112740431,9.42477796076938,0.9999210415355017,0.2875256506707754,0.002100844445210088,2.2330051632508563e-05,True,1.3280197150781925,494,4.903950899738635,2.4519754498693174,False,0.08154896316863088,0.026948041256506648,0.021778616804142704,0.19367878752549833,2.7015411359647916,667.152535542605,0.00027097885608619115,0.003779766158424298,0.933422979491424,3.0261554965127844,1.2373623861815055,False,64,0.5
0.23,746.1661293618367,0.2942744004546185,16458.50640736889,15.998670247103803,15.732132722552274,19.235384061671343,20.89258241577618,0.4530064910536799,0.04296804983575533,0.2945243112740431,9.42477796076938,0.9999216297732091,0.29995952363620837,0.0022800367357828006,2.4302613233637246e-05,True,1.3280197150781925,379,4.489350705424529,2.2446753527122647,False,0.08312769077234128,0.027606447051610607,0.02274481059697783,0.19742826558431054,2.7675463169239634,696.7503123211957,0.0002645902270492528,0.003709021634754347,0.9337737065566025,3.011169478525541,1.2137470626059537,False,64,0.5
0.24,778.0021837618285,0.3181909715626663,16468.821457097696,15.994551640190018,15.732132722552274,19.235384061671343,20.89258241577618,0.4856309615340228,0.04575278778915018,0.2945243112740431,9.42477796076938,0.9999234092239763,0.3118045483546856,0.0024639816994978378,2.633690458413195e-05,True,1.3280197150781925,299,4.148211199396802,2.074105599698401,False,0.08448952638062267,0.02859558217030288,0.02371148013152425,0.20066262515397884,2.866707112572864,726.3626626740316,0.00025792038806848406,0.003684703169741301,0.9336254805377187,2.954635645374859,1.2059804791471136,False,64,0.5
0.25,810.1132895876045,0.32820516062568184,16484.984616212096,15.995845595967186,15.732132722552274,19.222382786741086,20.89258241577618,0.5086319153403472,0.04856641776234051,0.2945243112740431,9.42477796076938,0.99992532698723,0.3231000850525827,0.0026524930172308926,2.843134087976106e-05,True,1.3280197150781925,306,4.180333582940752,2.090166791470376,False,0.08521227399953368,0.029152147977145337,0.0246907279787906,0.2023791507488925,2.92250283470882,756.3603291972845,0.00024981586322564273,0.0036075236294377377,0.9336476007970645,2.9230187108798393,1.1806921206287277,False,64,0.5
0.26,842.2408976720651,0.3103119199878688,16483.929299104904,15.996472637475689,15.732132722552274,19.222382786741086,20.89258241577618,0.5262566058913918,0.05140783310915413,0.2945243112740431,9.42477796076938,0.9999321058351079,0.33359824152083395,0.0028432232697925127,3.056118324040591e-05,True,1.3280197150781925,569,5.140529854094314,2.570264927047157,False,0.08179668105797039,0.029877641293344144,0.02567368714580793,0.19426711751267967,2.9952335396577503,786.4716859702139,0.00023065505136313092,0.00355626703468866,0.9337847261323975,2.7377221734097286,1.163745632781953,False,64,0.5
0.27,873.6424218177353,0.3620721131195506,16493.769898112594,15.993046025800888,15.732132722552274,19.222382786741086,20.89258241577618,0.5353673837888172,0.05427170307032819,0.2945243112740431,9.42477796076938,0.9999346626388325,0.344456206442138,0.0030457848942696476,3.2830285646470076e-05,True,1.3280197150781925,259,3.954307012542302,1.977153506271151,False,0.07851890552295185,0.030568768242095687,0.02663393297586929,0.18648240061701063,3.0645190162700926,815.8872565746699,0.00021345392114660355,0.003507749783823377,0.9338915283865249,2.5685989340854407,1.1477376724568396,False,64,0.5
0.28,905.5786353364745,0.3558385334981516,16470.902572407555,15.993554925853358,15.732132722552274,19.222382786741086,20.89258241577618,0.5458690595491472,0.057158205478625934,0.2945243112740431,9.42477796076938,0.9999378947471129,0.35381366548941573,0.0032434776701869756,3.50591799873786e-05,True,1.3280197150781925,401,4.574587312169345,2.2872936560846724,False,0.07673779193487879,0.031173521437583607,0.02761320478131455,0.1822522558453371,3.1251455241177566,845.8856570178016,0.00020125503046747556,0.0034509929918527566,0.9340830536527692,2.4616337326062148,1.1289352932578935,False,64,0.5
0.29,937.6455263846075,0.420015847650508,16459.958021463302,15.991234370624314,15.724185193516387,19.222382786741086,20.89258241577618,0.5486636600181656,0.06006511498670606,0.2945243112740431,9.42477796076938,0.9999365113711416,0.3629708386397334,0.0034470992043921793,3.736442523760277e-05,True,1.3286909406530583,168,3.422999934344502,1.711499967172251,False,0.07194196577354811,0.032276155284407526,0.02858949445381718,0.17086216871217677,3.235684567261855,875.7927046642018,0.00018222469355875942,0.0034508612009679957,0.934033896627333,2.2289509125116576,1.1289515922202016,False,64,0.5
0.3,969.856738297897,0.4149462549360653,16465.260774083603,15.991025210261286,15.724185193516387,19.222382786741086,20.89258241577618,0.5531087204808068,0.06299395401142305,0.2945243112740431,9.42477796076938,0.9999382399874112,0.37209191380443685,0.0036579995590159914,3.976116038702077e-05,True,1.3286909406530583,222,3.7562525863880585,1.8781262931940292,False,0.07299316153392854,0.03305561084515861,0.02957551922230965,0.17335875864308029,3.3138249872271506,905.9979711567199,0.00017874676928813807,0.003416819058289917,0.9341564948517557,2.208192789897249,1.1176679806258085,False,64,0.5
0.31,1002.321977164841,0.3364593922449729,16456.775438457313,15.992897622426254,15.724185193516387,19.222382786741086,20.89258241577618,0.6159913534962181,0.06594028288411266,0.2945243112740431,9.42477796076938,0.9999371009983445,0.38037109742767367,0.003868474154483648,4.2166267245988674e-05,True,1.3286909406530583,1014,6.232320541076913,3.1161602705384563,False,0.07652797769503256,0.03410961729866419,0.03056705348856159,0.18175394702570233,3.4194891341910854,936.3720121601655,0.00018133289618153431,0.0034115675522384753,0.9342028145574329,2.2435894552833213,1.1158948412030703,False,64,0.5
0.32,1034.4514231712424,0.3422244088701571,16464.33088278853,15.993107366093636,15.724185193516387,19.222382786741086,20.89258241577618,0.6479876809815992,0.06890640122582209,0.2945243112740431,9.42477796076938,0.9999411625376865,0.3890064703057119,0.0040900824833638725,4.470596791834167e-05,True,1.3286909406530583,1122,6.446164971584579,3.2230824857922893,False,0.07735868272800264,0.03491379902414634,0.03154330677789876,0.18372687147900627,3.5001083521706704,966.2779452674145,0.0001776080223426714,0.0033835405643704787,0.9340969750954246,2.215705104864168,1.106852850589817,False,64,0.5
0.33,1066.446617614572,0.38326124057253946,16451.280743277213,15.994196182102112,15.724185193516387,19.222382786741086,20.89258241577618,0.6616784140157834,0.0718859535079649,0.2945243112740431,9.42477796076938,0.9999447049202428,0.39691949318029734,0.004312060445715824,4.726352148394373e-05,True,1.3286909406530583,697,5.500236827296143,2.7501184136480714,False,0.07898003777480614,0.03599535082586515,0.03252266056159444,0.18757758971516458,3.608533920292981,996.278856981033,0.00017589027581590364,0.003383698593713533,0.9342041509864879,2.194173301904687,1.1067775576876253,False,64,0.5
0.34,1098.29092779369,0.4199776765509602,16446.33937948604,15.99365774227729,15.724185193516387,19.222382786741086,20.89258241577618,0.6848507088450788,0.07487930582310467,0.2945243112740431,9.42477796076938,0.9999488258619356,0.40485645823451794,0.004541745725917755,4.9919547997955744e-05,True,1.3286909406530583,488,4.884015919923077,2.4420079599615385,False,0.0813158004030618,0.03711533030454057,0.03348931355844325,0.19312502595727177,3.720811863030192,1025.8907007283765,0.00017584141056799262,0.0033878199016946936,0.9340791904648114,2.1908952375162856,1.1082738450213212,False,64,0.5
0.35000000000000003,1130.4116030696252,0.4251299021134704,16443.46379180011,15.996367974454321,15.732132722552274,19.241881404893856,20.898564544006366,0.7095234417691123,0.07789018352521092,0.2945243112740431,9.42477796076938,0.9999496993673906,0.4123480486415769,0.004774079410456693,5.261912220525814e-05,True,1.3283999641096293,555,5.098019096435963,2.5490095482179815,False,0.08590507973949046,0.03788632128718922,0.03446630633185159,0.20402456438128985,3.798103709040719,1055.8192867284843,0.00018048696937227334,0.003359929868666416,0.9340131363314159,2.267443151534963,1.0992277769021355,False,64,0.5
0.36,1161.7629859565611,0.4470869556414194,16416.569752529394,15.996143678934912,15.732132722552274,19.241881404893856,20.904544960366874,0.728111105651073,0.080907874525,0.2945243112740431,9.42477796076938,0.9999500373769745,0.4194527472299183,0.005009751254672938,5.537031653224956e-05,True,1.3287801043274865,477,4.847039845730981,2.4235199228654905,False,0.08665527606446881,0.03884429285454166,0.0354175392548944,0.20580628065311343,3.8941403586678014,1084.9587615724008,0.0001771499721896017,0.003351923245739734,0.933889936835161,2.23083675094724,1.0967530119748146,False,64,0.5
0.37,1193.9594750431702,0.47848266978973053,16385.94302207537,15.994513397277101,15.732132722552274,19.235384061671343,20.89258241577618,0.7391695659959756,0.08393381412551887,0.2945243112740431,9.42477796076938,0.9999486697106504,0.42559779245118073,0.005240594238279855,5.808271366358069e-05,True,1.3280197150781925,365,4.4333778968365785,2.2166889484182892,False,0.08579573185354038,0.04068565543155505,0.0363995939924834,0.2037648631521584,4.078736957013394,1115.0424126194912,0.00017066313171541339,0.00341614354780837,0.9339030644898348,2.1087464597411594,1.11775025402637,False,64,0.5
0.38,1225.769776356884,0.47496994929295683,16391.297386565016,15.997716089326268,15.732132722552274,19.241881404893856,20.89258241577618,0.7568863849051104,0.08697428405527817,0.2945243112740431,9.42477796076938,0.9999499478862129,0.43279438644096746,0.005490692933426117,6.102334612831128e-05,True,1.3280197150781925,481,4.860550828081968,2.430275414040984,False,0.09133843848285027,0.04137434234208722,0.03736776746431675,0.21692879139676938,4.147777819794244,1144.700833647214,0.00017697351948218568,0.0033838147258956515,0.9338628311177525,2.207610642548826,1.1072200762755344,False,64,0.5
