t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx,dt,cell
1.0,3120.0390759570055,1.2339288005727023,16410.777086764883,16.004762409595283,15.748015748023622,19.241881404893856,20.904544960366874,2.616096826964839,0.27951375260723116,10.701049976290232,342.4335992412874,0.9999809890394524,0.6207588159426679,0.02793413243328767,0.0003692717517477293,True,393,4.543961541733277,2.2719807708666386,False,64,0.5,0.00125,N64_dt0h
1.1,3417.5439933507123,1.2029251358263353,16460.480134433434,16.002382721060602,15.732132722552274,19.241881404893856,20.904544960366874,2.6361903695219238,0.3108260385260803,10.701049976290232,342.4335992412874,0.999979249204038,0.6339668461237489,0.03253106951693565,0.0004418149553553503,True,782,5.715304599526777,2.8576522997633886,False,64,0.5,0.00125,N64_dt0h
1.2,3714.699802872804,1.4205471189170362,16430.294351648292,16.001238731711222,15.748015748023622,19.222382786741086,20.89258241577618,3.162933724432086,0.342418112856176,10.701049976290232,342.4335992412874,0.9999728983105456,0.6426288116911589,0.03713808298582054,0.0005180827727669547,True,486,4.877334631253601,2.4386673156268004,False,64,0.5,0.00125,N64_dt0h
1.3,4009.2202969236796,1.6222705398400072,16515.749587901773,16.002650638053158,15.748015748023622,19.235384061671343,20.89258241577618,3.050727906258072,0.374137653249868,10.701049976290232,342.4335992412874,0.9999688666910668,0.653204699822948,0.042172744026533614,0.0006042522076179114,True,301,4.1574397308124516,2.0787198654062258,False,64,0.5,0.00125,N64_dt0h
1.4000000000000001,4291.209017118269,1.6236977478592385,16461.34712166759,16.002886479054137,15.732132722552274,19.241881404893856,20.89258241577618,3.5863961133023974,0.4054991028776689,10.701049976290232,342.4335992412874,0.9999692597702933,0.6598341259748255,0.04721462584339335,0.0006947284592434345,True,490,4.890678978553199,2.4453394892765994,False,64,0.5,0.00125,N64_dt0h
1.5,4575.71121691778,1.779101325169558,16521.281270528132,16.008997204036987,15.748015748023622,19.248376554920156,20.910523666326483,3.3119929888078534,0.43668788032948613,10.701049976290232,342.4335992412874,0.9999709905997317,0.6672137305532911,0.05258630131003621,0.0007945468005582508,True,427,4.671393175188815,2.3356965875944073,False,64,0.5,0.00125,N64_dt0h
1.6,4855.4839499444715,1.7435739312165293,16535.740336494142,16.0046198242635,15.732132722552274,19.241881404893856,20.898564544006366,3.7271419258899097,0.4677083884129045,10.701049976290232,342.4335992412874,0.9999719017802643,0.6715916623474721,0.057967473348301234,0.0008993267603081537,True,631,5.320840616084194,2.660420308042097,False,64,0.5,0.00125,N64_dt0h
1.7,5133.937848536607,2.312432430167463,16549.394450680786,16.00961856304001,15.732132722552274,19.241881404893856,20.910523666326483,4.040301157790507,0.49871031919401476,10.701049976290232,342.4335992412874,0.9999708821316157,0.6762517363302032,0.06341239783859695,0.0010099736510293022,True,137,3.197991604505926,1.598995802252963,False,64,0.5,0.00125,N64_dt0h
1.8,5412.7252546143045,1.7729467545682933,16639.574413541577,16.015312699870933,15.748015748023622,19.241881404893856,20.910523666326483,4.3635300055451625,0.529800887680668,10.701049976290232,342.4335992412874,0.9999733041087715,0.6819007367516288,0.0691752806754427,0.0011308873295241741,True,1086,6.376471241493496,3.188235620746748,False,64,0.5,0.00125,N64_dt0h
1.9000000000000001,5679.6895000630975,2.1101771824784294,16612.381411140406,16.019132449236643,15.75595125658873,19.248376554920156,20.910523666326483,4.486502652720967,0.5607049455383945,10.701049976290232,342.4335992412874,0.999978446444933,0.6846239690544944,0.07475027155308528,0.0012541859317530299,True,476,4.843650306271898,2.421825153135949,False,64,0.5,0.00125,N64_dt0h
2.0,5948.488347698686,2.3598900813210677,16668.525053095083,16.0209944470182,15.763882770434446,19.241881404893856,20.910523666326483,5.159923577124293,0.5913426812576059,10.701049976290232,342.4335992412874,0.9999758526828213,0.6897118499648449,0.08065534597994513,0.0013885045275937348,True,289,4.101440458176378,2.050720229088189,False,64,0.5,0.00125,N64_dt0h
