t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,n_det,n_raw,pair_sep,pair_sep_com,n_blobs_ok,ax,ay,az,bx,by,bz,mass_a,mass_b,peak_a,peak_b,two_blobs,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx
0.31,1002.4234434405743,0.336459021997082,16445.833342932947,15.992260558490816,15.724185193516387,19.222382786741086,20.89258241577618,0.6605567827935427,0.0659462332563536,0.4908738521234052,15.707963267948966,0.999973670722689,0.38059406853634836,0.003875576120610773,4.224837004307169e-05,True,0,9282,nan,5.687661061669921,2,-2.8737644920458525,-0.03100575489547097,0.08524852236822511,2.806629358648639,-0.28975658566611173,0.21039667858289945,2.4259158005590535,2.565195791955924,0.3121274541591219,0.32847194741766444,False,1022,6.248667686228187,3.1243338431140937,False,64,0.5
0.32,1034.5245363139236,0.3432125393428657,16453.277954343914,15.992705114527997,15.724185193516387,19.222382786741086,20.89258241577618,0.6479870850414353,0.06891255756375889,0.6872233929727672,21.991148575128552,0.9999754548705827,0.3892285506862396,0.00409730581533315,4.4789787928936006e-05,True,0,9331,nan,5.701106080585301,2,-2.886521316792459,-0.03683902678773343,0.08193398481806824,2.805853044468929,-0.3130729009945892,0.23418220346569996,2.4924320854732915,2.6460220021620913,0.30608574578132397,0.3432125393428657,False,1107,6.417309773397603,3.2086548866988016,False,64,0.5
0.33,1066.528568149291,0.3843396886704777,16439.90130945174,15.993742438436875,15.724185193516387,19.222382786741086,20.89258241577618,0.6882483800191148,0.07189217030666398,0.4908738521234052,15.707963267948966,0.9999777071414762,0.39711131035408076,0.004319056605971924,4.7345229202354675e-05,True,0,9043,nan,5.734344923706728,2,-2.9061703428903343,-0.04817475529584314,0.10513472837262938,2.8202327867613093,-0.31614432350728805,0.24373924225855959,2.5311385314067527,2.727472034238035,0.33812489523753475,0.3843396886704777,False,694,5.492334177292788,2.746167088646394,False,64,0.5
0.34,1098.388905756577,0.41997755595349834,16436.231022410113,15.993104441743803,15.724185193516387,19.222382786741086,20.89258241577618,0.739223134825783,0.07488573874866658,0.4908738521234052,15.707963267948966,0.9999799628820113,0.40505584215618134,0.004548918411031387,5.0003564847916225e-05,True,0,8703,nan,5.748297781447074,2,-2.9073977402229865,-0.049648800442657404,0.08004386772384109,2.8316195492859713,-0.32377471611849273,0.2574217616720489,2.610551094957442,2.7951553672599,0.27123669731509215,0.4114567041229893,False,492,4.8973239309899546,2.4486619654949773,False,64,0.5
0.35000000000000003,1130.5237762415045,0.4251297406189781,16435.296827098817,15.995730605075332,15.732132722552274,19.241881404893856,20.898564544006366,0.7805971064012326,0.07789688094894957,0.6872233929727672,21.991148575128552,0.9999794374877341,0.4125721443694829,0.00478164925260189,5.270789624026056e-05,True,0,8838,nan,5.7591700582732095,2,-2.9027297303659463,-0.04457760940921496,0.06813143796994581,2.8463713857409196,-0.31509804343155956,0.2747586667317776,2.66006206456148,2.8429059447278804,0.2316349938100931,0.3510082060355862,False,551,5.085742061323295,2.5428710306616473,False,64,0.5
0.36,1161.8996012437615,0.4470867196517352,16408.41964410417,15.995362661953104,15.732132722552274,19.241881404893856,20.898564544006366,0.8144288487500855,0.08091508074268285,0.6872233929727672,21.991148575128552,0.9999793383558296,0.41964910641776115,0.005017100479875833,5.54570375372035e-05,True,0,8754,nan,5.796729996960583,2,-2.9093597229335355,-0.05632636508776656,0.03819380312262055,2.8759900941050027,-0.30863481059149755,0.299242841585297,2.740009878848026,2.865888684221774,0.2269723074857203,0.3924307100200592,False,483,4.867278242658203,2.4336391213291013,False,64,0.5
0.37,1194.1333560099597,0.4784803378770824,16379.440161921888,15.993509872184537,15.732132722552274,19.235384061671343,20.89258241577618,0.8528099177101695,0.08394168367773268,0.6872233929727672,21.991148575128552,0.9999781456228249,0.4258013587329913,0.005248138789381522,5.817196887064126e-05,True,0,8482,nan,5.779942256110569,2,-2.8801084613025143,-0.08395930253059802,-0.012529138122591377,2.886954491876839,-0.306549759662305,0.3023849238573,2.7758828712964667,3.005198316929042,0.2301237576142994,0.408567668079617,False,367,4.441460645627777,2.2207303228138886,False,64,0.5
0.38,1225.9735346998268,0.47496774371977735,16384.52135732485,15.99655221247612,15.732132722552274,19.241881404893856,20.89258241577618,0.8898797301537488,0.08698309115289578,0.6872233929727672,21.991148575128552,0.9999770975782516,0.4329598083215303,0.005497914814805611,6.110942195279069e-05,True,0,8644,nan,5.7634801488987435,2,-2.852264885021052,-0.10888305329755354,-0.03565382462957878,2.897588447411401,-0.30552947147530496,0.30817791980824794,2.8648258725722195,3.0159143634339722,0.2487818359269751,0.39873814399309965,False,483,4.867278242658203,2.4336391213291013,False,64,0.5
0.39,1257.2487658985024,0.4772678180373329,16381.14575212989,16.00028741868083,15.732132722552274,19.241881404893856,20.89258241577618,0.9063435517187649,0.09003135280645921,0.6872233929727672,21.991148575128552,0.9999728837190123,0.44003324220431084,0.005754321173655872,6.413657312740923e-05,True,0,8738,nan,5.763836914384447,2,-2.8375931623509096,-0.12361264580473552,-0.05924484368523153,2.912864932342675,-0.2813139303731127,0.30016854176296803,2.931942374736506,3.0532277631230715,0.26725518321838027,0.44364576845613624,False,549,5.079581253279978,2.539790626639989,False,64,0.5
0.4,1288.2099760587125,0.49477654106144237,16386.60081724364,16.000824639819285,15.732132722552274,19.241881404893856,20.89258241577618,0.9082998361811075,0.09307763865510382,0.6872233929727672,21.991148575128552,0.9999690591412302,0.4472197704559701,0.006020685149345756,6.729161791928042e-05,True,0,8704,nan,5.75658324990018,2,-2.8121527520358143,-0.1300854450265394,-0.07237785156998733,2.9303453899744554,-0.2802876388624238,0.30099207625870505,3.0515933894253244,3.156204032690415,0.31095988718007944,0.489984854739321,False,501,4.927005406725586,2.463502703362793,False,64,0.5
0.5,1601.674088710636,0.6006450587989228,16395.66335211093,16.00317807382801,15.748015748023622,19.241881404893856,20.89258241577618,1.0782244536536405,0.1237950429635771,0.6872233929727672,21.991148575128552,0.9999666971030755,0.5010009266815504,0.00883838066422676,0.00010157280972924365,True,0,8796,nan,5.757773908423397,2,-2.7947114001373503,-0.1556766989709626,-0.0929659438005892,2.9476243082801545,-0.23529242080880408,0.3208000881434536,3.5538062569956548,3.8219601983500566,0.5473778244836399,0.3894767003480865,False,560,5.113282717745438,2.556641358872719,False,64,0.5
0.6,1913.2802086049237,0.7149671437943503,16382.453384503091,16.006293797762726,15.75595125658873,19.241881404893856,20.904544960366874,1.295079883723518,0.15482906349963937,10.701049976290232,342.4335992412874,0.9999723785033702,0.538544702380344,0.012004992706918596,0.00014185982516007383,True,0,8914,nan,5.793211588293619,2,-2.817649532728307,-0.1758516634348517,-0.055872190652108245,2.9648270588438947,-0.1918166547719764,0.2962784783953971,4.094336483112512,4.290173294899207,0.6962561382371402,0.6393964372327049,False,595,5.217664123107867,2.6088320615539335,False,64,0.5
0.7000000000000001,2220.460713524125,0.8181630040002241,16403.1741978107,16.00340824031113,15.75595125658873,19.241881404893856,20.904544960366874,1.5913997561320312,0.18598120187477737,10.50470043544087,336.15041393410786,0.9999734611717509,0.5685658282448954,0.015555658933284772,0.00018898935471413334,True,0,8917,nan,5.7525558625735025,2,-2.8052093850499187,-0.1412190333138259,-0.05743644306068596,2.9357675073654015,-0.14745423216569797,0.30731606903125197,4.7482503648215655,4.855677620333282,0.4188866963356239,0.5054466758582273,False,628,5.312394823130951,2.6561974115654756,False,64,0.5
0.8,2525.080403979482,1.0126636963291273,16415.121822385165,16.009458301823415,15.763882770434446,19.241881404893856,20.904544960366874,1.7706865356659414,0.2173104969772573,10.50470043544087,336.15041393410786,0.9999762891288068,0.5908105776128428,0.019396003122110417,0.00024226488247616767,True,0,8448,nan,5.6008889027478785,2,-2.7058725689969023,-0.13992035584684182,-0.07797894149287643,2.8811010400848645,-0.1538877958109488,0.3163398419413461,5.421314310625558,5.336751892747889,0.5548129412276361,0.5084891984242496,False,360,4.413041015034398,2.206520507517199,False,64,0.5
0.9,2825.3413441979583,1.0748978197222396,16439.528541674023,16.00767961004361,15.75595125658873,19.241881404893856,20.89258241577618,2.291749330764981,0.24853388795955994,10.30835089459151,329.8672286269283,0.9999798440461781,0.6098804275321369,0.02355108212654412,0.00030237677796625,True,0,8710,nan,5.530219201685376,2,-2.6710302630354956,-0.12003500700872749,-0.12543187287920787,2.8432148550037084,-0.13439532091876494,0.2943525697277636,6.191948277360737,5.993959716994224,0.6677368307518572,0.5723065871168229,False,489,4.8873497202210245,2.4436748601105123,False,64,0.5
1.0,3122.9880373492415,1.236579504796598,16440.198077406403,16.005494996603762,15.75595125658873,19.235384061671343,20.89258241577618,2.3688732169984643,0.2798742894802011,10.30835089459151,329.8672286269283,0.9999840752453315,0.624220227589632,0.027917652345667926,0.00036840288766141105,True,0,8404,nan,5.559215580007074,2,-2.67263114230434,-0.14577558193280993,-0.24088212378569374,2.864475967202843,-0.16898061625601635,0.2538746338442195,6.8602624856366266,7.025717134731128,0.756486832997299,0.5148040015393146,False,380,4.493295655350236,2.246647827675118,False,64,0.5
1.1,3415.123674523155,2.167365604177789,16421.52039904237,16.002996797161064,15.748015748023622,19.235384061671343,20.89258241577618,4.265225865085587,0.31104594832309185,10.30835089459151,329.8672286269283,0.9999869800971841,0.6347086428179098,0.0324907900785381,0.00044063675846604507,True,0,3344,nan,5.681044021907892,2,-2.747669306999354,-0.18683955214506653,-0.2992625516799041,2.9118233718207733,-0.21514386437597466,0.19429865338580754,7.552839511799154,7.588255769026848,0.6859916098176769,0.528941193583042,False,10,1.3365046175719757,0.6682523087859878,False,64,0.5
1.2,3701.9847343538213,1.553919921551873,16491.47436916275,16.003057323027438,15.748015748023622,19.235384061671343,20.904544960366874,4.349788886384747,0.3419470158263588,10.30835089459151,329.8672286269283,0.9999851420119814,0.6470767378731632,0.037469854520537985,0.0005222067282463583,True,0,8048,nan,5.712680960641323,2,-2.7451079427555776,-0.16616811248671048,-0.3433075645213055,2.951169715834606,-0.24949913220564213,0.08119277172449912,8.438237642169574,7.934237126597702,0.7310888869714024,0.7081583864457137,False,239,3.8497845968977753,1.9248922984488877,False,64,0.5
