t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,r90_over_r50,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,rho_core,rho_mid,rho_far,rho_shell,rho_origin,mass_core,mass_mid,mass_far,mass_core_frac,mass_mid_frac,mass_far_frac,contrast_im,contrast_mf,contrast_oi,contrast_sf,two_scale_bright,two_scale_hollow,two_scale,re_core_mean,re_core_min,re_mid_mean,re_mid_max,re_origin,re_max,re_min,plus_env,minus_core,hole_core,sign_nest,N,dx
0.14,456.938086785992,0.1734626059803291,16407.418120755698,15.996711205206752,15.732132722552274,19.235384061671343,20.89258241577618,0.21462578951296307,0.019732244094213973,0.2945243112740431,9.42477796076938,0.9998628369141127,0.17460951858300577,0.0009028828006037917,9.383619329970729e-06,True,1.3280197150781925,521,4.991714116763674,2.495857058381837,False,0.024736620115775817,0.02083628962070005,0.013911997261621619,0.02364869461828031,0.022677318349255526,0.058749472774967566,2.08883803447518,426.17142911422815,0.00012857206364258057,0.004571380882621615,0.9326677758727223,1.187189301266044,1.4977209403411942,1.042834706205757,1.6998777510917764,False,False,False,0.11029255547510432,-0.009762743905045619,0.07681251171371094,0.37601289726674725,0.14878756439131186,0.40847916427603237,-0.38203075486934535,True,False,True,True,64,0.5
0.15,489.6679757615584,0.17410731893989462,16420.03035523823,15.997001872656016,15.732132722552274,19.222382786741086,20.89258241577618,0.24393323852412457,0.02208951330081533,0.2945243112740431,9.42477796076938,0.9998761634518394,0.18989894730920434,0.0010283237166719935,1.0717372377369807e-05,True,1.3280197150781925,756,5.651248378088314,2.825624189044157,False,0.02680215487786438,0.021951145298876647,0.01491426794850705,0.024903135456145656,0.019742160386248157,0.0636551178349279,2.200602316212384,456.8743629170972,0.00012999648942924638,0.004494070319362598,0.9330288798374883,1.2209911835094993,1.4718218403119143,1.261418961700488,1.6697524506148163,False,False,False,0.11685134015482448,0.02286377708246935,0.07556781884687165,0.3676695497307877,0.13799064590272572,0.398309817539675,-0.37744967697088316,True,False,True,True,64,0.5
0.16,522.1801106299793,0.18107565995454053,16418.90796725293,15.995398921356994,15.732132722552274,19.222382786741086,20.89258241577618,0.2673902575033917,0.024517702670238856,0.2945243112740431,9.42477796076938,0.9998826568702048,0.20483818995140463,0.0011605518642447412,1.2129453846345429e-05,True,1.3280197150781925,882,5.9492194886130285,2.9746097443065143,False,0.025993555916539245,0.022684459064067977,0.01590535045810184,0.025242388340959654,0.00854103146595783,0.06173469530178071,2.2741170211728146,487.23456508945543,0.00011822490754636647,0.004355043355498982,0.9330776013311497,1.1458750611211557,1.4262156073721095,2.9554262200729235,1.5870375448471636,False,False,False,0.11507573377183475,-0.014437557560331864,0.07558582321690412,0.3718127766206538,0.08983244285701308,0.3971435833964094,-0.42297453996966233,True,False,True,True,64,0.5
0.17,554.516984481056,0.20393425553755837,16431.53913119142,15.998774374492653,15.732132722552274,19.235384061671343,20.89258241577618,0.28305880623435387,0.02701038198868891,0.2945243112740431,9.42477796076938,0.9998843305902099,0.2196937339600986,0.001301134971360883,1.3636908830458537e-05,True,1.3280197150781925,602,5.238045830519883,2.6190229152599414,False,0.02755875599037365,0.023505286900994456,0.01689163306552509,0.025613153411867366,0.003924653797131413,0.06545204547713741,2.356405011824694,517.4477300586296,0.00011803433854851285,0.004249473105012162,0.9331503714766868,1.1724492496710475,1.3915343063523846,6.526219823666586,1.5163219158568173,False,False,False,0.11917042793250102,-0.028603682181545097,0.07531165896411206,0.3934123378512645,0.06022506324189344,0.444981501926117,-0.4220937225105422,True,False,True,True,64,0.5
0.18,586.4672953326003,0.23984322711436679,16426.877181794232,16.001789424302817,15.732132722552274,19.235384061671343,20.89258241577618,0.2969738283606556,0.029558899899418983,0.2945243112740431,9.42477796076938,0.9999023299428662,0.2341391143636929,0.0014483847174025155,1.522281967420519e-05,True,1.3280197150781925,310,4.1984697474723625,2.0992348737361812,False,0.03187487119208148,0.02437880258324055,0.017864986056819725,0.02644292755753918,0.0038396750550972036,0.07570281908119351,2.443974958969865,547.2648172483299,0.000129082763324868,0.0041672826062429036,0.9331548776952043,1.3074830514438054,1.364613580201159,6.886761816585483,1.480153831267332,False,False,False,0.12226901830031812,-0.053270884138013674,0.07610416769586839,0.4091922197137983,0.06149929277563085,0.44917434505156395,-0.4185063570386603,True,False,True,True,64,0.5
0.19,618.3952773538934,0.2900353559336385,16428.569232621256,15.995907776037189,15.732132722552274,19.235384061671343,20.89258241577618,0.3218796822783215,0.03215752686595744,0.2945243112740431,9.42477796076938,0.9999079968694407,0.2482000801051109,0.0016023370179253167,1.688816419403823e-05,True,1.3280197150781925,109,2.963325076860906,1.481662538430453,False,0.03527792714295061,0.025314885708865868,0.018832126757411197,0.027234588469223088,0.0030709672015316876,0.0837850769645077,2.5378172923138034,576.8916010073112,0.00013548789913633093,0.00410387560392294,0.9328848749877652,1.3935645433546417,1.344239343488034,8.868407469685595,1.446176994242309,False,False,False,0.1319994562923661,-0.05767884657276325,0.07672234400271477,0.4118284623554229,0.05331303992180534,0.455308645408134,-0.4818813932129936,True,False,True,True,64,0.5
0.2,650.6057275791543,0.29191119631626533,16435.132230056595,15.997061614947098,15.732132722552274,19.235384061671343,20.89258241577618,0.34608301390532614,0.03480149586312093,0.2945243112740431,9.42477796076938,0.99990996734924,0.2616133526317563,0.0017611401956563527,1.8613991442519512e-05,True,1.3280197150781925,150,3.2961038252544337,1.6480519126272168,False,0.04004330253762104,0.026529779106806612,0.01981452341012012,0.028666542309379758,0.005836643083279042,0.09510284352684997,2.659610355457363,606.9857260684884,0.0001461758473610725,0.004087898772968899,0.9329547840395257,1.5093718789142625,1.3389057388711518,4.911477693659968,1.4467439723904,False,False,False,0.13941832043927566,-0.08959936053123911,0.07764183106577498,0.4240305356453781,0.07588052799846134,0.4799038858303183,-0.5380833876041662,True,False,True,True,64,0.5
0.3,969.821712149713,0.41494630165378066,16467.631587053518,15.991338602795826,15.724185193516387,19.222382786741086,20.89258241577618,0.5531087000281038,0.06299177620411402,0.2945243112740431,9.42477796076938,0.9999333573752138,0.372065466907127,0.003656751701618535,3.9746573265095836e-05,True,1.3286909406530583,220,3.744938504039213,1.8724692520196065,False,0.05173930878786174,0.033858882437220066,0.029575517412571358,0.03597535800425365,0.07556447035838834,0.12288085837117163,3.3943529643313113,905.9979157183282,0.0001267045858344346,0.003499976255230837,0.9341901757489914,1.5280867253606176,1.1448280672455124,0.4760882705010591,1.2163898099365789,False,False,False,0.14029236277455812,-0.014193956611639358,0.07030772492906277,0.44462442547774117,0.25570452813854544,0.5197292103531205,-0.5278135474433541,True,False,False,False,64,0.5
0.4,1287.9535878116853,0.4947766398728388,16393.558327170173,16.002277541532152,15.732132722552274,19.241881404893856,20.898564544006366,0.8284225706918642,0.09306303303429113,0.2945243112740431,9.42477796076938,0.9999405002342017,0.4470351508296995,0.006011855480335677,6.718542581979456e-05,True,1.3283999641096293,497,4.913857898181191,2.4569289490905954,False,0.07896989944302794,0.04352714298622684,0.03927103508541712,0.043722333504259546,0.02858646340355483,0.18755351117719138,4.363596084369241,1203.0043444097396,0.00014562132747023647,0.003388007243167253,0.9340432417706294,1.8142679262917887,1.1083777876379475,1.529476832689367,1.11334813073199,False,False,False,0.17960819490741498,-0.11260077955414294,0.06972614963934129,0.48607284461220457,0.14062300845671075,0.6332033210649277,-0.6959640477288523,True,False,True,True,64,0.5
0.5,1601.4003465647925,0.6006448303688975,16400.47786388078,16.004435205191538,15.748015748023622,19.241881404893856,20.89258241577618,1.078303017930416,0.12377385267557509,0.2945243112740431,9.42477796076938,0.9999444123261542,0.5009346406060865,0.008829872057009181,0.00010146483067237334,True,1.3266803100827607,550,5.082663524214308,2.541331762107154,False,0.09145643695325262,0.05270171933230153,0.048835203358278956,0.05316256359518298,0.055510303779644034,0.21720903776397496,5.283347363063228,1495.9870976754187,0.00013563693690332712,0.003299204583286547,0.9341743311624113,1.7353596450352968,1.0791747695951202,0.957706227049653,1.0886114921065526,False,False,False,0.17157982586926468,-0.16107887332208498,0.06532538805343309,0.5145474945433086,0.23553130389054988,0.767859868654757,-0.6919960133530151,True,False,True,True,64,0.5
0.6,1913.0060434359775,0.7149674160742333,16385.382654108027,16.007342436597227,15.75595125658873,19.241881404893856,20.904544960366874,1.2950789497155042,0.15480287217256614,0.2945243112740431,9.42477796076938,0.9999502552357731,0.5384096174776449,0.011995643138315106,0.0001417375450954461,True,1.32677136530396,598,5.22641860952969,2.613209304764845,False,0.09315293144815232,0.06069148306522266,0.058350168877660674,0.06321383344621136,0.033952809676343954,0.22123821218936174,6.0843211772885715,1787.4626045427085,0.0001156495103340043,0.0031805028521292257,0.9343737363904095,1.5348600288453105,1.0401252341269291,1.861814502210535,1.0833530504212943,False,False,False,0.18051707845124226,-0.2834614438041929,0.06829562739567509,0.5960516610260609,0.14876020016077626,0.7746397368766951,-0.7103945858681203,True,False,True,True,64,0.5
0.7000000000000001,2220.1833647286935,0.8181915433409012,16406.355860716987,16.004320759640745,15.75595125658873,19.241881404893856,20.904544960366874,1.5914092885346303,0.18595463649086175,0.2945243112740431,9.42477796076938,0.9999550677799997,0.5685563739186013,0.01554713922924081,0.00018887156076075919,True,1.32677136530396,623,5.2982585274036,2.6491292637018,False,0.08321048692010966,0.07018208401343687,0.06770066522248139,0.07663088358403969,0.11536040261249736,0.19762490643526043,7.035753922347046,2073.8998655097307,8.901287595198706e-05,0.003168996774825766,0.934111974018489,1.1856371621022026,1.0366527977649986,0.6642737182657684,1.1319073945907527,False,False,False,0.16436985900503007,-0.15658970523737392,0.0688348226615955,0.5981700224116127,0.2739972432165046,0.8770596221726124,-0.8660612694487955,True,False,True,True,64,0.5
0.8,2524.7606279653555,0.9747671807562182,16416.222664289315,16.01039146828098,15.763882770434446,19.241881404893856,20.904544960366874,1.770683906853963,0.21728125296392942,0.2945243112740431,9.42477796076938,0.9999628527456292,0.5907668250851363,0.01938660746397,0.00024213074940497594,True,1.3261038073420508,459,4.785287391016279,2.3926436955081396,False,0.11003733993162126,0.07936909543522279,0.07702065645674906,0.08568708053737491,0.04945915510857413,0.2613386823376005,7.956751817381084,2359.4026519857653,0.00010351028111057289,0.003151487602130916,0.9345054837484342,1.3864003278382884,1.0304910278165766,1.7324816881580816,1.1125207766242875,False,False,False,0.13312358549689002,-0.43155315598256494,0.05831847770321175,0.6685831007636054,0.17814838594853144,0.8628410631547215,-0.8789610828312948,True,False,True,True,64,0.5
0.9,2825.0469483209586,1.074905000784209,16440.769740532836,16.008440327167097,15.763882770434446,19.241881404893856,20.89258241577618,2.2917468039742217,0.2485028876980397,0.2945243112740431,9.42477796076938,0.9999685200429717,0.6098640093408515,0.023542373544082847,0.00030224527787297943,True,1.325344949593303,485,4.87398711158066,2.43699355579033,False,0.09537690027247862,0.08971417928041701,0.08616838161444024,0.09491139680852825,0.015725195357007286,0.22652013814713673,8.993846472861806,2639.628347138253,8.01827871504107e-05,0.0031836095602613677,0.9343661876865772,1.0631195763867136,1.041149637483531,6.0356259272947534,1.1014643077922546,False,False,False,0.1303134214985688,-0.20746695092345155,0.05521838094443234,0.7327160208099002,0.05368222830012483,0.94670365152027,-0.9467080018531492,True,False,True,True,64,0.5
1.0,3122.8245103389063,1.2365863781750106,16439.66568007086,16.00586149885859,15.75595125658873,19.235384061671343,20.89258241577618,2.3688727102805816,0.2798479812035858,0.2945243112740431,9.42477796076938,0.999974543660849,0.6241442801369871,0.027905128520158116,0.0003682146627488015,True,1.3260121255477635,380,4.493295655350236,2.246647827675118,False,0.08838472228563281,0.104807752713626,0.09520035551020585,0.11236303785489545,0.1462874020035081,0.20991371542837792,10.506977209541006,2916.308190477452,6.721918402183826e-05,0.0033645749784385836,0.9338687399251129,0.8433032862285765,1.1009176609890936,0.7680978424389606,1.1802796035026328,False,False,False,0.0998842404576031,-0.3502494341181397,0.05401174493852376,0.6989334780206875,0.32057086769302,1.005628857955839,-1.0874033623598627,True,False,True,True,64,0.5
1.2,3701.6639183232064,1.5544043167973414,16491.705574959156,16.003690829362725,15.748015748023622,19.235384061671343,20.904544960366874,4.349760212315873,0.3419201632313014,10.30835089459151,329.8672286269283,0.9999787735129837,0.6470959132360669,0.03746331114304153,0.0005220875693168975,True,1.3274399324238926,235,3.828186472892078,1.914093236446039,False,0.08517849591255089,0.12308388727253596,0.11286346329134204,0.12639682662108923,0.10126973621036686,0.20229892779230835,12.339159699071729,3457.3887948024153,5.4650809002656966e-05,0.003333408967246591,0.9340093728359208,0.6920361210557655,1.0905556473560558,1.2481204291727002,1.1199091622309392,False,False,False,0.011243867878987462,-0.5234746687122103,0.03389676616168465,0.7470165047499722,-0.0893714714783943,1.096582118694619,-1.0405189929492886,False,False,True,False,64,0.5
1.4000000000000001,4282.331409635379,1.6286880408080526,16515.51966840962,15.999369977812048,15.732132722552274,19.235384061671343,20.89258241577618,3.219593257797609,0.40433232076533,10.30835089459151,329.8672286269283,0.9999793056684899,0.6612732329501257,0.04737651823457307,0.000696790247590693,True,1.3280197150781925,470,4.823212720119538,2.411606360059769,False,0.1241115680679871,0.14085927708466006,0.13060896339054592,0.14853038154390177,0.1245643005685555,0.29476497416146935,14.121142527737172,4000.9933539038648,6.88328263193827e-05,0.0032975361262241785,0.9343025962216528,0.8811032587750173,1.078480935978825,1.1923992738365374,1.1372143051144765,False,False,False,-0.02574406875291858,-0.4406356791464931,0.021026322732510563,0.7934857391867748,0.3179333247118856,1.2303597093924823,-1.1702180333282655,False,True,True,False,64,0.5
1.6,4857.848379061952,1.867976515888945,16536.124901181098,15.987979741976138,15.732132722552274,19.215878850575635,20.886598574205422,3.4253765613384974,0.4673896693405613,10.112001353742146,323.5840433197487,0.9999793233313037,0.6714824173091046,0.0577050126861061,0.0008947751081131996,True,1.3276393571396798,419,4.642035647701579,2.3210178238507897,False,0.09643231563413367,0.1569355579118038,0.1481096831992163,0.15587036242827743,0.11960560848383302,0.22902674963106745,15.732789680658332,4537.099466572793,4.714571797222135e-05,0.0032386333316760134,0.933973049905873,0.6144707860810464,1.059590126195302,1.3032027879306871,1.0523981893784928,False,False,False,-0.015038282864091009,-0.3730528625457783,-0.004765474069030029,0.7743561191053097,0.07538031597761922,1.2092746279424897,-1.2988119319959694,False,True,True,False,64,0.5
1.8,5413.448592542025,1.877236656886116,16632.57903647109,15.984398650275645,15.732132722552274,19.215878850575635,20.886598574205422,3.7168270028412436,0.5297251615309766,10.701049976290232,342.4335992412874,0.999978384931271,0.6811879383598181,0.06892304961336218,0.0011260750592992875,True,1.3276393571396798,753,5.643763272138857,2.8218816360694285,False,0.16154203189037564,0.1597719200227016,0.16508071970927646,0.15676774122380657,0.22707990545651394,0.38366232573964215,16.017134982275834,5056.979592124157,7.08720733523182e-05,0.002958767356605593,0.9341512172279669,1.0110789922748786,0.9678411888685476,0.6903637770530416,0.9496429474010661,False,False,False,0.056733831333571884,-0.6321278180718046,-0.020764892313740946,0.8017954481265859,0.006071460707383763,1.2655124798767599,-1.219704176609428,False,False,True,False,64,0.5
2.0,5948.15186750877,2.3295423306691294,16667.849940475076,15.987968357327912,15.732132722552274,19.222382786741086,20.886598574205422,6.300747149214227,0.5911094834474624,10.701049976290232,342.4335992412874,0.9999797523216265,0.6900932844154897,0.08045512876908816,0.001384196311288177,True,1.3276393571396798,339,4.325507104155695,2.1627535520778474,False,0.13916221454709227,0.16366114437946555,0.18150692281393785,0.16359328592959343,0.2871890980437223,0.33051025954934415,16.407029724041422,5560.1696316554135,5.556520191670389e-05,0.00275834075684303,0.9347726412345533,0.8503069868827878,0.9016799020235391,0.5696361284044551,0.9013060405265775,False,False,False,0.04310460600996881,-0.6274466577781953,-0.03197217645291008,0.9653891349005284,0.5009192252171181,1.2538579227455715,-1.271223193340098,False,False,True,False,64,0.5
2.2,6474.657278216366,2.296123311790625,16787.34949351892,15.995435305495699,15.724185193516387,19.222382786741086,20.89258241577618,4.445014821591635,0.6521468381699944,10.701049976290232,342.4335992412874,0.9999801633390284,0.6964527654019733,0.09252501133796862,0.0016753015765836926,True,1.3286909406530583,571,5.14654569323394,2.57327284661697,False,0.1341501745422308,0.1819762858228931,0.19759817910364144,0.1817816456132345,0.2026656366983188,0.3186066645377981,18.243122653745033,6053.099119799012,4.9208267070711684e-05,0.0028176198167465995,0.93489104669128,0.7371849245939184,0.9209411070911004,0.8969534676657025,0.9199560767100436,False,False,False,-0.008037875682924155,-0.4290933625996903,-0.03812957414677997,0.8994844115618357,-0.155221027325656,1.3946903468864664,-1.325573882731434,False,True,True,False,64,0.5
2.4,7006.702945231126,2.2962714854276896,16889.99456082082,15.992649453314709,15.724185193516387,19.222382786741086,20.89258241577618,5.039570001815958,0.7133164246649806,10.701049976290232,342.4335992412874,0.999978216549707,0.7008968028411147,0.10427042959914926,0.0019853772240756087,True,1.3286909406530583,904,5.998278235900232,2.999139117950116,False,0.19275869425348524,0.21583819826180173,0.21373406043821253,0.1929532790158777,0.27110328341690604,0.45780189885202743,21.637779375745623,6547.395623676429,6.533770625506748e-05,0.003088154235291599,0.9344474390958291,0.8930703453133809,1.009844653768684,0.7117334640287323,0.9027727196136702,False,False,False,-0.03732219873137491,-0.6617624557446746,-0.025505967063212905,1.0042115301698895,-0.498120123426665,1.4644446736228973,-1.3825586497494782,False,True,True,False,64,0.5
2.6,7515.518574630477,2.269295530132618,16997.43519504166,15.9990965068083,15.732132722552274,19.241881404893856,20.898564544006366,4.94563555407692,0.7735911857147884,10.701049976290232,342.4335992412874,0.9999787569675849,0.7049617856205125,0.11656755186760262,0.002332196392184848,True,1.3283999641096293,1357,6.868001997278793,3.4340009986393967,False,0.2623517574806051,0.21466809771297582,0.2291949915830516,0.209538212167386,0.17669085804709322,0.6230854240164371,21.520476795725827,7021.016125285463,8.290651108490847e-05,0.002863471972296196,0.9342024845744823,1.2221273690671317,0.9366177516806174,1.1859029634206542,0.9142355630029432,False,False,False,0.005607793147655179,-0.6377972017621232,-0.006815440701260893,1.130715033474742,-0.3952175612591712,1.3430119592627878,-1.471703160901079,False,False,True,False,64,0.5
2.8000000000000003,8024.8464166123995,2.6258884298758853,17073.816220025456,16.00301772907668,15.732132722552274,19.241881404893856,20.89258241577618,5.253390153651957,0.8333556818579633,10.701049976290232,342.4335992412874,0.9999783114362722,0.7066775888537743,0.1283586445893464,0.002696697560165625,True,1.3280197150781925,740,5.611096056635691,2.8055480283178453,False,0.17712915717895994,0.23326091730981294,0.24467940551055978,0.23110620922949107,0.02905551367766532,0.42068174830002986,23.38440696030875,7495.355983782044,5.242240492343479e-05,0.0029140005610450324,0.934018621000117,0.7593606302409426,0.9533328594741332,7.953953655520469,0.9445266092062541,False,False,False,0.0199366674743305,-0.5686398912865644,0.00770425126154616,1.05703510862226,0.01650445398414746,1.5252617844957255,-1.5097986867650781,False,False,True,False,64,0.5
