t,norm,peak,R_rms,r50,r80,r90,PR,Vmem_peak,Vmem_mean,n_atoms_detected,nn_mean,nn_median,kstar,kstarL,cryst
3.2,8971.211425258514,2.860095059181618,16.02697714667453,15.7797338380595,19.261360284258224,20.92844953645635,18106.957629846318,7.712636788951279,0.9463343030649648,1186,2.27147666055186,2.23606797749979,3.146689351267401,100.69405924055683,0.44722993471329603
3.3000000000000003,9201.020596040045,2.8150881428501133,16.01351849119796,15.7797338380595,19.235384061671343,20.904544960366874,18139.964487603924,8.747031177393115,0.9753810443830397,1175,2.2792562679177393,2.23606797749979,3.146689351267401,100.69405924055683,0.44624470434290264
3.4,9428.523652427251,2.397962228128,16.010498959954024,15.7797338380595,19.235384061671343,20.904544960366874,18277.85152168765,8.488344826660585,1.0039903707964355,1209,2.2664326479178145,2.23606797749979,3.146689351267401,100.69405924055683,0.4420949526003996
3.5,9664.304521697475,2.679379852664663,16.010456353890138,15.7797338380595,19.235384061671343,20.904544960366874,18339.578847058772,7.682869408774212,1.0321445107298022,1218,2.2734228907855725,2.23606797749979,3.146689351267401,100.69405924055683,0.4402341300103676
3.6,9904.678372396193,2.3653644157630214,16.00898794790668,15.7797338380595,19.235384061671343,20.904544960366874,18459.309002330923,7.207853621351248,1.0607928939209967,1183,2.268589897866263,2.23606797749979,3.146689351267401,100.69405924055683,0.4365984772981779
3.7,10130.684785604022,2.5320482545121488,16.01260550419172,15.7797338380595,19.235384061671343,20.904544960366874,18604.94529882581,7.611891978722579,1.0892570211636932,1185,2.2704499986011872,2.23606797749979,3.146689351267401,100.69405924055683,0.43213625183937754
3.8000000000000003,10359.167947459271,2.6875084188667953,16.0103242865207,15.748015748023622,19.235384061671343,20.904544960366874,18781.655683911427,7.858728987318052,1.1175543636266714,1180,2.2697163388950563,2.23606797749979,3.146689351267401,100.69405924055683,0.42675973597248784
3.9,10566.354573472005,2.5953469617476426,16.00846457569024,15.748015748023622,19.235384061671343,20.904544960366874,18903.62778934112,8.353285450023915,1.1451337970166222,1201,2.25979710274597,2.23606797749979,3.146689351267401,100.69405924055683,0.42303465446258504
4.0,10768.970587218952,2.9978818069268636,16.00880360263037,15.7797338380595,19.209372712298546,20.904544960366874,18959.384861154093,8.211345161065216,1.171836064932809,1164,2.275415029745813,2.23606797749979,3.146689351267401,100.69405924055683,0.4213416266905127
4.1,11001.781510421706,2.545939550103005,16.012835027436637,15.7797338380595,19.209372712298546,20.904544960366874,18991.407084938124,8.765700666464008,1.1986639391747953,1177,2.2728574176256404,2.23606797749979,3.146689351267401,100.69405924055683,0.42036844251611344
