snap,t,x,Re_psi
t002,0.02,-8.0,-0.012171018175328651
t002,0.02,-7.5,0.04100389453583204
t002,0.02,-7.0,0.04294519711774682
t002,0.02,-6.5,0.020119556951555713
t002,0.02,-6.0,0.0011742993159379357
t002,0.02,-5.5,-0.041302721622845866
t002,0.02,-5.0,0.011859197454110359
t002,0.02,-4.5,0.04563901618108541
t002,0.02,-4.0,0.02282564027517435
t002,0.02,-3.5,0.012695794060754322
t002,0.02,-3.0,0.014151380114724397
t002,0.02,-2.5,0.061984445829487665
t002,0.02,-2.0,0.06474031876033945
t002,0.02,-1.5,0.054987812471921915
t002,0.02,-1.0,0.024769822015803487
t002,0.02,-0.5,0.050959939631404196
t002,0.02,0.0,-0.0012871765372851618
t002,0.02,0.5,0.011606231613517594
t002,0.02,1.0,0.04417150930755831
t002,0.02,1.5,0.04619006645319615
t002,0.02,2.0,0.042110107110704176
t002,0.02,2.5,0.012648870882185796
t002,0.02,3.0,0.00024496098106675974
t002,0.02,3.5,0.03519385769047004
t002,0.02,4.0,-0.0002018046975051438
t002,0.02,4.5,0.021875113592469714
t002,0.02,5.0,-0.015991098544970665
t002,0.02,5.5,0.029354200550987013
t002,0.02,6.0,0.02945087745378544
t002,0.02,6.5,0.00456135167830642
t002,0.02,7.0,-0.009276943799431446
t002,0.02,7.5,0.0821022465146812
t002,0.02,8.0,0.03218978067103333
t002,0.02,8.5,0.024269852459952092
t002,0.02,9.0,-0.011614269966121003
t002,0.02,9.5,0.010519891775212056
t002,0.02,10.0,-0.008140974915621973
t002,0.02,10.5,0.009302067736467717
t002,0.02,11.0,-0.0439096516082957
t002,0.02,11.5,0.025546812619231522
t002,0.02,12.0,0.007503694389280584
t002,0.02,12.5,0.010070208626872888
t002,0.02,13.0,-0.006505337193854306
t002,0.02,13.5,0.0643196374471995
t002,0.02,14.0,-0.013033626312028396
t002,0.02,14.5,0.003673462775253534
t002,0.02,15.0,-0.037668214015242577
t002,0.02,15.5,-0.03558105047966565
early,0.1,-16.0,-0.08053895061444256
early,0.1,-15.5,0.1192654073182057
early,0.1,-15.0,-0.026872731682660897
early,0.1,-14.5,0.08428097931120458
early,0.1,-14.0,-0.00045269788450201173
early,0.1,-13.5,0.011491647466461662
early,0.1,-13.0,0.07254568090940534
early,0.1,-12.5,0.04417363248751008
early,0.1,-12.0,-0.013033715827494343
early,0.1,-11.5,0.034134093313981664
early,0.1,-11.0,0.03258341465380142
early,0.1,-10.5,0.04104623178336464
early,0.1,-10.0,-0.027900340981511822
early,0.1,-9.5,-0.044107643446312295
early,0.1,-9.0,-0.10653904106948886
early,0.1,-8.5,-0.014789303764501757
early,0.1,-8.0,0.08693054467577464
early,0.1,-7.5,-0.0091119602309944
early,0.1,-7.0,0.025110819504326906
early,0.1,-6.5,0.09735685181493547
early,0.1,-6.0,-0.038692149290687775
early,0.1,-5.5,0.037356161288502346
early,0.1,-5.0,0.06569281758271536
early,0.1,-4.5,-0.1565209267768841
early,0.1,-4.0,-0.03565571377000587
early,0.1,-3.5,0.04760685381880245
early,0.1,-3.0,0.02549620644462571
early,0.1,-2.5,0.04528290608407115
early,0.1,-2.0,0.04701049376600104
early,0.1,-1.5,-0.09159362836467529
early,0.1,-1.0,0.060363032236901634
early,0.1,-0.5,0.043330549570296965
early,0.1,0.0,0.13065216645645478
early,0.1,0.5,0.08810043801841166
early,0.1,1.0,0.09537810658227318
early,0.1,1.5,-0.09702367376630332
early,0.1,2.0,-0.02639475317479775
early,0.1,2.5,0.09762298698401448
early,0.1,3.0,0.15561329096133425
early,0.1,3.5,0.05611212431740678
early,0.1,4.0,-0.03547914500511868
early,0.1,4.5,-0.11960458494360611
early,0.1,5.0,-0.005987741882724117
early,0.1,5.5,0.004984920979629239
early,0.1,6.0,0.039216322339812856
early,0.1,6.5,0.10184852200459169
early,0.1,7.0,0.041476357490446265
early,0.1,7.5,-0.0866617487375851
early,0.1,8.0,0.12947719286825415
early,0.1,8.5,0.041576758854064706
early,0.1,9.0,-0.11780615738998716
early,0.1,9.5,-0.013118171905023353
early,0.1,10.0,0.12791835018138314
early,0.1,10.5,0.03286390814447904
early,0.1,11.0,0.06563966794382597
early,0.1,11.5,-0.035646158274563494
early,0.1,12.0,0.1289102404664472
early,0.1,12.5,-0.09245301954359916
early,0.1,13.0,0.016883928136983778
early,0.1,13.5,-0.025224783551558463
early,0.1,14.0,-0.03656020809926287
early,0.1,14.5,0.06381374746932515
early,0.1,15.0,-0.054546634532031735
early,0.1,15.5,0.0024175420948308463
mid,4.0,-16.0,-0.1113785883487175
mid,4.0,-15.5,-0.13201060210987953
mid,4.0,-15.0,0.35031116885808644
mid,4.0,-14.5,0.5204662730313012
mid,4.0,-14.0,0.15994008636815912
mid,4.0,-13.5,-0.1070000330188847
mid,4.0,-13.0,-0.2276916071244182
mid,4.0,-12.5,-0.0018980210304537226
mid,4.0,-12.0,0.21494544025453413
mid,4.0,-11.5,0.1150611429631031
mid,4.0,-11.0,-0.27336137131319427
mid,4.0,-10.5,0.2645315547476654
mid,4.0,-10.0,-0.5139377140695556
mid,4.0,-9.5,-0.13023910249672033
mid,4.0,-9.0,0.7097612326536185
mid,4.0,-8.5,0.3157905140588454
mid,4.0,-8.0,0.19312920371747488
mid,4.0,-7.5,0.5060004234218187
mid,4.0,-7.0,0.1846417559857475
mid,4.0,-6.5,0.09699007252395447
mid,4.0,-6.0,-0.6110648323634923
mid,4.0,-5.5,-0.18562781511247867
mid,4.0,-5.0,0.24427381063992804
mid,4.0,-4.5,-0.6816140882308022
mid,4.0,-4.0,0.6075453592782153
mid,4.0,-3.5,-0.3644454698132635
mid,4.0,-3.0,-0.060531691912130564
mid,4.0,-2.5,-0.514814092904593
mid,4.0,-2.0,0.18573335470808838
mid,4.0,-1.5,0.21300792572824342
mid,4.0,-1.0,0.3285740794693587
mid,4.0,-0.5,0.13858314055093934
mid,4.0,0.0,-0.02805761151346356
mid,4.0,0.5,0.1562312688390512
mid,4.0,1.0,-0.3769067462110074
mid,4.0,1.5,0.2805188731444135
mid,4.0,2.0,-0.03675077436852778
mid,4.0,2.5,-0.059346150639527855
mid,4.0,3.0,0.2659224097933631
mid,4.0,3.5,0.589037630582073
mid,4.0,4.0,-0.2311974240083237
mid,4.0,4.5,-0.4608372037193923
mid,4.0,5.0,-0.01198264686585318
mid,4.0,5.5,0.009850704083354145
mid,4.0,6.0,-0.952699852143879
mid,4.0,6.5,0.28654305083598397
mid,4.0,7.0,0.613514003595012
mid,4.0,7.5,0.2513468440093388
mid,4.0,8.0,-0.06722145162405026
mid,4.0,8.5,0.10489257766156276
mid,4.0,9.0,0.7686216365626385
mid,4.0,9.5,-0.5183697126093398
mid,4.0,10.0,0.4635141700788429
mid,4.0,10.5,0.3381574921368596
mid,4.0,11.0,0.11181691252743164
mid,4.0,11.5,0.4362646612928185
mid,4.0,12.0,-0.4959058582134378
mid,4.0,12.5,0.03545784210352082
mid,4.0,13.0,-0.5433435882517677
mid,4.0,13.5,0.09295501153427871
mid,4.0,14.0,-0.19419912798219885
mid,4.0,14.5,-0.2747177337359517
mid,4.0,15.0,0.37236231951002263
mid,4.0,15.5,0.06100481609822144
late,8.0,-16.0,0.32928481489982536
late,8.0,-15.5,0.03306837144128788
late,8.0,-15.0,-0.3437337075218712
late,8.0,-14.5,0.37049357230842495
late,8.0,-14.0,-0.4697463902386064
late,8.0,-13.5,-0.3465248155289852
late,8.0,-13.0,0.6524322823140594
late,8.0,-12.5,-0.31621731822797394
late,8.0,-12.0,0.7037950967867569
late,8.0,-11.5,-0.42211366572175646
late,8.0,-11.0,0.7029311877487521
late,8.0,-10.5,0.4188686366286952
late,8.0,-10.0,0.05857056258528289
late,8.0,-9.5,0.42543498833374466
late,8.0,-9.0,0.10327900279942728
late,8.0,-8.5,-0.3148447422259031
late,8.0,-8.0,0.19062155188331428
late,8.0,-7.5,0.15990395020994716
late,8.0,-7.0,-0.002996691112251648
late,8.0,-6.5,-0.42166429932581684
late,8.0,-6.0,0.6378310575584313
late,8.0,-5.5,-0.6697812086572873
late,8.0,-5.0,0.9838842021725891
late,8.0,-4.5,-1.0327975475385092
late,8.0,-4.0,0.1347034654061718
late,8.0,-3.5,-0.3183874551982185
late,8.0,-3.0,0.19518031521826237
late,8.0,-2.5,0.01285055018577766
late,8.0,-2.0,0.0801329407436234
late,8.0,-1.5,-0.8794086568491545
late,8.0,-1.0,0.7716050259396541
late,8.0,-0.5,-0.44720113764019453
late,8.0,0.0,0.7047711919216766
late,8.0,0.5,-0.6492277237180109
late,8.0,1.0,0.6513002112934545
late,8.0,1.5,-0.16434067702555896
late,8.0,2.0,1.104248593004597
late,8.0,2.5,-0.30304175839992664
late,8.0,3.0,-0.09260483905746786
late,8.0,3.5,0.09075736351373667
late,8.0,4.0,0.7916001921739334
late,8.0,4.5,-0.39039654953352376
late,8.0,5.0,-0.09961350330856894
late,8.0,5.5,-0.5069253247325455
late,8.0,6.0,-0.17919701503650012
late,8.0,6.5,-0.7744259418326074
late,8.0,7.0,0.5099436357962712
late,8.0,7.5,-0.1813463606742301
late,8.0,8.0,0.02374835708174103
late,8.0,8.5,0.6252877699097836
late,8.0,9.0,-0.5878290493534416
late,8.0,9.5,0.10103441993696702
late,8.0,10.0,-0.6463715464020273
late,8.0,10.5,0.7427531492524247
late,8.0,11.0,-0.418581281224089
late,8.0,11.5,0.7604931968852839
late,8.0,12.0,-0.17036446742605924
late,8.0,12.5,0.39444792564886016
late,8.0,13.0,-0.06373823370808443
late,8.0,13.5,0.5035477240378767
late,8.0,14.0,0.24792508444683295
late,8.0,14.5,0.08934242329698416
late,8.0,15.0,0.059217685578425605
late,8.0,15.5,0.441503874617556
