snap,t,r,rho_shell
t002,0.02,1.4433756729740643,0.0025190631988808486
t002,0.02,2.02072594216369,0.00227467553055881
t002,0.02,2.598076211353316,0.0023651580303357357
t002,0.02,3.1754264805429413,0.0022340360522708877
t002,0.02,3.752776749732567,0.002243455484031062
t002,0.02,4.330127018922193,0.0022318650401743113
t002,0.02,4.907477288111819,0.002280154978557569
t002,0.02,5.484827557301445,0.0022645915537237472
t002,0.02,6.0621778264910695,0.0021960279977577667
t002,0.02,6.639528095680696,0.002047601803172445
t002,0.02,7.216878364870322,0.002140946265353733
t002,0.02,7.794228634059947,0.0021554116086600758
t002,0.02,8.371578903249572,0.002108521150526531
t002,0.02,8.948929172439199,0.0020768023385003974
t002,0.02,9.526279441628825,0.002065601541026263
t002,0.02,10.103629710818451,0.0021048467054468937
t002,0.02,10.680979980008075,0.0020010011996933093
t002,0.02,11.258330249197702,0.0020953896944226565
t002,0.02,11.835680518387328,0.002097226932250815
t002,0.02,12.413030787576954,0.002012154337836731
t002,0.02,12.990381056766578,0.0020185711620722205
t002,0.02,13.567731325956204,0.0020627775291057818
t002,0.02,14.14508159514583,0.0019940852650247505
t002,0.02,14.722431864335457,0.002018175513327842
t002,0.02,15.299782133525081,0.002013298527280893
t002,0.02,15.877132402714707,0.001998286816946967
t002,0.02,16.45448267190433,0.001959534754066798
t002,0.02,17.03183294109396,0.001975808440224869
t002,0.02,17.609183210283582,0.0019826600648837644
t002,0.02,18.186533479473212,0.0019767120673232067
t002,0.02,18.763883748662835,0.0019284157059572728
t002,0.02,19.341234017852464,0.0020066156491217843
t002,0.02,19.918584287042087,0.0019845666582705506
t002,0.02,20.495934556231717,0.002027619752258081
t002,0.02,21.07328482542134,0.0019827586515326003
t002,0.02,21.650635094610962,0.0020037057205233096
t002,0.02,22.22798536380059,0.0019823826170769845
t002,0.02,22.805335632990214,0.0019082269379716522
t002,0.02,23.382685902179844,0.0020208559722489803
t002,0.02,23.960036171369467,0.0020247182707639473
t002,0.02,24.537386440559096,0.0021420001501735717
t002,0.02,25.11473670974872,0.0020541274368752476
t002,0.02,25.69208697893834,0.001966632426694417
t002,0.02,26.26943724812797,0.0021206296095059446
t002,0.02,26.846787517317594,0.0019861768261313782
t002,0.02,27.424137786507224,0.0016306901718575245
early,0.1,0.28867513459481287,0.011824273298211407
early,0.1,0.8660254037844386,0.008776296323745006
early,0.1,1.4433756729740643,0.010105161014638065
early,0.1,2.02072594216369,0.010657362065996786
early,0.1,2.598076211353316,0.009969914699374837
early,0.1,3.1754264805429413,0.009921263759357053
early,0.1,3.752776749732567,0.010168325509053912
early,0.1,4.330127018922193,0.010018699656074596
early,0.1,4.907477288111819,0.009865093318933522
early,0.1,5.484827557301445,0.010556445479107992
early,0.1,6.0621778264910695,0.010097244170058304
early,0.1,6.639528095680696,0.009972570429838835
early,0.1,7.216878364870322,0.010009136646025388
early,0.1,7.794228634059947,0.010189210435757767
early,0.1,8.371578903249572,0.00984502679338492
early,0.1,8.948929172439199,0.009902335558700716
early,0.1,9.526279441628825,0.010044618029339973
early,0.1,10.103629710818451,0.009927915886458393
early,0.1,10.680979980008075,0.009902749726639147
early,0.1,11.258330249197702,0.009983559021710334
early,0.1,11.835680518387328,0.01014887496565228
early,0.1,12.413030787576954,0.009978325900423914
