kind,seed,family,score,best,best_score,kstar_used,kstar_own,kstarL_used,n_shell,C,C_star,M
isotropic_inj,13,FCC,0.0,BCC,0.6158966310098105,0.3141592653589793,0.6283185307179586,6.283185307179586,18,0.9999714379205112,0.00031307400586940906,
isotropic_inj,13,HCP,0.5287822429392948,BCC,0.6158966310098105,0.3141592653589793,0.6283185307179586,6.283185307179586,18,0.9999714379205112,0.00031307400586940906,
isotropic_ownk,14,SC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999723057907196,3.111586277301537e-05,
isotropic_ownk,14,BCC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999723057907196,3.111586277301537e-05,
isotropic_ownk,14,FCC,1.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999723057907196,3.111586277301537e-05,
isotropic_ownk,14,HCP,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999723057907196,3.111586277301537e-05,
isotropic_inj,14,SC,0.4413626929301467,BCC,0.5586373070698534,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999723057907196,3.111586277301537e-05,
isotropic_inj,14,BCC,0.5586373070698534,BCC,0.5586373070698534,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999723057907196,3.111586277301537e-05,
isotropic_inj,14,FCC,0.0,BCC,0.5586373070698534,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999723057907196,3.111586277301537e-05,
isotropic_inj,14,HCP,0.5578036545115442,BCC,0.5586373070698534,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999723057907196,3.111586277301537e-05,
isotropic_ownk,15,SC,0.3132952088920703,BCC,0.6867047911079297,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999691895109345,8.939139552016325e-05,
isotropic_ownk,15,BCC,0.6867047911079297,BCC,0.6867047911079297,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999691895109345,8.939139552016325e-05,
isotropic_ownk,15,FCC,0.0,BCC,0.6867047911079297,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999691895109345,8.939139552016325e-05,
isotropic_ownk,15,HCP,0.5629451445836376,BCC,0.6867047911079297,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999691895109345,8.939139552016325e-05,
isotropic_inj,15,SC,0.3132952088920703,BCC,0.6867047911079297,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999691895109345,8.939139552016325e-05,
isotropic_inj,15,BCC,0.6867047911079297,BCC,0.6867047911079297,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999691895109345,8.939139552016325e-05,
isotropic_inj,15,FCC,0.0,BCC,0.6867047911079297,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999691895109345,8.939139552016325e-05,
isotropic_inj,15,HCP,0.5629451445836376,BCC,0.6867047911079297,0.3141592653589793,0.3141592653589793,6.283185307179586,18,0.9999691895109345,8.939139552016325e-05,
isotropic_ownk,16,SC,0.0,FCC,1.0,16.964600329384883,16.964600329384883,339.29200658769764,56,0.9999835639730636,0.00023658248011267197,
isotropic_ownk,16,BCC,0.0,FCC,1.0,16.964600329384883,16.964600329384883,339.29200658769764,56,0.9999835639730636,0.00023658248011267197,
isotropic_ownk,16,FCC,1.0,FCC,1.0,16.964600329384883,16.964600329384883,339.29200658769764,56,0.9999835639730636,0.00023658248011267197,
isotropic_ownk,16,HCP,0.0,FCC,1.0,16.964600329384883,16.964600329384883,339.29200658769764,56,0.9999835639730636,0.00023658248011267197,
isotropic_inj,16,SC,0.3071152741054264,BCC,0.6928847258945738,0.3141592653589793,16.964600329384883,6.283185307179586,18,0.9999835639730636,0.00023658248011267197,
isotropic_inj,16,BCC,0.6928847258945738,BCC,0.6928847258945738,0.3141592653589793,16.964600329384883,6.283185307179586,18,0.9999835639730636,0.00023658248011267197,
isotropic_inj,16,FCC,0.0,BCC,0.6928847258945738,0.3141592653589793,16.964600329384883,6.283185307179586,18,0.9999835639730636,0.00023658248011267197,
isotropic_inj,16,HCP,0.6024529522667004,BCC,0.6928847258945738,0.3141592653589793,16.964600329384883,6.283185307179586,18,0.9999835639730636,0.00023658248011267197,
isotropic_ownk,17,SC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999754935981081,3.5305429672689445e-05,
isotropic_ownk,17,BCC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999754935981081,3.5305429672689445e-05,
isotropic_ownk,17,FCC,1.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999754935981081,3.5305429672689445e-05,
isotropic_ownk,17,HCP,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999754935981081,3.5305429672689445e-05,
