t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,ic,seed,N,dx,backend
0.07,229.462646484375,2.0506346225738525,13286.54193354886,15.967206975806906,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.075,245.7386474609375,2.1653285026550293,13443.068464374524,15.97099924175765,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.08,262.040283203125,2.281956195831299,13649.01473030667,15.97560958503552,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.085,278.29425048828125,2.432859420776367,13697.388438305199,15.97577045958322,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.09,294.5888671875,2.7476601600646973,13574.902729520836,15.980332731169828,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.095,311.10498046875,2.835296392440796,13717.522478794757,15.980734766719332,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.1,327.1490783691406,2.8925955295562744,13866.993495349761,15.983026182050105,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.105,343.4658508300781,2.9745709896087646,13984.064248725399,15.986034951899084,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.11,359.81427001953125,3.1175873279571533,14036.53828561993,15.983477452499788,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.115,376.1102600097656,3.2543656826019287,14080.371751459177,15.983480228530903,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.12,392.4512939453125,3.5265557765960693,13976.0374284854,15.986092853352421,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.125,408.78076171875,3.742478847503662,13929.748976845953,15.987026157016986,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.13,425.083251953125,3.9134774208068848,13922.988819000906,15.986430326508229,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.135,440.9228210449219,4.111669540405273,13890.801588666685,15.989790271410463,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.14,456.9659729003906,4.271608352661133,13901.83163923885,15.995571064676168,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.145,473.4517822265625,4.528005599975586,13808.01160671367,15.994742649054832,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.15,489.7298889160156,4.629013538360596,13881.55188757974,15.995362104131816,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.155,505.7394714355469,4.733828067779541,13931.566713166481,15.994441540194982,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.16,522.2396850585938,4.966524124145508,13864.67360651404,15.993854347950569,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.165,538.4202880859375,5.125181674957275,13872.126712925005,15.996777899553615,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.17,554.586669921875,5.221614360809326,13923.597465766472,15.997147606591147,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.17500000000000002,570.279296875,5.3131914138793945,13970.04282396047,15.994650228158045,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.18,586.515380859375,5.351847171783447,14053.068418970122,16.000508965061954,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.185,602.4850463867188,5.373904705047607,14140.138724603476,15.998263122258537,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.19,618.425048828125,5.356241703033447,14260.857635678785,15.994897387583553,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.195,634.4389038085938,5.293572425842285,14396.422266654734,15.996614863399241,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.2,650.582763671875,5.232077598571777,14532.38886845321,15.996699867105285,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.20500000000000002,666.553955078125,5.282963275909424,14589.726794481241,15.997077922416583,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.21,682.2955322265625,5.2852606773376465,14666.908387736212,15.99805391752859,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.215,698.3634643554688,5.216882228851318,14770.965234845458,15.995589230661498,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.22,714.6864013671875,5.065735340118408,14943.73872948359,15.997566342589796,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.225,730.6221923828125,5.042727947235107,15015.649406794917,15.995147944075073,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.23,746.1015625,4.879490852355957,15151.023861085783,15.998727163501815,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.23500000000000001,761.9735717773438,4.8111138343811035,15241.965129665818,15.996366238248395,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.24,777.9614868164062,4.7674384117126465,15307.930335118801,15.9943255007668,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.245,794.22802734375,4.646159648895264,15408.046168855919,15.99404755943537,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.25,810.072998046875,4.380084991455078,15567.031152028021,15.995595880984872,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.255,826.1071166992188,4.225505828857422,15664.218973570682,15.997316924511885,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.26,842.2141723632812,4.024226665496826,15759.153709263142,15.996075514402676,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.265,857.8461303710938,3.9875104427337646,15801.78263761828,15.99407110379977,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.27,873.603515625,3.783449172973633,15893.487825781001,15.992739463996827,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.275,889.9804077148438,3.716385841369629,15926.881318521639,15.99354777485789,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.28,905.56689453125,3.548891305923462,15976.230341810415,15.992990573766852,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.28500000000000003,921.9893188476562,3.4464874267578125,16020.280987485477,15.992031748415656,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.29,937.6038208007812,3.2109856605529785,16079.893289546742,15.990905855008066,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.295,954.2559814453125,3.1296796798706055,16110.067015304623,15.992276840861932,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.3,969.8204345703125,2.920786142349243,16165.567153559388,15.990635765376906,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.305,986.0135498046875,2.867068290710449,16182.82992680451,15.991085358009459,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.31,1002.2744750976562,2.758436679840088,16201.8149782951,15.99257171011456,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.315,1018.451904296875,2.6004037857055664,16238.64250861602,15.994168749153138,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.32,1034.4100341796875,2.4502861499786377,16269.590532973949,15.992710198087876,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.325,1049.96240234375,2.249281644821167,16302.489792397335,15.993516066796902,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.33,1066.3726806640625,2.1691784858703613,16303.351671287368,15.994017556594878,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.335,1081.908935546875,2.0609495639801025,16306.950489665134,15.99327161391037,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.34,1098.2432861328125,1.9724501371383667,16326.95447131189,15.993261698911827,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.34500000000000003,1114.9140625,1.7890516519546509,16347.414820134847,15.99417361333498,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.35000000000000003,1130.3828125,1.6288427114486694,16361.815971149617,15.995823718571824,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.355,1146.0723876953125,1.4723739624023438,16370.90892357476,15.994870889624371,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.36,1161.7347412109375,1.339674711227417,16360.83828542381,15.995575875771415,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.365,1177.6873779296875,1.1931040287017822,16358.549347093443,15.994554409964797,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.37,1193.951416015625,1.1240930557250977,16346.228000756468,15.993791920763002,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.375,1210.22802734375,1.0074759721755981,16355.333710857178,15.99516389462936,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.38,1225.7799072265625,0.8531573414802551,16364.75628544613,15.996866931922812,3,0.44735011446982476,False,True,1atom,0,64,0.5,mlx
0.385,1241.85107421875,0.7999497652053833,16365.35349116684,15.999540307872854,9,0.6451905103710747,False,True,1atom,0,64,0.5,mlx
0.39,1257.029541015625,0.7281257510185242,16367.289751673463,16.000719483480502,27,0.9305257363491001,False,True,1atom,0,64,0.5,mlx
0.395,1272.0987548828125,0.6435295343399048,16364.305944983922,16.00215390997577,77,1.319585018558827,False,True,1atom,0,64,0.5,mlx
0.4,1287.9603271484375,0.5714554786682129,16379.463416777004,16.001404037356373,182,1.7577789684300011,False,True,1atom,0,64,0.5,mlx
0.405,1302.779541015625,0.5177567005157471,16389.903050248693,16.002952111225976,400,2.285390748670416,False,True,1atom,0,64,0.5,mlx
0.41000000000000003,1319.0364990234375,0.5098003149032593,16389.39326629893,16.00145373160563,485,2.43699355579033,False,True,1atom,0,64,0.5,mlx
0.41500000000000004,1334.9898681640625,0.48559412360191345,16392.74111687974,16.003670498793984,678,2.7248987259977877,False,True,1atom,0,64,0.5,mlx
0.42,1350.795166015625,0.5223690271377563,16390.023536164575,16.00316640090354,452,2.380418295416496,False,True,1atom,0,64,0.5,mlx
0.425,1366.2725830078125,0.5516719818115234,16395.887352271697,16.00402625074751,336,2.1563548355347035,False,True,1atom,0,64,0.5,mlx
0.43,1382.81640625,0.5363614559173584,16403.235417808854,16.00354906681843,435,2.3501931361369826,False,True,1atom,0,64,0.5,mlx
0.435,1398.4326171875,0.5074996948242188,16405.232318185506,16.003350065091045,679,2.7262377427862656,False,True,1atom,0,64,0.5,mlx
0.44,1413.70849609375,0.4958634376525879,16396.061456176692,16.002640538532702,860,2.9496690071447436,False,True,1atom,0,64,0.5,mlx
0.445,1429.000732421875,0.4939200282096863,16393.728800462453,16.003005104541213,891,2.9846932442843834,False,True,1atom,0,64,0.5,mlx
0.45,1444.9765625,0.505795955657959,16400.583671565397,16.001568337693612,841,2.9277846746919685,False,True,1atom,0,64,0.5,mlx
0.455,1461.2816162109375,0.5335493087768555,16395.263396801784,16.001690787795635,645,2.6799521474607224,False,True,1atom,0,64,0.5,mlx
0.46,1476.87451171875,0.5339067578315735,16398.37346073696,16.002453958105665,683,2.7315807015649147,False,True,1atom,0,64,0.5,mlx
0.465,1491.949951171875,0.590573787689209,16391.438705364675,16.002231254866327,406,2.296761039058663,False,True,1atom,0,64,0.5,mlx
0.47000000000000003,1508.02880859375,0.5923024415969849,16388.54465518733,16.005692254689862,440,2.3591634259004106,False,True,1atom,0,64,0.5,mlx
0.47500000000000003,1523.0921630859375,0.5969162583351135,16394.05976254658,16.0067286482881,430,2.34115384244978,False,True,1atom,0,64,0.5,mlx
0.48,1539.023193359375,0.5997335910797119,16404.674830453565,16.0073926109321,437,2.353789458710996,False,True,1atom,0,64,0.5,mlx
