t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,n_det,pair_sep,ic,seed,N,dx,backend
0.145,473.441162109375,1.4251102209091187,15962.829617863621,15.995540855712104,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.15,489.72259521484375,1.4626458883285522,16004.585530856815,15.99608266881864,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.155,505.7188415527344,1.4573310613632202,16043.92244844339,15.99533809969039,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.16,522.2037353515625,1.4320409297943115,16074.389165352763,15.994954578356978,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.165,538.3688354492188,1.4354126453399658,16104.808722947435,15.998066914130119,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.17,554.532470703125,1.421921730041504,16133.916844407378,15.998433508730423,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.17500000000000002,570.2413330078125,1.4639506340026855,16135.93310193876,15.99568139417162,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.18,586.4840087890625,1.5321193933486938,16131.334566638416,16.001417732906038,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.185,602.461181640625,1.5776002407073975,16128.550301600431,15.999050716429425,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.19,618.4326782226562,1.5804837942123413,16140.061483663267,15.995267318682645,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.195,634.455322265625,1.5563604831695557,16159.45720491459,15.996862005053826,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.2,650.6280517578125,1.5736719369888306,16176.396581489676,15.996597000593264,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.20500000000000002,666.5940551757812,1.5494180917739868,16198.878592479166,15.997044010663943,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.21,682.3318481445312,1.5612441301345825,16213.187826299834,15.998066771088247,1,0.31017524544970004,True,True,2,6.519202405202649,2atom,0,64,0.5,mlx
0.215,698.4150390625,1.6151983737945557,16201.805687764208,15.99543105144612,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.22,714.76171875,1.5820056200027466,16241.029359007187,15.997152250736947,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.225,730.689208984375,1.5558198690414429,16254.21663433861,15.994834011181482,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.23,746.1721801757812,1.5568602085113525,16263.095688509633,15.998378757171892,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.23500000000000001,762.0435791015625,1.54020094871521,16283.971991677292,15.996031524180331,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.24,777.9992065429688,1.5703723430633545,16289.55503984273,15.994323455340028,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.245,794.259765625,1.5848283767700195,16300.172206733123,15.994106844874729,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.25,810.136962890625,1.6669238805770874,16308.039847488648,15.995338736151451,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.255,826.1705322265625,1.7281891107559204,16312.522205116638,15.99707114890671,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.26,842.2728271484375,1.7552368640899658,16310.395923433922,15.99588135425684,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.265,857.9003295898438,1.7606462240219116,16322.680703419615,15.99392144515165,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
0.27,873.6834716796875,1.7959582805633545,16326.891994102907,15.9923586184889,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.275,890.0693359375,1.952067494392395,16303.352246167202,15.993097379149958,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.28,905.655029296875,1.9823169708251953,16290.69831797966,15.992554379352486,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.28500000000000003,922.0968627929688,2.040466070175171,16290.139094568887,15.991438304043758,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.29,937.7216796875,2.0484066009521484,16285.31933718787,15.990230306164676,1,0.31017524544970004,True,True,2,18.12456896039186,2atom,0,64,0.5,mlx
0.295,954.3641357421875,2.0005245208740234,16298.699769738369,15.99169448232143,1,0.31017524544970004,True,True,2,18.12456896039186,2atom,0,64,0.5,mlx
0.3,969.9179077148438,1.9906048774719238,16308.368776979583,15.990146255331377,1,0.31017524544970004,True,True,3,,2atom,0,64,0.5,mlx
0.305,986.1038818359375,2.074094533920288,16301.77540794145,15.990660555602007,1,0.31017524544970004,True,True,2,6.041522986797286,2atom,0,64,0.5,mlx
0.31,1002.36083984375,2.0512285232543945,16304.35478286357,15.992181333396092,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.315,1018.4959716796875,2.125523567199707,16305.14387227417,15.994109489569682,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.32,1034.456787109375,2.232508897781372,16299.548791383337,15.99263066513895,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
