t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,n_det,pair_sep,ic,seed,N,dx,backend
0.9400000000000001,2945.921875,1.8273203372955322,16428.045015775508,16.00773033941776,6,0.5636258258934133,False,True,3641,,2atom,0,64,0.5,mlx
0.9450000000000001,2960.27783203125,1.7120261192321777,16429.230853212022,16.008169730363825,16,0.781592641796772,False,True,4504,,2atom,0,64,0.5,mlx
0.9500000000000001,2975.30078125,1.6869436502456665,16419.91500584962,16.007281750201958,23,0.8820971385017564,False,True,4809,,2atom,0,64,0.5,mlx
0.9550000000000001,2990.864990234375,1.5584158897399902,16418.078428777826,16.006253860481646,55,1.1795817129502053,False,True,5841,,2atom,0,64,0.5,mlx
0.96,3005.963134765625,1.5054856538772583,16418.031170635146,16.00630203179583,67,1.2597916789615016,False,True,6295,,2atom,0,64,0.5,mlx
0.965,3021.024658203125,1.3108341693878174,16413.87972064492,16.006105982486172,213,1.8523952942029953,False,True,7784,,2atom,0,64,0.5,mlx
0.97,3035.48193359375,1.2074276208877563,16414.634989513666,16.005807850807603,380,2.246647827675118,False,True,8517,,2atom,0,64,0.5,mlx
0.975,3049.62451171875,1.1290760040283203,16428.578140489008,16.004992177932674,566,2.5657398033800547,False,True,8875,,2atom,0,64,0.5,mlx
0.98,3064.44775390625,1.0804377794265747,16425.665748806816,16.004917365948785,785,2.8613019235247785,False,True,9067,,2atom,0,64,0.5,mlx
0.985,3078.30419921875,1.120551347732544,16429.16262000952,16.005245371733754,634,2.664629840866423,False,True,8976,,2atom,0,64,0.5,mlx
0.99,3093.123779296875,1.1672674417495728,16431.850239017927,16.005223754981724,513,2.4830164090521403,False,True,8790,,2atom,0,64,0.5,mlx
0.995,3107.5693359375,1.2381588220596313,16434.855329693157,16.00439113646122,361,2.208561693239458,False,True,8422,,2atom,0,64,0.5,mlx
1.0,3122.307373046875,1.236352801322937,16438.180709003183,16.00544894822976,381,2.2486168451840003,False,True,8403,,2atom,0,64,0.5,mlx
