t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2
2.5,1.342871569526009,0.007653021927214841,871.9497945424055,6.582177758056662,4.213280920032642,9.34021323810829,11.351777271521065,0.1721190280295385,0.00022731582448514334,0.47123889803846897,9.42477796076938,0.9909867664479639,1.0825644807726722,7.381625189328735
2.6,1.356580837218178,0.0075718265765563845,993.2599159148033,6.69491239387465,4.424325121165688,9.441890994687217,11.403276819503342,0.16320137924707304,0.00023034389392178356,0.47123889803846897,9.42477796076938,0.991073952073215,1.0605565876996863,7.575447626441064
2.7,1.3702397666481474,0.007041174757213624,1124.5521769092506,6.803948934044526,4.630439743936015,9.526552804311399,11.445068079016977,0.15482760468993795,0.00023336384761496684,0.47123889803846897,9.42477796076938,0.991150612141135,1.0410311457430288,7.725760274428506
2.8000000000000003,1.3833702100991037,0.005897777200030723,1262.6151038837952,6.910134139361952,4.850186136176173,9.61272666254944,11.488596399135197,0.14685571757489851,0.00023632149145153645,0.47123889803846897,9.42477796076938,0.9912393998127401,1.02156271111331,7.818089801902312
2.9,1.396312985785173,0.005277575850978393,1409.0475310216473,7.013588890427162,5.056108791463166,9.686939947968892,11.522547340854027,0.13954689027137793,0.00023922924682760234,0.47123889803846897,9.42477796076938,0.9913312286619661,1.0040983802440693,7.865188244046623
3.0,1.4092738488413277,0.004822405194873028,1564.6732670859249,7.113751281661408,5.262221225131287,9.749465797331327,11.552642194176478,0.13220579648893319,0.00024208780096827962,0.47123889803846897,9.42477796076938,0.9914143076522358,0.9888437628667347,7.8730193052869755
3.1,1.4228714157808435,0.004481558120797591,1707.9361444358822,7.210915906645234,5.468501978502787,9.811593199430515,11.584532312048204,0.1264842913331103,0.0002449507271034517,0.47123889803846897,9.42477796076938,0.9914986118478126,0.9630262780826032,7.7413159847196
3.2,1.435843632336748,0.005012511345814676,1849.818604642984,7.306190258658574,5.667279378639769,9.873329675893988,11.610728994243978,0.11949300310501255,0.0002477987737646521,0.47123889803846897,9.42477796076938,0.9915874810597343,0.9351734871951293,7.5595000621779365
3.3000000000000003,1.4492008487185735,0.00420152367662465,2022.572647871078,7.401617476415409,5.870417834835571,9.923754469845463,11.638731436219519,0.11367288267534556,0.0002506281863341625,0.47123889803846897,9.42477796076938,0.9916553773473218,0.9226899523208159,7.449599833880775
3.4,1.462718202121998,0.004314149620382453,2172.8419678215105,7.496433323988562,6.059599821770412,9.982623792259117,11.662945835232007,0.108655666513556,0.0002534567788214832,0.47123889803846897,9.42477796076938,0.9917446362092991,0.9036097527446866,7.2138574372443065
3.5,1.4757186856003568,0.004074954168636868,2313.0690554954303,7.590106629201374,6.250000000000001,10.038986502630632,11.692679333668567,0.10270175647294931,0.00025626770290934517,0.47123889803846897,9.42477796076938,0.9918404386361105,0.874286346343463,6.9281743473620585
3.6,1.4889834920551621,0.0042409924015553635,2497.001757456855,7.683038146539086,6.431395433513805,10.097184013377197,11.727889954197975,0.0974547726130799,0.0002590471096480359,0.47123889803846897,9.42477796076938,0.9919317662451275,0.8708565228783028,6.747037431120251
